hero,disadvantage,winrate
elder-titan,4.81,50.67
dark-seer,3.65,51.95
doom,3.06,56.89
broodmother,3.00,52.61
lone-druid,2.98,52.24
outworld-destroyer,2.98,51.53
ancient-apparition,2.79,50.87
anti-mage,2.73,54.52
chen,2.71,60.03
tusk,2.49,57.90
pangolier,2.45,57.60
undying,2.39,51.74
marci,2.37,53.53
monkey-king,2.26,59.73
primal-beast,2.24,56.16
tinker,2.19,53.56
shadow-demon,2.18,54.58
meepo,2.13,55.39
earthshaker,2.09,55.01
grimstroke,2.08,55.83
death-prophet,2.03,55.09
shadow-fiend,1.99,54.94
slark,1.97,54.48
phantom-lancer,1.95,57.42
io,1.80,54.43
sven,1.72,58.82
terrorblade,1.34,59.24
pugna,1.34,56.60
razor,1.33,54.29
rubick,1.31,57.64
omniknight,1.29,51.88
mars,1.29,57.41
templar-assassin,1.27,60.76
underlord,1.26,51.26
muerta,1.25,57.31
lina,1.25,57.52
magnus,1.20,56.57
naga-siren,1.13,57.62
kunkka,1.10,53.15
weaver,1.05,55.92
snapfire,1.04,58.43
lycan,1.02,54.72
clockwerk,1.00,52.80
invoker,0.97,57.33
dark-willow,0.97,55.82
medusa,0.93,50.51
lich,0.92,51.15
enchantress,0.90,57.54
keeper-of-the-light,0.90,58.09
techies,0.89,57.97
nature's-prophet,0.89,58.89
leshrac,0.78,55.51
drow-ranger,0.76,55.39
alchemist,0.75,55.13
oracle,0.65,52.42
dawnbreaker,0.62,55.00
nyx-assassin,0.59,54.08
bloodseeker,0.53,53.94
lion,0.48,56.27
ursa,0.47,56.77
necrophos,0.40,52.91
viper,0.37,55.54
lifestealer,0.36,55.11
dragon-knight,0.36,57.00
chaos-knight,0.35,56.31
tiny,0.34,58.46
sniper,0.33,56.47
visage,0.31,54.14
hoodwink,0.31,59.43
riki,0.19,54.04
phantom-assassin,0.18,55.25
treant-protector,0.12,53.42
night-stalker,0.12,53.31
windranger,0.08,56.01
luna,0.08,53.56
crystal-maiden,0.07,55.75
enigma,0.07,56.51
beastmaster,0.01,60.72
ember-spirit,0.01,58.94
tidehunter,-0.01,57.50
disruptor,-0.02,56.17
huskar,-0.02,57.89
pudge,-0.06,55.08
sand-king,-0.12,53.57
mirana,-0.14,60.21
vengeful-spirit,-0.16,54.58
timbersaw,-0.19,56.28
faceless-void,-0.23,59.72
winter-wyvern,-0.24,56.47
spirit-breaker,-0.28,55.59
ringmaster,-0.29,54.08
venomancer,-0.31,56.91
morphling,-0.31,61.76
warlock,-0.38,51.79
zeus,-0.40,55.56
witch-doctor,-0.43,53.63
centaur-warrunner,-0.46,53.61
gyrocopter,-0.47,59.43
void-spirit,-0.54,54.53
bristleback,-0.58,57.43
slardar,-0.58,57.71
juggernaut,-0.64,55.11
clinkz,-0.65,55.98
troll-warlord,-0.66,56.77
batrider,-0.87,64.14
earth-spirit,-1.03,58.22
puck,-1.03,58.60
storm-spirit,-1.20,57.32
shadow-shaman,-1.20,54.69
phoenix,-1.25,57.41
legion-commander,-1.35,54.71
queen-of-pain,-1.39,57.52
ogre-magi,-1.49,55.83
jakiro,-1.53,57.16
dazzle,-1.54,59.89
arc-warden,-1.60,55.22
bane,-1.74,57.98
brewmaster,-1.83,58.69
bounty-hunter,-1.85,56.62
wraith-king,-2.24,52.86
skywrath-mage,-2.36,57.46
silencer,-2.55,55.57
axe,-3.39,57.13
spectre,-3.83,58.23
