hero,disadvantage,winrate
batrider,2.44,54.84
ancient-apparition,2.05,45.73
doom,1.83,52.14
timbersaw,1.77,48.45
huskar,1.67,50.29
razor,1.66,48.07
leshrac,1.64,48.73
sand-king,1.48,46.16
clinkz,1.43,48.02
dark-seer,1.40,48.38
slardar,1.29,49.96
queen-of-pain,1.27,49.06
juggernaut,1.15,47.56
monkey-king,1.11,54.90
nature's-prophet,1.02,52.84
grimstroke,1.02,50.99
death-prophet,0.96,50.29
primal-beast,0.93,51.57
mirana,0.84,53.30
bristleback,0.81,50.17
bounty-hunter,0.80,48.07
lina,0.76,52.08
terrorblade,0.74,53.93
venomancer,0.73,49.95
crystal-maiden,0.70,49.27
gyrocopter,0.67,52.35
keeper-of-the-light,0.67,52.44
morphling,0.67,54.80
phantom-assassin,0.61,49.00
hoodwink,0.61,53.20
anti-mage,0.59,50.75
slark,0.57,49.94
weaver,0.56,50.51
techies,0.56,52.40
arc-warden,0.56,47.18
bane,0.55,49.74
vengeful-spirit,0.54,48.02
dazzle,0.51,51.94
necrophos,0.51,46.95
skywrath-mage,0.43,48.81
marci,0.42,49.60
io,0.41,49.99
sniper,0.40,50.53
winter-wyvern,0.39,49.92
luna,0.39,47.41
elder-titan,0.37,49.35
witch-doctor,0.34,47.04
viper,0.34,49.69
enchantress,0.34,52.20
drow-ranger,0.31,49.94
chen,0.30,56.62
tusk,0.29,54.15
storm-spirit,0.28,49.95
ogre-magi,0.26,48.28
lifestealer,0.22,49.38
brewmaster,0.20,50.67
lion,0.18,50.67
shadow-fiend,0.16,50.80
nyx-assassin,0.15,48.64
naga-siren,0.14,52.76
shadow-demon,0.13,50.73
lich,0.11,46.12
invoker,0.07,52.29
snapfire,0.06,53.48
dawnbreaker,0.06,49.68
bloodseeker,0.03,48.58
jakiro,0.02,49.77
night-stalker,-0.01,47.56
troll-warlord,-0.01,50.25
phantom-lancer,-0.01,53.51
outworld-destroyer,-0.01,48.64
pugna,-0.03,52.11
zeus,-0.03,49.34
tinker,-0.04,49.92
axe,-0.05,48.12
dark-willow,-0.07,50.96
pangolier,-0.08,54.30
omniknight,-0.09,47.41
spirit-breaker,-0.09,49.54
muerta,-0.10,52.76
legion-commander,-0.10,47.69
pudge,-0.23,49.34
visage,-0.24,48.82
faceless-void,-0.24,53.83
lycan,-0.31,50.19
treant-protector,-0.35,48.02
ursa,-0.35,51.72
disruptor,-0.43,50.69
rubick,-0.43,53.36
riki,-0.50,48.88
chaos-knight,-0.52,51.32
magnus,-0.54,52.38
earthshaker,-0.57,51.68
dragon-knight,-0.57,52.00
warlock,-0.59,46.18
windranger,-0.63,50.79
undying,-0.64,48.90
ember-spirit,-0.65,53.65
abaddon,-0.67,44.86
sven,-0.76,55.45
void-spirit,-0.82,48.96
silencer,-0.83,48.01
phoenix,-0.84,51.10
tidehunter,-0.88,52.46
beastmaster,-0.88,55.74
broodmother,-0.90,50.71
underlord,-0.95,47.63
templar-assassin,-0.96,57.13
oracle,-0.97,48.21
clockwerk,-1.06,48.99
spectre,-1.10,49.66
earth-spirit,-1.10,52.37
mars,-1.13,53.88
ringmaster,-1.20,49.07
puck,-1.24,52.87
tiny,-1.36,54.25
shadow-shaman,-1.48,49.10
kunkka,-1.67,50.03
enigma,-1.69,52.42
lone-druid,-1.82,51.21
wraith-king,-2.10,46.91
centaur-warrunner,-2.22,49.48
meepo,-2.66,54.41
medusa,-3.12,48.71
