hero,disadvantage,winrate
brewmaster,3.97,49.05
anti-mage,3.43,50.24
storm-spirit,3.32,49.18
phantom-lancer,2.44,53.31
lycan,2.39,49.66
night-stalker,2.20,47.57
void-spirit,2.19,48.12
puck,2.16,51.75
phantom-assassin,2.12,49.83
weaver,2.11,51.23
pangolier,1.97,54.45
silencer,1.92,47.52
outworld-destroyer,1.85,49.01
templar-assassin,1.85,56.52
naga-siren,1.81,53.29
arc-warden,1.79,48.15
spectre,1.60,49.23
batrider,1.52,58.06
clinkz,1.49,50.19
ursa,1.48,52.14
chaos-knight,1.48,51.55
mirana,1.46,54.98
natures-prophet,1.45,54.69
spirit-breaker,1.39,50.34
broodmother,1.26,50.75
medusa,1.19,46.61
skywrath-mage,1.15,50.33
visage,1.13,49.66
chen,1.13,57.97
slardar,1.04,52.46
drow-ranger,0.99,51.52
vengeful-spirit,0.97,49.81
enchantress,0.96,53.84
primal-beast,0.95,53.81
beastmaster,0.94,56.08
zeus,0.90,50.68
windranger,0.87,51.63
bane,0.85,51.69
enigma,0.82,52.11
ember-spirit,0.78,54.49
wraith-king,0.77,46.33
earth-spirit,0.75,52.71
shadow-demon,0.75,52.34
riki,0.71,49.88
magnus,0.70,53.40
hoodwink,0.64,55.44
phoenix,0.62,51.86
doom,0.54,55.69
oracle,0.52,48.92
keeper-of-the-light,0.51,54.90
sven,0.50,56.45
queen-of-pain,0.50,52.04
legion-commander,0.49,49.35
bounty-hunter,0.45,50.67
centaur-warrunner,0.43,49.10
pudge,0.41,51.00
elder-titan,0.36,51.63
invoker,0.32,54.30
grimstroke,0.30,53.98
sniper,0.28,52.88
lion,0.28,52.81
tusk,0.27,56.41
faceless-void,0.26,55.61
terrorblade,0.23,56.70
nyx-assassin,0.21,50.81
muerta,0.21,54.71
viper,0.20,52.07
tidehunter,0.13,53.69
juggernaut,0.09,50.80
clockwerk,0.05,50.11
snapfire,0.04,55.75
lina,0.04,55.03
disruptor,0.00,52.51
crystal-maiden,-0.03,52.21
warlock,-0.07,47.87
techies,-0.08,55.29
dark-seer,-0.11,52.19
ogre-magi,-0.13,50.89
shadow-shaman,-0.14,50.03
rubick,-0.16,55.36
timbersaw,-0.26,52.69
lich,-0.28,48.70
lifestealer,-0.35,52.16
tinker,-0.37,52.50
earthshaker,-0.40,53.76
pugna,-0.40,54.76
witch-doctor,-0.42,49.98
mars,-0.44,55.44
jakiro,-0.50,52.52
lone-druid,-0.52,52.14
venomancer,-0.58,53.50
razor,-0.61,52.57
tiny,-0.62,55.77
shadow-fiend,-0.72,53.86
dark-willow,-0.72,53.87
bloodseeker,-0.72,51.59
luna,-0.76,50.70
axe,-0.78,51.02
ringmaster,-0.89,51.01
troll-warlord,-0.94,53.43
marci,-1.13,53.40
gyrocopter,-1.19,56.51
slark,-1.23,53.94
monkey-king,-1.24,59.49
meepo,-1.31,55.24
leshrac,-1.41,54.09
dawnbreaker,-1.41,53.42
underlord,-1.45,50.35
morphling,-1.46,59.16
dragon-knight,-1.50,55.16
death-prophet,-1.59,55.16
kunkka,-1.60,52.20
undying,-1.83,52.31
alchemist,-2.01,54.26
winter-wyvern,-2.10,54.70
dazzle,-2.27,56.97
io,-2.36,55.06
sand-king,-2.42,52.13
abaddon,-2.78,49.13
treant-protector,-2.81,52.73
bristleback,-2.88,56.06
omniknight,-2.94,52.54
necrophos,-4.70,54.27
huskar,-6.47,60.78
ancient-apparition,0,50
