hero,disadvantage,winrate
meepo,7.44,42.47
lone-druid,5.94,41.84
huskar,5.38,45.12
axe,5.16,41.59
phantom-assassin,5.06,43.38
troll-warlord,3.89,44.76
slardar,3.80,46.02
terrorblade,2.78,50.66
hoodwink,2.55,50.03
legion-commander,2.46,43.69
sven,2.43,50.98
monkey-king,2.24,52.63
beastmaster,2.22,51.30
enchantress,2.18,49.00
templar-assassin,2.17,52.80
earthshaker,2.14,47.71
riki,2.11,44.70
io,2.01,46.91
shadow-fiend,1.95,47.71
marci,1.91,46.68
disruptor,1.82,47.01
jakiro,1.76,46.65
ursa,1.74,48.27
bloodseeker,1.70,45.33
night-stalker,1.61,44.41
timbersaw,1.60,47.20
puck,1.44,48.86
pangolier,1.40,51.50
chen,1.40,54.33
mirana,1.33,51.60
crystal-maiden,1.27,47.27
lion,1.18,48.38
magnus,1.17,49.33
spirit-breaker,1.04,47.00
shadow-shaman,1.02,45.15
drow-ranger,0.97,47.88
broodmother,0.92,47.39
nyx-assassin,0.82,46.50
witch-doctor,0.69,45.18
slark,0.61,48.51
tiny,0.58,51.04
enigma,0.55,48.75
luna,0.55,45.74
lycan,0.54,47.90
phoenix,0.52,48.32
tusk,0.51,52.68
techies,0.34,51.35
lina,0.33,51.23
omniknight,0.26,45.58
dazzle,0.22,50.95
elder-titan,0.18,48.13
dragon-knight,0.12,50.00
batrider,0.11,56.15
windranger,0.06,48.77
centaur-warrunner,-0.03,45.84
snapfire,-0.05,52.34
bane,-0.09,48.99
weaver,-0.12,49.85
ember-spirit,-0.13,51.88
viper,-0.14,48.77
dawnbreaker,-0.16,48.50
sniper,-0.17,49.71
dark-willow,-0.28,49.82
naga-siren,-0.34,51.99
bristleback,-0.36,49.98
keeper-of-the-light,-0.37,52.30
grimstroke,-0.38,51.13
leshrac,-0.40,49.44
clinkz,-0.45,48.49
arc-warden,-0.48,46.68
visage,-0.50,47.64
rubick,-0.53,52.21
vengeful-spirit,-0.54,47.63
alchemist,-0.65,49.26
death-prophet,-0.68,50.64
treant-protector,-0.70,46.92
spectre,-0.74,47.86
gyrocopter,-0.78,52.57
natures-prophet,-0.90,53.53
doom,-0.90,53.69
venomancer,-0.91,50.23
invoker,-0.91,51.95
silencer,-1.01,46.66
earth-spirit,-1.03,50.97
chaos-knight,-1.08,50.55
warlock,-1.08,45.06
kunkka,-1.08,48.01
tidehunter,-1.09,51.37
dark-seer,-1.09,49.56
faceless-void,-1.11,53.53
outworld-destroyer,-1.13,48.34
bounty-hunter,-1.20,48.67
muerta,-1.22,52.67
pudge,-1.28,48.89
skywrath-mage,-1.30,49.09
sand-king,-1.30,47.35
lifestealer,-1.38,49.58
primal-beast,-1.40,52.69
undying,-1.45,48.26
brewmaster,-1.50,51.12
queen-of-pain,-1.72,50.58
lich,-1.78,46.40
pugna,-1.85,52.73
ringmaster,-1.88,48.30
underlord,-1.95,47.14
void-spirit,-1.97,48.67
morphling,-2.03,56.48
necrophos,-2.05,47.97
winter-wyvern,-2.07,51.09
shadow-demon,-2.19,51.78
wraith-king,-2.25,45.39
clockwerk,-2.27,48.77
zeus,-2.34,50.16
ogre-magi,-2.46,49.45
juggernaut,-2.51,49.63
abaddon,-2.87,45.47
razor,-2.87,51.25
oracle,-3.03,48.82
phantom-lancer,-3.14,55.60
mars,-3.18,54.71
tinker,-3.40,52.03
ancient-apparition,-3.44,49.76
storm-spirit,-4.44,53.35
medusa,-9.87,53.80
anti-mage,0,50
