hero,disadvantage,winrate
meepo,5.00,48.80
broodmother,5.00,47.00
phantom-lancer,4.51,51.10
pangolier,3.50,52.71
lycan,3.42,48.64
warlock,3.33,44.65
axe,2.76,47.75
legion-commander,2.54,47.49
bristleback,2.46,50.76
chaos-knight,2.16,50.82
lone-druid,2.00,49.61
enigma,2.00,50.89
centaur-warrunner,1.97,47.65
snapfire,1.91,53.76
marci,1.90,50.35
kunkka,1.88,48.77
sand-king,1.83,48.09
dazzle,1.79,52.85
jakiro,1.78,50.30
abaddon,1.77,44.81
medusa,1.59,46.35
io,1.56,51.06
earthshaker,1.50,51.90
troll-warlord,1.46,50.98
void-spirit,1.42,48.96
windranger,1.36,51.12
sven,1.34,55.40
lich,1.30,47.26
dark-seer,1.18,50.83
techies,1.17,53.94
naga-siren,1.08,53.92
underlord,0.99,47.99
phantom-assassin,0.97,50.90
crystal-maiden,0.96,51.23
magnus,0.94,53.06
primal-beast,0.93,53.71
elder-titan,0.90,51.05
dawnbreaker,0.90,51.05
morphling,0.87,56.66
leshrac,0.87,51.71
tidehunter,0.82,52.91
tiny,0.81,54.21
gyrocopter,0.80,54.32
earth-spirit,0.80,52.62
witch-doctor,0.72,48.97
lina,0.68,54.28
luna,0.62,49.45
slark,0.61,52.09
visage,0.55,50.27
tusk,0.52,55.99
pudge,0.50,50.92
spectre,0.49,50.34
rubick,0.40,54.70
wraith-king,0.26,47.00
enchantress,0.25,54.43
anti-mage,0.22,53.28
treant-protector,0.21,49.73
oracle,0.21,49.30
omniknight,0.21,49.40
terrorblade,0.21,56.63
undying,0.19,50.32
mars,0.11,54.77
shadow-fiend,0.05,53.07
ringmaster,0.04,50.12
winter-wyvern,0.02,52.49
monkey-king,0.02,58.01
pugna,-0.03,54.25
juggernaut,-0.08,50.96
spirit-breaker,-0.08,51.75
clockwerk,-0.16,50.34
beastmaster,-0.16,57.05
tinker,-0.18,52.29
zeus,-0.22,51.73
timbersaw,-0.22,52.60
venomancer,-0.25,53.10
invoker,-0.29,54.73
ember-spirit,-0.40,55.50
vengeful-spirit,-0.45,51.22
lifestealer,-0.45,52.25
shadow-demon,-0.46,53.49
skywrath-mage,-0.46,51.91
bloodseeker,-0.52,51.37
muerta,-0.55,55.33
riki,-0.55,51.16
alchemist,-0.63,52.82
death-prophet,-0.67,54.10
nyx-assassin,-0.70,51.69
hoodwink,-0.71,56.56
faceless-void,-0.80,56.47
drow-ranger,-0.81,53.22
brewmaster,-0.82,53.90
phoenix,-0.89,53.32
razor,-0.99,52.90
shadow-shaman,-1.03,50.92
keeper-of-the-light,-1.06,56.28
puck,-1.11,54.87
mirana,-1.15,57.34
ogre-magi,-1.16,51.86
sniper,-1.22,54.14
ursa,-1.28,54.77
huskar,-1.33,55.44
batrider,-1.37,60.66
queen-of-pain,-1.37,53.77
bane,-1.39,53.89
weaver,-1.49,54.68
nature's-prophet,-1.52,57.39
dark-willow,-1.55,54.59
storm-spirit,-1.57,53.96
lion,-1.63,54.46
dragon-knight,-1.71,55.25
chen,-1.72,60.69
viper,-1.72,53.90
bounty-hunter,-1.76,52.84
disruptor,-1.78,54.21
ancient-apparition,-1.82,51.82
grimstroke,-1.92,56.09
slardar,-2.10,55.48
templar-assassin,-2.38,60.59
clinkz,-2.44,54.10
silencer,-2.53,51.92
necrophos,-3.31,52.90
outworld-destroyer,-3.75,54.59
doom,-4.12,60.12
night-stalker,-4.16,53.94
