hero,disadvantage,winrate
terrorblade,4.15,50.08
batrider,3.66,53.14
silencer,3.31,43.83
naga-siren,2.84,49.68
beastmaster,2.82,51.51
spectre,2.72,45.72
chaos-knight,2.68,47.84
slark,2.58,47.72
lone-druid,2.21,46.94
abaddon,2.17,42.02
spirit-breaker,2.07,47.21
tidehunter,1.80,49.46
phantom-lancer,1.55,51.57
arc-warden,1.52,46.04
meepo,1.38,49.95
pudge,1.38,47.69
keeper-of-the-light,1.36,51.38
death-prophet,1.32,49.63
pangolier,1.12,52.66
shadow-shaman,1.11,46.41
warlock,1.08,44.41
ursa,1.03,50.04
visage,0.93,47.44
vengeful-spirit,0.93,47.42
huskar,0.92,50.71
pugna,0.81,50.93
gyrocopter,0.74,51.90
tiny,0.73,51.79
wraith-king,0.70,44.11
doom,0.65,52.90
faceless-void,0.64,52.56
sand-king,0.62,46.79
monkey-king,0.62,54.89
treant-protector,0.62,46.89
underlord,0.59,45.94
drow-ranger,0.59,49.39
ogre-magi,0.59,47.75
razor,0.56,48.91
enchantress,0.56,51.62
sven,0.52,53.71
slardar,0.50,50.42
medusa,0.46,45.04
primal-beast,0.45,51.70
enigma,0.45,49.95
magnus,0.44,51.06
dazzle,0.42,51.67
necrophos,0.37,46.91
crystal-maiden,0.35,49.33
witch-doctor,0.31,46.89
natures-prophet,0.30,53.12
dark-willow,0.30,50.29
undying,0.27,47.78
clinkz,0.26,48.94
io,0.21,49.90
leshrac,0.20,49.91
earthshaker,0.17,50.65
bloodseeker,0.17,48.21
dark-seer,0.13,49.42
sniper,0.06,50.54
lycan,0.05,49.55
outworld-destroyer,0.02,48.39
tusk,-0.01,53.99
anti-mage,-0.01,51.01
invoker,-0.03,52.04
oracle,-0.05,47.11
dragon-knight,-0.13,51.24
zeus,-0.17,49.21
phoenix,-0.17,50.13
earth-spirit,-0.21,51.13
riki,-0.23,48.39
broodmother,-0.24,49.75
templar-assassin,-0.24,55.86
kunkka,-0.26,48.42
bounty-hunter,-0.29,48.93
snapfire,-0.29,53.42
techies,-0.32,52.88
lion,-0.33,50.82
bristleback,-0.34,50.99
centaur-warrunner,-0.34,47.45
grimstroke,-0.34,52.01
marci,-0.35,50.09
juggernaut,-0.35,48.75
lina,-0.38,52.78
mirana,-0.39,54.08
clockwerk,-0.40,48.12
elder-titan,-0.43,49.91
shadow-demon,-0.49,51.04
axe,-0.49,48.31
ringmaster,-0.51,48.20
skywrath-mage,-0.51,49.49
winter-wyvern,-0.54,50.57
nyx-assassin,-0.54,49.07
alchemist,-0.55,50.26
dawnbreaker,-0.58,50.05
venomancer,-0.58,50.94
shadow-fiend,-0.64,51.23
luna,-0.65,48.17
rubick,-0.65,53.20
disruptor,-0.71,50.67
ember-spirit,-0.73,53.34
hoodwink,-0.74,54.09
ancient-apparition,-0.78,48.34
tinker,-0.78,50.40
viper,-0.80,50.52
storm-spirit,-0.80,50.72
legion-commander,-0.81,48.15
lifestealer,-0.87,50.18
jakiro,-0.90,50.38
queen-of-pain,-0.92,50.86
night-stalker,-0.98,48.34
timbersaw,-1.00,50.88
muerta,-1.03,53.32
void-spirit,-1.05,48.96
weaver,-1.08,51.81
phantom-assassin,-1.16,50.36
omniknight,-1.30,48.44
lich,-1.42,47.45
brewmaster,-1.46,52.06
troll-warlord,-1.51,51.46
mars,-1.59,53.93
puck,-1.82,53.06
chen,-1.93,58.28
windranger,-2.32,52.10
morphling,-2.36,57.30
bane,0,50
