hero,disadvantage,winrate
viper,2.56,40.65
sand-king,2.45,38.49
jakiro,2.43,40.60
weaver,2.36,41.84
undying,2.09,39.40
witch-doctor,2.00,38.72
wraith-king,1.94,36.35
storm-spirit,1.84,41.53
silencer,1.83,38.64
abaddon,1.75,35.86
slark,1.68,41.96
oracle,1.66,38.82
crystal-maiden,1.65,41.46
vengeful-spirit,1.63,40.14
arc-warden,1.50,39.46
terrorblade,1.49,46.06
windranger,1.40,42.00
gyrocopter,1.36,44.61
mars,1.36,44.39
ember-spirit,1.32,44.64
faceless-void,1.31,45.23
tidehunter,1.30,43.30
spirit-breaker,1.26,41.36
queen-of-pain,1.26,42.18
dawnbreaker,1.20,41.66
io,1.14,42.33
shadow-demon,1.12,42.80
ogre-magi,1.09,40.67
venomancer,0.99,42.77
lich,0.89,38.64
chaos-knight,0.89,42.97
shadow-shaman,0.85,40.06
hoodwink,0.77,45.97
lion,0.75,43.21
treant-protector,0.71,40.20
morphling,0.70,47.58
visage,0.70,41.06
puck,0.69,43.97
leshrac,0.68,42.79
zeus,0.61,41.85
luna,0.56,40.46
grimstroke,0.54,44.48
anti-mage,0.54,43.84
tiny,0.53,45.32
medusa,0.47,38.45
void-spirit,0.46,40.84
invoker,0.45,44.92
legion-commander,0.38,40.44
centaur-warrunner,0.36,40.18
huskar,0.33,44.63
spectre,0.33,41.42
disruptor,0.33,43.02
sniper,0.29,43.69
mirana,0.29,46.74
bristleback,0.28,43.75
warlock,0.23,38.66
winter-wyvern,0.10,43.29
ursa,0.08,44.31
underlord,0.07,39.87
necrophos,0.06,40.60
lifestealer,0.04,42.65
dazzle,0.03,45.38
dragon-knight,-0.02,44.49
juggernaut,-0.03,41.83
drow-ranger,-0.08,43.39
shadow-fiend,-0.10,44.07
muerta,-0.18,45.80
snapfire,-0.19,46.64
lina,-0.24,45.98
techies,-0.31,46.19
phantom-assassin,-0.32,42.96
enchantress,-0.33,45.82
magnus,-0.34,45.15
skywrath-mage,-0.35,42.71
enigma,-0.40,44.12
troll-warlord,-0.41,43.72
earthshaker,-0.41,44.55
night-stalker,-0.52,41.28
beastmaster,-0.59,48.21
nyx-assassin,-0.65,42.56
dark-willow,-0.71,44.61
rubick,-0.72,46.58
doom,-0.78,47.59
pugna,-0.80,45.83
pudge,-0.83,42.99
sven,-0.84,48.37
outworld-destroyer,-0.97,42.74
riki,-0.97,42.48
ringmaster,-0.97,42.04
ancient-apparition,-1.00,41.94
kunkka,-1.02,42.53
clinkz,-1.02,43.57
phantom-lancer,-1.13,47.50
naga-siren,-1.19,46.97
axe,-1.27,42.41
brewmaster,-1.43,45.38
bounty-hunter,-1.44,43.43
timbersaw,-1.50,44.73
marci,-1.55,44.61
tinker,-1.68,44.64
dark-seer,-1.71,44.60
razor,-1.72,44.49
primal-beast,-1.76,47.16
natures-prophet,-1.81,48.43
earth-spirit,-1.82,46.07
lone-druid,-1.89,44.36
tusk,-1.92,49.14
bloodseeker,-2.13,43.86
alchemist,-2.14,45.15
phoenix,-2.17,45.41
monkey-king,-2.20,50.87
clockwerk,-2.21,43.25
pangolier,-2.34,49.32
slardar,-2.55,46.73
meepo,-2.62,47.29
omniknight,-2.63,43.13
keeper-of-the-light,-2.87,48.87
death-prophet,-2.96,47.21
lycan,-3.56,46.50
bane,-3.60,46.88
templar-assassin,-3.84,52.71
broodmother,-3.97,46.78
elder-titan,-4.76,47.57
chen,-5.53,55.15
batrider,0,50
