hero,disadvantage,winrate
medusa,4.29,37.07
chen,3.77,48.19
bristleback,3.37,43.11
warlock,3.02,38.28
dawnbreaker,2.88,42.32
windranger,2.82,43.01
brewmaster,2.75,43.50
clinkz,2.59,42.35
sand-king,2.45,40.83
earthshaker,2.15,44.51
jakiro,1.97,43.37
leshrac,1.84,43.97
sniper,1.82,44.66
witch-doctor,1.76,41.27
enchantress,1.71,46.17
snapfire,1.64,47.20
viper,1.57,43.94
lina,1.48,46.72
gyrocopter,1.44,46.90
crystal-maiden,1.43,44.01
shadow-fiend,1.41,45.03
weaver,1.37,45.12
kunkka,1.34,42.57
underlord,1.32,40.96
grimstroke,1.17,46.20
alchemist,1.15,44.30
troll-warlord,1.13,44.53
dazzle,0.85,46.94
ember-spirit,0.84,47.46
templar-assassin,0.79,50.50
rubick,0.77,47.54
oracle,0.73,42.05
marci,0.72,44.74
death-prophet,0.69,45.94
phantom-assassin,0.67,44.40
huskar,0.64,46.67
lich,0.64,41.20
batrider,0.63,51.75
abaddon,0.61,39.28
earth-spirit,0.59,46.02
pangolier,0.59,48.80
winter-wyvern,0.55,45.18
phoenix,0.52,45.14
techies,0.47,47.79
tiny,0.45,47.75
sven,0.32,49.57
keeper-of-the-light,0.30,48.09
lycan,0.29,45.01
mars,0.29,47.77
arc-warden,0.28,42.97
nature's-prophet,0.28,48.82
elder-titan,0.23,44.93
magnus,0.10,47.07
chaos-knight,0.10,46.09
drow-ranger,0.09,45.57
terrorblade,0.09,49.81
ringmaster,0.09,43.36
mirana,0.06,49.32
luna,0.04,43.26
razor,0.04,45.13
silencer,-0.03,42.77
dragon-knight,-0.05,46.86
shadow-demon,-0.07,46.32
treant-protector,-0.10,43.30
tinker,-0.16,45.47
undying,-0.18,43.93
slark,-0.20,46.10
bounty-hunter,-0.21,44.56
skywrath-mage,-0.28,44.97
tusk,-0.33,49.96
hoodwink,-0.33,49.37
venomancer,-0.36,46.42
vengeful-spirit,-0.39,44.41
io,-0.46,46.25
doom,-0.46,49.66
queen-of-pain,-0.47,46.13
legion-commander,-0.48,43.57
juggernaut,-0.54,44.64
meepo,-0.55,47.58
faceless-void,-0.55,49.40
monkey-king,-0.58,51.71
pugna,-0.58,47.98
lone-druid,-0.59,45.41
shadow-shaman,-0.60,43.77
necrophos,-0.64,43.59
ursa,-0.66,47.37
ancient-apparition,-0.68,43.96
lion,-0.71,46.86
invoker,-0.76,48.37
primal-beast,-0.77,48.57
timbersaw,-0.86,46.44
enigma,-0.92,46.99
bloodseeker,-0.93,45.02
zeus,-0.94,45.65
spirit-breaker,-0.96,45.82
morphling,-1.01,51.61
axe,-1.28,44.76
tidehunter,-1.30,48.22
lifestealer,-1.33,46.33
dark-seer,-1.34,46.59
centaur-warrunner,-1.35,44.14
storm-spirit,-1.40,47.01
dark-willow,-1.48,47.72
void-spirit,-1.49,45.09
puck,-1.52,48.44
outworld-destroyer,-1.52,45.62
ogre-magi,-1.62,45.54
pudge,-1.68,46.07
riki,-1.70,45.54
slardar,-1.71,48.29
broodmother,-1.71,46.91
wraith-king,-1.76,42.19
visage,-1.82,45.87
nyx-assassin,-2.09,46.27
omniknight,-2.10,44.94
disruptor,-2.11,47.73
anti-mage,-2.12,48.72
muerta,-2.20,50.16
bane,-2.84,48.52
naga-siren,-2.95,51.12
clockwerk,-3.08,46.45
phantom-lancer,-3.27,52.00
spectre,-3.77,47.71
night-stalker,-4.06,47.07
