hero,disadvantage,winrate
medusa,4.91,42.27
naga-siren,3.68,50.46
morphling,2.90,53.79
enchantress,2.87,50.97
storm-spirit,2.86,48.78
juggernaut,2.69,47.54
troll-warlord,2.67,48.91
nature's-prophet,2.67,52.51
witch-doctor,2.48,46.44
keeper-of-the-light,2.34,52.04
batrider,2.32,56.14
brewmaster,2.25,49.92
oracle,2.04,46.62
chen,1.82,56.18
legion-commander,1.74,47.37
chaos-knight,1.73,50.41
wraith-king,1.68,44.76
terrorblade,1.68,54.23
io,1.66,50.07
viper,1.63,49.80
bristleback,1.59,50.76
monkey-king,1.59,55.63
skywrath-mage,1.58,49.06
lifestealer,1.50,49.48
visage,1.47,48.50
doom,1.44,53.77
faceless-void,1.41,53.47
ember-spirit,1.31,52.96
winter-wyvern,1.21,50.45
ursa,1.14,51.56
beastmaster,1.03,54.98
tinker,0.96,50.28
primal-beast,0.84,52.96
pudge,0.81,49.78
ancient-apparition,0.81,48.39
spirit-breaker,0.81,50.06
crystal-maiden,0.78,50.55
pugna,0.74,52.64
enigma,0.70,51.33
dark-willow,0.69,51.53
shadow-fiend,0.68,51.64
techies,0.66,53.58
lina,0.64,53.47
dazzle,0.62,53.12
arc-warden,0.51,48.63
dawnbreaker,0.51,50.59
slardar,0.49,52.08
warlock,0.49,46.58
necrophos,0.45,48.43
venomancer,0.40,51.61
shadow-shaman,0.40,48.70
lion,0.38,51.82
outworld-destroyer,0.33,49.70
luna,0.30,48.87
leshrac,0.30,51.44
meepo,0.25,52.73
elder-titan,0.23,50.87
hoodwink,0.21,54.84
silencer,0.17,48.46
ogre-magi,0.13,49.80
sven,0.12,55.80
rubick,0.09,54.16
underlord,0.03,48.08
bounty-hunter,-0.03,50.29
zeus,-0.03,50.71
clinkz,-0.04,50.87
alchemist,-0.07,51.42
bane,-0.11,51.76
vengeful-spirit,-0.13,50.06
earth-spirit,-0.14,52.69
spectre,-0.15,50.12
earthshaker,-0.16,52.61
templar-assassin,-0.20,57.51
tiny,-0.20,54.36
mirana,-0.24,55.59
grimstroke,-0.24,53.56
dragon-knight,-0.25,52.99
sniper,-0.25,52.44
death-prophet,-0.26,52.86
nyx-assassin,-0.26,50.42
muerta,-0.29,54.23
jakiro,-0.34,51.47
broodmother,-0.35,51.51
abaddon,-0.38,46.07
magnus,-0.40,53.53
queen-of-pain,-0.44,52.04
invoker,-0.45,54.07
lich,-0.45,48.11
gyrocopter,-0.46,54.75
puck,-0.48,53.41
phantom-lancer,-0.52,55.31
clockwerk,-0.57,49.89
axe,-0.58,50.00
marci,-0.58,51.95
tusk,-0.60,56.24
phantom-assassin,-0.60,51.47
treant-protector,-0.65,49.73
snapfire,-0.79,55.57
mars,-0.82,54.84
shadow-demon,-0.84,53.01
huskar,-0.85,54.12
weaver,-0.90,53.26
undying,-1.02,50.65
lone-druid,-1.26,52.00
dark-seer,-1.27,52.46
kunkka,-1.27,51.01
void-spirit,-1.31,50.83
disruptor,-1.31,52.89
drow-ranger,-1.57,53.09
razor,-1.64,52.68
omniknight,-1.73,50.48
timbersaw,-1.82,53.30
tidehunter,-1.87,54.75
centaur-warrunner,-1.90,50.57
lycan,-2.08,53.34
pangolier,-2.13,57.62
anti-mage,-2.14,54.69
phoenix,-2.35,53.93
night-stalker,-2.37,51.32
sand-king,-2.47,51.32
ringmaster,-2.71,51.90
slark,-2.92,54.56
riki,-3.00,52.72
windranger,-3.15,54.47
