hero,disadvantage,winrate
naga-siren,3.64,50.28
meepo,3.17,49.55
chaos-knight,2.71,49.19
tidehunter,2.67,50.01
slark,2.55,49.15
shadow-shaman,2.34,46.52
huskar,2.25,50.84
abaddon,1.94,43.38
legion-commander,1.89,46.92
batrider,1.77,56.60
phantom-lancer,1.72,52.90
arc-warden,1.67,47.18
crystal-maiden,1.56,49.56
troll-warlord,1.43,49.91
slardar,1.39,51.01
enigma,1.37,50.43
primal-beast,1.33,52.28
storm-spirit,1.21,50.16
muerta,1.20,52.58
lion,1.17,50.89
anti-mage,1.14,51.34
magnus,1.13,51.83
juggernaut,1.11,48.72
spirit-breaker,1.01,49.60
zeus,1.01,49.48
venomancer,0.99,50.81
phoenix,0.96,50.40
dark-willow,0.76,51.26
outworld-destroyer,0.68,49.07
oracle,0.64,47.70
ogre-magi,0.61,49.08
pudge,0.59,49.72
necrophos,0.59,47.99
faceless-void,0.58,54.16
tusk,0.58,54.97
queen-of-pain,0.55,50.87
razor,0.55,50.31
techies,0.53,53.55
beastmaster,0.46,55.44
clockwerk,0.46,48.59
earthshaker,0.45,51.83
tiny,0.44,53.58
lone-druid,0.42,50.07
chen,0.39,57.59
terrorblade,0.38,55.43
bane,0.36,51.06
skywrath-mage,0.34,50.02
nyx-assassin,0.30,49.62
vengeful-spirit,0.28,49.38
dark-seer,0.28,50.66
leshrac,0.25,51.27
grimstroke,0.14,53.00
disruptor,0.11,51.27
viper,0.10,51.05
nature's-prophet,0.05,54.91
io,0.04,51.47
sniper,0.03,51.98
hoodwink,0.02,54.90
bloodseeker,0.02,49.71
monkey-king,0.01,57.12
pangolier,-0.01,55.31
morphling,-0.02,56.58
sven,-0.03,55.86
earth-spirit,-0.04,52.40
doom,-0.04,55.14
elder-titan,-0.05,50.91
marci,-0.06,51.21
drow-ranger,-0.09,51.45
pugna,-0.15,53.36
enchantress,-0.16,53.84
jakiro,-0.19,51.09
medusa,-0.20,46.91
rubick,-0.20,54.28
ember-spirit,-0.24,54.38
death-prophet,-0.29,52.70
axe,-0.32,49.48
lina,-0.34,54.26
tinker,-0.37,51.39
dawnbreaker,-0.38,51.25
spectre,-0.39,50.09
ursa,-0.41,52.88
witch-doctor,-0.41,48.87
puck,-0.41,53.16
treant-protector,-0.43,49.23
ancient-apparition,-0.44,49.33
shadow-fiend,-0.48,52.52
gyrocopter,-0.48,54.66
luna,-0.53,49.38
keeper-of-the-light,-0.54,54.79
wraith-king,-0.54,46.52
templar-assassin,-0.55,57.80
lich,-0.57,47.90
mars,-0.60,54.47
brewmaster,-0.61,52.64
dazzle,-0.62,54.17
silencer,-0.62,48.93
lifestealer,-0.62,51.34
timbersaw,-0.72,52.02
underlord,-0.74,48.53
mirana,-0.75,55.98
alchemist,-0.79,51.92
void-spirit,-0.83,50.08
dragon-knight,-0.85,53.39
broodmother,-0.95,51.88
snapfire,-1.03,55.69
winter-wyvern,-1.03,52.49
phantom-assassin,-1.09,51.69
sand-king,-1.09,49.75
bristleback,-1.14,53.22
lycan,-1.26,52.29
undying,-1.28,50.65
visage,-1.31,51.04
invoker,-1.44,54.84
warlock,-1.44,48.13
ringmaster,-1.46,50.44
omniknight,-1.58,50.06
centaur-warrunner,-1.68,50.07
windranger,-1.76,52.99
riki,-1.76,51.26
weaver,-1.78,53.95
night-stalker,-1.84,50.54
clinkz,-1.93,52.54
kunkka,-2.10,51.58
shadow-demon,-2.23,54.24
