hero,disadvantage,winrate
chen,6.07,49.58
weaver,3.97,46.36
bristleback,2.98,47.22
sven,2.81,50.81
leshrac,2.73,46.83
abaddon,2.43,41.31
morphling,2.22,52.15
slark,2.07,47.66
dawnbreaker,2.00,46.94
underlord,1.88,44.19
crystal-maiden,1.64,47.56
elder-titan,1.63,47.29
anti-mage,1.60,48.90
primal-beast,1.57,49.98
bane,1.49,47.97
lifestealer,1.47,47.34
marci,1.43,47.80
puck,1.42,49.34
io,1.40,48.15
oracle,1.40,45.16
legion-commander,1.23,45.75
batrider,1.20,54.84
storm-spirit,1.20,48.23
muerta,1.18,50.51
dazzle,1.12,50.39
huskar,1.11,49.93
jakiro,1.11,47.92
sand-king,1.07,45.88
lina,1.04,50.85
nature's-prophet,1.03,51.82
tinker,0.98,48.09
luna,0.98,46.17
lycan,0.97,48.08
arc-warden,0.94,46.10
undying,0.93,46.61
void-spirit,0.86,46.55
pangolier,0.83,52.27
windranger,0.77,48.64
bounty-hunter,0.76,47.36
disruptor,0.72,48.70
faceless-void,0.67,51.91
skywrath-mage,0.67,47.79
timbersaw,0.65,48.72
troll-warlord,0.64,48.75
pudge,0.60,47.84
queen-of-pain,0.59,48.87
earthshaker,0.59,49.69
necrophos,0.49,46.26
naga-siren,0.49,51.39
tusk,0.41,52.94
death-prophet,0.39,49.97
phantom-assassin,0.38,48.40
enigma,0.26,49.56
ember-spirit,0.24,51.77
phoenix,0.23,49.16
dark-seer,0.21,48.78
ogre-magi,0.21,47.57
razor,0.17,48.73
mars,0.13,51.64
lich,0.08,45.51
tiny,0.08,51.82
nyx-assassin,0.06,47.95
monkey-king,0.03,54.80
doom,0.00,52.90
winter-wyvern,-0.01,49.48
riki,-0.04,47.66
invoker,-0.05,51.42
hoodwink,-0.06,52.81
juggernaut,-0.09,47.97
alchemist,-0.09,49.25
templar-assassin,-0.12,55.07
magnus,-0.21,51.10
mirana,-0.21,53.28
spirit-breaker,-0.22,48.85
snapfire,-0.25,52.74
gyrocopter,-0.25,52.27
broodmother,-0.27,49.23
slardar,-0.29,50.62
warlock,-0.31,45.28
shadow-shaman,-0.32,47.26
clockwerk,-0.36,47.55
grimstroke,-0.45,51.52
chaos-knight,-0.46,50.36
drow-ranger,-0.50,49.86
silencer,-0.62,47.09
clinkz,-0.63,49.26
axe,-0.68,47.96
pugna,-0.70,51.81
keeper-of-the-light,-0.72,52.81
venomancer,-0.74,50.51
zeus,-0.78,49.24
sniper,-0.82,50.73
rubick,-0.87,52.75
lion,-0.93,50.78
treant-protector,-0.93,47.88
dark-willow,-0.95,50.92
witch-doctor,-0.99,47.58
techies,-1.01,52.92
vengeful-spirit,-1.06,48.81
phantom-lancer,-1.07,53.52
ringmaster,-1.07,48.19
shadow-fiend,-1.07,51.03
dragon-knight,-1.11,51.58
centaur-warrunner,-1.14,47.70
earth-spirit,-1.21,51.54
medusa,-1.23,46.18
lone-druid,-1.24,49.78
enchantress,-1.38,52.91
tidehunter,-1.51,52.14
shadow-demon,-1.58,51.53
omniknight,-1.59,48.21
spectre,-1.68,49.42
ursa,-1.81,52.20
outworld-destroyer,-2.00,49.82
wraith-king,-2.13,46.32
bloodseeker,-2.24,50.06
night-stalker,-2.25,49.05
kunkka,-2.37,49.90
visage,-2.54,50.33
beastmaster,-2.83,56.50
terrorblade,-2.85,56.41
meepo,-3.19,53.92
viper,-3.78,52.82
ancient-apparition,-3.98,50.91
