hero,disadvantage,winrate
viper,5.23,43.73
slark,4.88,44.67
legion-commander,4.28,42.39
hoodwink,3.54,49.40
drow-ranger,2.89,46.36
dragon-knight,2.81,47.71
axe,2.79,44.32
juggernaut,2.76,44.93
ancient-apparition,2.70,43.94
primal-beast,2.61,48.89
storm-spirit,2.34,46.88
morphling,2.26,52.33
shadow-demon,2.17,47.66
silencer,1.97,44.10
venomancer,1.78,47.88
earth-spirit,1.69,48.53
sniper,1.60,48.45
necrophos,1.45,44.88
shadow-shaman,1.30,45.30
void-spirit,1.21,45.82
mars,1.18,50.65
dazzle,1.12,50.40
spirit-breaker,1.11,47.32
natures-prophet,1.10,51.88
ember-spirit,1.06,51.00
bounty-hunter,1.05,46.77
winter-wyvern,0.94,48.34
clockwerk,0.88,45.96
puck,0.84,49.84
tusk,0.79,52.77
ogre-magi,0.75,46.74
disruptor,0.73,48.52
nyx-assassin,0.70,47.03
vengeful-spirit,0.66,46.83
slardar,0.63,49.65
magnus,0.58,50.31
mirana,0.57,52.70
naga-siren,0.47,51.48
abaddon,0.40,42.59
anti-mage,0.35,50.02
batrider,0.27,56.25
bane,0.24,49.04
grimstroke,0.22,50.86
monkey-king,0.15,55.05
chen,0.14,55.98
shadow-fiend,0.07,49.90
keeper-of-the-light,0.02,52.18
lion,0.02,49.83
jakiro,0.00,48.78
queen-of-pain,0.00,49.28
io,-0.12,49.53
phoenix,-0.15,49.39
marci,-0.21,49.23
pangolier,-0.22,53.49
snapfire,-0.24,52.89
pugna,-0.32,51.48
dark-willow,-0.32,50.24
doom,-0.32,53.42
phantom-assassin,-0.39,48.90
tinker,-0.48,49.37
templar-assassin,-0.48,55.85
omniknight,-0.49,46.76
spectre,-0.51,48.04
undying,-0.55,47.73
rubick,-0.65,52.67
oracle,-0.67,46.83
tiny,-0.68,52.68
chaos-knight,-0.70,50.54
timbersaw,-0.71,49.91
muerta,-0.82,52.62
alchemist,-0.84,49.85
treant-protector,-0.86,47.48
weaver,-0.89,51.00
faceless-void,-0.92,53.64
gyrocopter,-0.97,53.12
pudge,-0.99,48.99
terrorblade,-1.01,54.92
night-stalker,-1.12,47.61
wraith-king,-1.13,44.78
dark-seer,-1.14,50.00
zeus,-1.17,49.42
enchantress,-1.23,52.91
skywrath-mage,-1.31,49.53
lycan,-1.32,50.24
lina,-1.33,53.20
invoker,-1.35,52.73
phantom-lancer,-1.37,54.04
lich,-1.42,46.49
kunkka,-1.54,48.88
crystal-maiden,-1.58,50.49
troll-warlord,-1.59,50.89
elder-titan,-1.61,50.42
razor,-1.63,50.36
underlord,-1.65,47.24
bloodseeker,-1.65,49.25
outworld-destroyer,-1.67,49.29
sand-king,-1.68,48.13
huskar,-1.70,52.79
earthshaker,-1.76,51.87
techies,-1.77,53.85
ringmaster,-1.79,48.62
medusa,-1.81,46.28
tidehunter,-1.83,52.50
death-prophet,-1.85,52.23
clinkz,-2.14,50.62
lifestealer,-2.15,50.75
sven,-2.15,56.11
luna,-2.23,48.83
ursa,-2.45,52.88
arc-warden,-2.52,49.25
witch-doctor,-2.60,48.76
leshrac,-2.61,52.12
brewmaster,-2.77,52.83
beastmaster,-2.77,56.84
warlock,-2.95,47.38
dawnbreaker,-2.99,51.82
broodmother,-3.13,52.03
centaur-warrunner,-3.22,49.42
windranger,-3.49,52.59
meepo,-3.51,54.40
visage,-3.73,51.40
enigma,-3.76,53.61
lone-druid,-3.93,52.39
riki,-4.25,51.64
bristleback,0,50
