hero,disadvantage,winrate
earthshaker,8.90,43.17
terrorblade,4.44,50.28
batrider,4.03,53.24
axe,3.91,44.66
naga-siren,3.77,49.21
meepo,3.77,48.03
crystal-maiden,3.34,46.96
bristleback,3.23,48.02
spirit-breaker,3.23,46.58
monkey-king,3.10,52.98
pangolier,2.77,51.47
sven,2.74,51.98
tiny,2.57,50.48
phantom-assassin,2.51,47.50
lina,2.35,50.69
dark-seer,2.32,47.70
shadow-fiend,2.17,49.12
primal-beast,2.06,50.58
winter-wyvern,2.06,48.45
phantom-lancer,1.99,51.60
sand-king,1.81,46.12
slardar,1.80,49.64
beastmaster,1.75,53.09
troll-warlord,1.66,48.77
jakiro,1.66,48.42
magnus,1.65,50.36
grimstroke,1.54,50.62
legion-commander,1.50,46.47
shadow-shaman,1.44,46.58
techies,1.39,51.69
lion,1.30,49.83
necrophos,1.27,46.51
marci,1.23,49.02
windranger,1.20,49.28
shadow-demon,1.04,50.01
keeper-of-the-light,1.03,52.19
dawnbreaker,1.02,48.93
bounty-hunter,1.01,48.12
enigma,0.99,49.89
alchemist,0.95,49.28
dazzle,0.89,51.69
pugna,0.85,51.36
mars,0.78,52.10
chaos-knight,0.74,50.23
death-prophet,0.73,50.70
disruptor,0.72,49.74
dragon-knight,0.71,50.91
phoenix,0.67,49.78
sniper,0.58,50.55
tusk,0.57,53.91
kunkka,0.57,48.08
treant-protector,0.39,47.58
bloodseeker,0.38,48.49
warlock,0.32,45.62
brewmaster,0.28,50.77
tidehunter,0.26,51.46
gyrocopter,0.25,52.88
bane,0.24,50.26
templar-assassin,0.21,55.91
snapfire,0.20,53.42
razor,0.18,49.75
hoodwink,0.15,53.71
enchantress,0.07,52.58
mirana,0.02,54.18
lich,-0.12,46.67
omniknight,-0.13,47.76
riki,-0.20,48.83
slark,-0.20,50.87
queen-of-pain,-0.25,50.70
vengeful-spirit,-0.26,49.05
storm-spirit,-0.28,50.70
leshrac,-0.33,50.91
spectre,-0.45,49.26
huskar,-0.53,52.62
timbersaw,-0.57,50.93
dark-willow,-0.59,51.64
venomancer,-0.62,51.45
centaur-warrunner,-0.69,48.26
rubick,-0.76,53.77
undying,-0.81,49.31
viper,-0.89,51.09
drow-ranger,-0.94,51.33
earth-spirit,-0.97,52.37
io,-0.99,51.58
lycan,-1.01,51.10
medusa,-1.01,46.94
tinker,-1.10,51.19
weaver,-1.12,52.32
underlord,-1.13,48.11
lone-druid,-1.20,50.79
anti-mage,-1.20,52.62
ancient-apparition,-1.23,49.26
visage,-1.27,50.10
ringmaster,-1.30,49.42
nature's-prophet,-1.45,55.28
muerta,-1.55,54.32
elder-titan,-1.63,51.59
pudge,-1.64,50.80
nyx-assassin,-1.66,50.64
clockwerk,-1.90,50.07
ogre-magi,-1.94,50.60
luna,-2.00,49.89
juggernaut,-2.04,50.82
faceless-void,-2.05,55.66
ember-spirit,-2.20,55.28
witch-doctor,-2.21,49.70
void-spirit,-2.22,50.59
skywrath-mage,-2.25,51.66
clinkz,-2.31,51.96
ursa,-2.35,53.80
morphling,-2.44,57.84
wraith-king,-2.50,47.64
zeus,-2.58,51.98
lifestealer,-2.80,52.56
abaddon,-2.86,47.39
oracle,-3.08,50.58
invoker,-3.10,55.29
doom,-3.12,57.09
puck,-3.18,54.86
silencer,-3.33,50.72
outworld-destroyer,-3.76,52.59
chen,-4.22,61.15
night-stalker,-4.25,52.03
arc-warden,-5.06,53.03
