hero,disadvantage,winrate
lifestealer,4.84,47.43
chen,3.75,55.92
elder-titan,3.57,48.80
bristleback,3.22,50.58
ember-spirit,3.07,52.81
oracle,2.40,47.44
meepo,2.40,52.02
lone-druid,2.38,49.71
sven,2.32,55.23
pangolier,2.26,54.77
alchemist,2.24,50.52
juggernaut,2.20,49.26
underlord,2.19,47.09
necrophos,2.18,47.98
templar-assassin,2.17,56.90
undying,2.13,48.84
keeper-of-the-light,1.98,53.93
dazzle,1.95,53.34
witch-doctor,1.95,48.18
monkey-king,1.94,57.08
bloodseeker,1.87,49.43
beastmaster,1.86,55.86
huskar,1.81,52.98
tidehunter,1.71,52.70
bounty-hunter,1.68,49.93
tinker,1.67,50.96
timbersaw,1.62,51.39
doom,1.57,55.39
slardar,1.55,52.52
invoker,1.54,53.76
io,1.50,51.64
warlock,1.40,46.81
venomancer,1.39,52.10
brewmaster,1.36,52.30
ursa,1.32,52.90
omniknight,1.21,48.78
enigma,1.20,52.26
visage,1.14,50.15
shadow-demon,1.06,52.63
weaver,1.05,52.85
nature's-prophet,1.01,55.77
disruptor,1.00,52.06
treant-protector,0.99,49.38
naga-siren,0.89,54.82
death-prophet,0.85,53.23
broodmother,0.81,51.74
shadow-fiend,0.73,53.07
dark-willow,0.73,52.98
wraith-king,0.73,46.76
outworld-destroyer,0.64,50.73
winter-wyvern,0.64,52.47
queen-of-pain,0.62,52.49
lycan,0.61,52.04
night-stalker,0.61,49.64
dragon-knight,0.61,53.71
bane,0.52,52.56
tusk,0.48,56.96
mars,0.47,55.26
batrider,0.47,59.84
dawnbreaker,0.47,52.06
ringmaster,0.44,50.21
slark,0.44,52.88
earthshaker,0.43,53.56
vengeful-spirit,0.41,50.88
ogre-magi,0.38,50.91
kunkka,0.37,50.74
abaddon,0.35,46.39
clockwerk,0.32,50.32
terrorblade,0.32,57.26
grimstroke,0.31,54.59
dark-seer,0.31,52.30
clinkz,0.19,52.04
shadow-shaman,0.16,50.22
morphling,0.15,58.32
crystal-maiden,0.13,52.61
marci,0.13,52.71
enchantress,0.12,55.31
magnus,0.08,54.67
phoenix,0.01,53.05
anti-mage,0.01,54.15
faceless-void,-0.02,56.53
earth-spirit,-0.04,54.16
nyx-assassin,-0.12,51.66
void-spirit,-0.13,50.99
tiny,-0.14,55.95
primal-beast,-0.14,55.58
techies,-0.17,56.03
rubick,-0.19,56.05
snapfire,-0.22,56.74
pugna,-0.24,55.19
storm-spirit,-0.24,53.30
leshrac,-0.30,53.55
riki,-0.36,51.48
gyrocopter,-0.41,56.38
ancient-apparition,-0.41,50.92
viper,-0.42,53.25
puck,-0.44,54.97
lina,-0.48,56.19
jakiro,-0.49,53.08
spirit-breaker,-0.50,52.72
legion-commander,-0.54,50.82
luna,-0.58,51.04
lion,-0.59,54.20
troll-warlord,-0.67,53.72
chaos-knight,-0.69,54.32
pudge,-0.69,52.53
mirana,-0.76,57.87
phantom-assassin,-0.86,53.15
zeus,-0.89,52.95
razor,-0.91,53.45
spectre,-0.93,52.26
skywrath-mage,-0.97,52.99
phantom-lancer,-1.03,57.41
lich,-1.06,49.93
sand-king,-1.09,51.36
axe,-1.13,51.88
silencer,-1.48,51.38
drow-ranger,-1.73,54.76
hoodwink,-1.81,58.55
arc-warden,-1.82,52.33
muerta,-2.45,58.11
sniper,-2.90,56.37
medusa,-3.49,51.75
windranger,-4.57,57.42
