hero,disadvantage,winrate
sand-king,5.35,41.73
warlock,4.59,40.40
naga-siren,4.23,47.76
dark-seer,3.14,45.85
phoenix,3.13,46.34
windranger,3.10,46.50
phantom-lancer,3.10,49.56
medusa,3.08,41.88
tidehunter,2.92,47.86
underlord,2.81,43.18
earthshaker,2.66,47.85
timbersaw,2.65,46.82
axe,2.32,45.18
troll-warlord,2.15,47.29
kunkka,2.14,45.51
jakiro,2.13,46.98
elder-titan,2.03,46.90
lich,1.74,43.83
dragon-knight,1.72,48.98
crystal-maiden,1.72,47.51
necrophos,1.65,45.12
treant-protector,1.51,45.44
tiny,1.49,50.59
lina,1.47,50.58
ember-spirit,1.39,50.78
techies,1.37,50.77
dawnbreaker,1.29,47.67
enigma,1.26,48.63
meepo,1.25,49.60
sven,1.24,52.63
invoker,1.19,50.43
tusk,1.13,52.45
anti-mage,1.11,49.45
winter-wyvern,0.96,48.57
dazzle,0.93,50.71
witch-doctor,0.92,45.77
centaur-warrunner,0.92,45.68
luna,0.87,46.22
leshrac,0.83,48.78
ringmaster,0.82,46.38
phantom-assassin,0.82,48.05
monkey-king,0.77,54.35
bristleback,0.75,49.44
hoodwink,0.74,52.23
terrorblade,0.65,53.17
alchemist,0.55,48.68
disruptor,0.54,48.94
spectre,0.52,47.32
io,0.46,49.15
pangolier,0.46,52.83
magnus,0.45,50.58
lone-druid,0.44,48.17
brewmaster,0.40,49.67
primal-beast,0.32,51.36
puck,0.29,50.55
venomancer,0.28,49.61
rubick,0.17,51.98
muerta,0.15,51.68
shadow-fiend,0.10,50.07
undying,0.06,47.45
keeper-of-the-light,0.04,52.23
gyrocopter,0.02,52.17
snapfire,0.01,52.68
beastmaster,0.00,53.93
abaddon,-0.16,43.69
riki,-0.19,47.81
mars,-0.23,52.16
earth-spirit,-0.26,50.71
storm-spirit,-0.30,49.74
lion,-0.30,50.31
dark-willow,-0.35,50.43
clockwerk,-0.35,47.54
mirana,-0.37,53.63
morphling,-0.38,54.94
grimstroke,-0.39,51.59
omniknight,-0.51,47.12
juggernaut,-0.51,48.38
batrider,-0.65,57.02
marci,-0.67,49.91
broodmother,-0.75,49.78
weaver,-0.78,51.03
slark,-0.79,50.47
razor,-0.89,49.82
sniper,-0.90,50.89
silencer,-1.00,47.44
doom,-1.08,54.17
spirit-breaker,-1.13,49.76
lifestealer,-1.14,49.96
enchantress,-1.15,52.87
queen-of-pain,-1.22,50.66
ancient-apparition,-1.42,48.44
nature's-prophet,-1.44,54.38
death-prophet,-1.48,51.97
void-spirit,-1.53,48.91
chen,-1.55,57.55
pugna,-1.61,52.88
shadow-shaman,-1.66,48.53
tinker,-1.66,50.78
wraith-king,-1.71,45.84
slardar,-1.73,52.15
bloodseeker,-1.74,49.59
shadow-demon,-1.75,51.82
visage,-1.81,49.66
pudge,-1.89,50.03
arc-warden,-2.17,49.18
skywrath-mage,-2.20,50.62
lycan,-2.24,51.38
oracle,-2.26,48.78
faceless-void,-2.27,54.96
vengeful-spirit,-2.28,50.03
ursa,-2.30,52.81
nyx-assassin,-2.42,50.39
zeus,-2.48,50.90
clinkz,-2.62,51.30
templar-assassin,-2.62,57.87
bane,-2.64,52.18
drow-ranger,-2.69,52.05
legion-commander,-2.73,49.41
bounty-hunter,-2.73,50.82
outworld-destroyer,-2.82,50.68
night-stalker,-3.20,50.01
huskar,-3.59,54.72
ogre-magi,-3.89,51.43
viper,-4.36,53.49
