hero,disadvantage,winrate
leshrac,5.91,38.07
batrider,5.58,44.83
broodmother,4.54,38.85
terrorblade,4.47,43.52
dark-seer,4.21,39.18
troll-warlord,3.41,40.40
earthshaker,3.04,41.81
slark,3.00,41.14
sand-king,2.68,38.76
phantom-assassin,2.58,40.80
sven,2.41,45.56
crystal-maiden,2.29,41.33
monkey-king,2.16,47.11
arc-warden,2.16,39.28
bane,2.13,41.70
doom,2.05,45.26
vengeful-spirit,1.97,40.27
primal-beast,1.94,43.98
winter-wyvern,1.92,41.94
chaos-knight,1.92,42.40
huskar,1.90,43.52
lina,1.85,44.45
storm-spirit,1.49,42.31
kunkka,1.48,40.57
weaver,1.46,43.13
shadow-shaman,1.39,40.03
lone-druid,1.11,41.86
dragon-knight,1.05,43.90
shadow-fiend,0.96,43.55
lich,0.95,39.06
marci,0.94,42.64
pugna,0.91,44.59
jakiro,0.89,42.50
death-prophet,0.78,43.96
tusk,0.74,46.99
ursa,0.72,44.12
riki,0.60,41.42
venomancer,0.59,43.60
tinker,0.57,42.87
undying,0.57,41.34
dark-willow,0.57,43.82
razor,0.56,42.73
lycan,0.54,42.88
earth-spirit,0.50,44.21
windranger,0.50,43.26
bristleback,0.47,43.99
legion-commander,0.46,40.82
ogre-magi,0.45,41.72
warlock,0.42,38.95
nature's-prophet,0.34,46.81
lion,0.33,44.02
slardar,0.25,44.46
alchemist,0.23,43.30
snapfire,0.21,46.66
enigma,0.20,43.99
viper,0.20,43.37
rubick,0.14,46.22
axe,0.13,41.58
magnus,0.13,45.14
techies,0.12,46.18
drow-ranger,0.07,43.69
bounty-hunter,0.06,42.41
invoker,0.03,45.72
skywrath-mage,0.01,42.80
pudge,0.00,42.73
gyrocopter,-0.01,46.39
hoodwink,-0.07,47.17
phoenix,-0.08,43.83
templar-assassin,-0.14,49.44
omniknight,-0.17,41.19
io,-0.17,44.07
outworld-destroyer,-0.20,42.43
spirit-breaker,-0.28,43.28
meepo,-0.31,45.41
shadow-demon,-0.32,44.65
enchantress,-0.34,46.24
phantom-lancer,-0.50,47.32
naga-siren,-0.57,46.80
dazzle,-0.59,46.39
tiny,-0.61,46.84
ancient-apparition,-0.65,42.07
ringmaster,-0.77,42.28
faceless-void,-0.77,47.66
treant-protector,-0.81,42.13
disruptor,-0.87,44.63
anti-mage,-0.91,45.65
void-spirit,-0.92,42.66
mirana,-0.99,48.35
mars,-0.99,47.09
grimstroke,-0.99,46.41
luna,-1.04,42.37
underlord,-1.06,41.42
queen-of-pain,-1.06,44.79
necrophos,-1.09,42.15
medusa,-1.10,40.43
pangolier,-1.14,48.57
timbersaw,-1.17,44.83
sniper,-1.25,45.47
muerta,-1.26,47.28
witch-doctor,-1.31,42.24
clinkz,-1.31,44.29
night-stalker,-1.53,42.72
silencer,-1.58,42.39
bloodseeker,-1.60,43.80
visage,-1.61,43.79
spectre,-1.86,43.97
wraith-king,-1.90,40.48
lifestealer,-1.96,45.05
abaddon,-1.97,39.96
morphling,-2.04,50.63
elder-titan,-2.05,45.31
dawnbreaker,-2.10,45.35
zeus,-2.21,44.95
nyx-assassin,-2.28,44.56
clockwerk,-2.38,43.89
juggernaut,-2.44,44.53
ember-spirit,-2.53,48.84
puck,-3.18,48.12
centaur-warrunner,-3.26,44.10
oracle,-3.30,44.16
beastmaster,-3.80,51.81
brewmaster,-6.07,50.42
keeper-of-the-light,-6.18,52.59
tidehunter,-6.37,51.24
