hero,disadvantage,winrate
naga-siren,4.30,49.00
phantom-lancer,3.75,50.22
meepo,3.72,48.40
riki,3.48,45.48
terrorblade,3.03,52.10
spectre,2.89,46.32
enchantress,2.60,50.44
chaos-knight,2.59,48.73
morphling,2.59,53.33
slardar,2.40,49.39
legion-commander,2.38,45.93
arc-warden,2.32,45.96
broodmother,2.22,48.08
bristleback,2.17,49.38
razor,2.09,48.20
bounty-hunter,2.00,47.46
phantom-assassin,1.82,48.44
wraith-king,1.82,43.77
drow-ranger,1.49,49.33
axe,1.49,47.24
chen,1.47,55.83
void-spirit,1.45,47.23
batrider,1.26,56.44
io,1.18,49.73
techies,1.18,52.27
crystal-maiden,1.18,49.34
pudge,1.17,48.65
faceless-void,1.08,53.01
dazzle,1.05,51.90
ogre-magi,1.00,48.15
oracle,0.98,46.82
dragon-knight,0.98,51.01
troll-warlord,0.87,49.90
medusa,0.83,45.39
vengeful-spirit,0.81,48.31
abaddon,0.81,44.03
tusk,0.81,54.08
spirit-breaker,0.77,49.26
shadow-shaman,0.75,47.53
tiny,0.65,52.73
brewmaster,0.62,50.78
mars,0.59,52.65
treant-protector,0.54,47.73
lycan,0.48,49.92
slark,0.46,50.58
silencer,0.45,47.33
luna,0.40,47.96
sniper,0.36,51.09
anti-mage,0.34,51.52
puck,0.32,51.83
winter-wyvern,0.22,50.63
lion,0.17,51.19
nyx-assassin,0.15,49.19
lone-druid,0.11,49.82
magnus,0.11,52.23
clockwerk,0.09,48.41
mirana,0.05,54.54
skywrath-mage,0.05,49.74
earth-spirit,-0.01,51.76
natures-prophet,-0.04,54.35
bloodseeker,-0.05,49.21
centaur-warrunner,-0.09,47.97
hoodwink,-0.11,54.37
dark-willow,-0.15,51.56
marci,-0.19,50.75
primal-beast,-0.19,53.19
bane,-0.23,51.06
pugna,-0.23,52.82
omniknight,-0.28,48.20
gyrocopter,-0.36,53.86
shadow-demon,-0.37,51.75
storm-spirit,-0.38,51.13
sven,-0.43,55.58
ringmaster,-0.43,48.90
shadow-fiend,-0.48,51.90
huskar,-0.57,53.05
grimstroke,-0.61,53.13
jakiro,-0.62,50.93
dark-seer,-0.65,51.03
monkey-king,-0.67,57.08
timbersaw,-0.70,51.41
doom,-0.70,55.11
pangolier,-0.75,55.39
viper,-0.77,51.31
dawnbreaker,-0.86,51.15
leshrac,-0.89,51.83
snapfire,-0.90,54.90
disruptor,-0.94,51.73
queen-of-pain,-1.00,51.76
venomancer,-1.05,52.23
muerta,-1.06,54.24
underlord,-1.10,48.37
keeper-of-the-light,-1.10,54.73
lich,-1.11,47.89
invoker,-1.15,53.92
zeus,-1.17,50.97
outworld-destroyer,-1.20,50.39
warlock,-1.21,47.38
witch-doctor,-1.27,49.13
night-stalker,-1.28,49.42
weaver,-1.32,52.88
tidehunter,-1.32,53.40
kunkka,-1.33,50.25
tinker,-1.33,51.76
death-prophet,-1.37,53.18
windranger,-1.38,52.04
earthshaker,-1.41,52.98
ancient-apparition,-1.48,49.81
alchemist,-1.51,52.03
rubick,-1.52,54.87
templar-assassin,-1.61,58.19
visage,-1.67,50.83
lina,-1.71,54.92
necrophos,-1.75,49.71
undying,-1.83,50.62
enigma,-1.88,53.12
sand-king,-1.98,50.04
phoenix,-2.01,52.78
ember-spirit,-2.02,55.50
beastmaster,-2.29,57.56
ursa,-2.32,54.15
juggernaut,-2.49,51.56
lifestealer,-3.23,53.32
elder-titan,-3.55,53.91
clinkz,0,50
