hero,disadvantage,winrate
huskar,3.73,50.29
meepo,3.50,50.16
beastmaster,3.27,53.55
phantom-lancer,2.89,52.66
chen,2.72,56.11
batrider,2.69,56.72
lone-druid,2.64,48.79
storm-spirit,2.57,49.77
ember-spirit,2.54,52.55
keeper-of-the-light,2.43,52.74
anti-mage,2.21,51.24
venomancer,2.00,50.76
broodmother,1.89,49.94
juggernaut,1.86,48.97
queen-of-pain,1.85,50.60
viper,1.79,50.32
morphling,1.79,55.76
terrorblade,1.76,54.94
naga-siren,1.72,53.24
lifestealer,1.66,50.00
omniknight,1.65,47.74
undying,1.61,48.73
underlord,1.58,47.16
faceless-void,1.54,54.15
snapfire,1.54,54.08
void-spirit,1.16,49.02
witch-doctor,1.15,48.35
jakiro,1.13,50.78
tinker,1.10,50.85
dark-seer,1.09,50.78
pangolier,1.09,55.24
alchemist,1.06,51.02
sand-king,1.04,48.66
outworld-destroyer,1.02,49.69
elder-titan,0.97,50.83
tusk,0.88,55.65
shadow-demon,0.88,52.06
enigma,0.84,51.92
io,0.84,51.61
necrophos,0.83,48.71
kunkka,0.82,49.64
monkey-king,0.81,57.28
phoenix,0.80,51.53
visage,0.74,49.90
puck,0.71,53.03
ursa,0.64,52.80
enchantress,0.62,54.00
disruptor,0.58,51.76
bloodseeker,0.57,50.11
warlock,0.55,47.11
marci,0.51,51.60
brewmaster,0.50,52.45
gyrocopter,0.50,54.62
bane,0.49,51.90
dark-willow,0.46,52.52
mirana,0.46,55.77
doom,0.44,55.63
ringmaster,0.44,49.57
dragon-knight,0.43,53.10
oracle,0.43,48.87
lich,0.42,47.88
death-prophet,0.40,52.95
templar-assassin,0.40,57.78
chaos-knight,0.38,52.48
dazzle,0.36,54.16
invoker,0.29,54.15
skywrath-mage,0.25,51.06
techies,0.21,54.81
sven,0.21,56.53
ogre-magi,0.18,50.44
slardar,0.16,53.16
winter-wyvern,0.12,52.28
earth-spirit,0.11,53.22
arc-warden,0.11,49.71
grimstroke,0.08,54.02
treant-protector,0.06,49.69
lion,-0.04,52.94
clinkz,-0.04,51.57
ancient-apparition,-0.07,49.92
zeus,-0.12,51.50
magnus,-0.14,54.07
dawnbreaker,-0.14,51.96
leshrac,-0.14,52.64
pugna,-0.19,54.36
vengeful-spirit,-0.20,50.82
shadow-fiend,-0.26,53.27
nyx-assassin,-0.28,51.13
troll-warlord,-0.29,52.60
lina,-0.29,55.17
centaur-warrunner,-0.31,49.68
mars,-0.31,55.16
crystal-maiden,-0.34,52.34
luna,-0.37,50.19
timbersaw,-0.37,52.64
spectre,-0.40,51.05
wraith-king,-0.43,47.35
shadow-shaman,-0.43,50.16
bounty-hunter,-0.46,51.41
lycan,-0.46,52.43
muerta,-0.46,55.21
legion-commander,-0.48,50.11
riki,-0.52,50.97
hoodwink,-0.62,56.48
nature's-prophet,-0.71,56.62
phantom-assassin,-0.79,52.36
weaver,-0.90,54.03
primal-beast,-0.92,55.55
axe,-0.95,51.03
abaddon,-0.96,47.20
tiny,-0.99,55.95
bristleback,-1.00,54.02
medusa,-1.03,48.69
rubick,-1.04,56.01
razor,-1.14,52.94
silencer,-1.23,50.48
night-stalker,-1.25,50.89
pudge,-1.48,52.53
windranger,-1.56,53.76
drow-ranger,-1.72,53.99
tidehunter,-1.75,55.43
earthshaker,-1.82,54.94
sniper,-1.94,54.72
slark,-2.30,54.82
spirit-breaker,-2.50,53.95
