hero,disadvantage,winrate
rubick,2.57,50.73
pudge,1.83,47.48
bristleback,1.57,49.50
dawnbreaker,1.44,48.28
juggernaut,1.42,47.25
pugna,1.30,50.91
drow-ranger,1.17,49.14
pangolier,1.15,53.25
puck,1.15,50.63
enigma,1.12,49.63
witch-doctor,1.11,46.20
sniper,0.99,50.09
phoenix,0.98,49.30
tidehunter,0.96,50.74
earth-spirit,0.89,50.45
grimstroke,0.86,51.33
shadow-fiend,0.81,50.27
shadow-shaman,0.80,46.77
luna,0.77,46.97
monkey-king,0.75,55.64
morphling,0.75,55.07
earthshaker,0.66,50.62
mars,0.64,52.32
zeus,0.58,48.75
axe,0.57,47.45
kunkka,0.54,47.79
undying,0.54,47.65
jakiro,0.50,49.34
gyrocopter,0.46,52.79
snapfire,0.44,53.35
mirana,0.43,53.99
death-prophet,0.42,50.97
legion-commander,0.42,47.10
disruptor,0.37,49.95
hoodwink,0.35,53.75
techies,0.31,52.89
leshrac,0.30,50.18
muerta,0.27,52.62
silencer,0.25,46.81
magnus,0.21,51.79
queen-of-pain,0.20,50.15
clockwerk,0.19,47.68
ringmaster,0.14,47.73
lich,0.13,45.91
lion,0.08,50.87
phantom-assassin,0.07,49.53
primal-beast,0.07,52.63
skywrath-mage,0.04,49.21
nyx-assassin,-0.04,48.82
lina,-0.06,53.09
faceless-void,-0.06,53.93
tiny,-0.06,53.20
tusk,-0.08,54.81
ancient-apparition,-0.09,47.79
medusa,-0.15,45.57
riki,-0.16,48.49
windranger,-0.18,50.46
centaur-warrunner,-0.18,47.40
invoker,-0.25,52.80
slardar,-0.26,51.65
elder-titan,-0.28,50.09
shadow-demon,-0.28,51.26
underlord,-0.28,46.85
bane,-0.29,50.67
ogre-magi,-0.30,48.79
venomancer,-0.31,51.09
abaddon,-0.32,44.26
sand-king,-0.35,47.85
lifestealer,-0.37,49.99
dazzle,-0.38,53.06
ursa,-0.39,51.89
timbersaw,-0.41,50.69
huskar,-0.45,52.63
natures-prophet,-0.52,54.66
dark-willow,-0.52,51.55
keeper-of-the-light,-0.52,53.92
ember-spirit,-0.53,53.79
sven,-0.59,55.66
treant-protector,-0.61,48.24
alchemist,-0.63,50.70
viper,-0.64,50.74
outworld-destroyer,-0.67,49.31
vengeful-spirit,-0.67,49.20
omniknight,-0.69,47.98
night-stalker,-0.70,48.20
visage,-0.71,49.31
winter-wyvern,-0.71,51.14
warlock,-0.71,46.08
batrider,-0.74,58.54
templar-assassin,-0.74,57.35
void-spirit,-0.74,48.84
doom,-0.80,55.05
bloodseeker,-0.81,49.43
beastmaster,-0.81,55.96
terrorblade,-0.86,55.96
spectre,-0.95,49.52
dark-seer,-0.96,50.89
marci,-0.97,51.09
dragon-knight,-1.01,52.59
weaver,-1.02,52.23
razor,-1.04,50.83
arc-warden,-1.06,48.76
clinkz,-1.12,50.64
oracle,-1.13,48.31
chen,-1.15,58.65
naga-siren,-1.19,54.36
spirit-breaker,-1.19,50.67
lone-druid,-1.24,50.69
anti-mage,-1.24,52.73
tinker,-1.31,51.31
brewmaster,-1.37,52.47
troll-warlord,-1.39,51.77
slark,-1.42,52.01
enchantress,-1.49,54.33
chaos-knight,-1.50,52.48
storm-spirit,-1.51,51.84
bounty-hunter,-1.53,50.45
necrophos,-1.78,49.14
io,-1.93,52.52
wraith-king,-2.18,46.80
lycan,-2.61,52.69
meepo,-2.82,54.84
phantom-lancer,-2.92,56.84
broodmother,-3.05,53.04
crystal-maiden,0,50
