hero,disadvantage,winrate
windranger,4.33,46.35
leshrac,2.96,47.61
timbersaw,2.92,47.53
weaver,2.80,48.49
doom,2.29,51.71
earthshaker,2.11,49.30
enchantress,2.10,50.52
ursa,1.95,49.58
troll-warlord,1.86,48.56
oracle,1.77,45.77
sand-king,1.76,46.21
batrider,1.74,55.42
queen-of-pain,1.71,48.84
witch-doctor,1.60,46.15
lina,1.57,51.38
ember-spirit,1.57,51.50
faceless-void,1.44,52.21
beastmaster,1.36,53.40
sven,1.34,53.31
bloodseeker,1.30,47.57
dawnbreaker,1.29,48.65
monkey-king,1.27,54.67
pangolier,1.27,52.90
nature's-prophet,1.22,52.67
dark-willow,1.18,49.87
legion-commander,1.14,46.81
bristleback,1.13,50.01
disruptor,1.12,49.33
jakiro,1.06,48.98
anti-mage,1.04,50.45
crystal-maiden,1.03,49.14
phantom-assassin,0.99,48.86
outworld-destroyer,0.91,47.98
earth-spirit,0.84,50.53
gyrocopter,0.84,52.23
puck,0.78,50.99
warlock,0.71,45.26
hoodwink,0.71,53.12
rubick,0.71,52.36
clinkz,0.68,48.98
invoker,0.67,51.81
axe,0.66,47.71
phoenix,0.66,49.76
keeper-of-the-light,0.65,52.50
primal-beast,0.59,51.98
techies,0.57,52.44
huskar,0.45,51.61
mirana,0.44,53.68
muerta,0.43,52.29
underlord,0.42,46.59
lion,0.37,50.64
pugna,0.34,51.81
juggernaut,0.34,48.57
ancient-apparition,0.29,47.78
morphling,0.22,55.17
tinker,0.20,49.87
naga-siren,0.17,52.77
dazzle,0.15,52.36
mars,0.14,52.67
terrorblade,0.04,54.61
snapfire,0.01,53.54
slardar,-0.01,51.37
zeus,-0.03,49.54
tiny,-0.05,52.98
ringmaster,-0.05,48.23
winter-wyvern,-0.06,50.54
centaur-warrunner,-0.11,47.70
bane,-0.12,50.58
skywrath-mage,-0.16,49.60
storm-spirit,-0.20,50.59
brewmaster,-0.20,51.22
void-spirit,-0.20,48.58
pudge,-0.22,49.54
bounty-hunter,-0.24,49.34
grimstroke,-0.26,52.36
nyx-assassin,-0.31,49.30
magnus,-0.32,52.24
silencer,-0.37,47.85
death-prophet,-0.47,51.85
sniper,-0.58,51.54
spirit-breaker,-0.58,50.20
shadow-fiend,-0.58,51.62
lich,-0.58,47.12
kunkka,-0.59,49.20
treant-protector,-0.59,48.54
slark,-0.66,51.27
enigma,-0.66,51.49
riki,-0.67,49.27
undying,-0.70,49.19
lycan,-0.72,50.77
elder-titan,-0.74,50.66
io,-0.80,51.34
vengeful-spirit,-0.94,49.69
ogre-magi,-0.99,49.69
dragon-knight,-1.03,52.53
clockwerk,-1.05,49.22
razor,-1.10,50.98
omniknight,-1.14,48.76
phantom-lancer,-1.17,54.67
arc-warden,-1.17,49.17
marci,-1.26,51.43
shadow-demon,-1.27,52.25
tidehunter,-1.46,53.12
tusk,-1.48,55.83
alchemist,-1.49,51.63
spectre,-1.53,50.28
lifestealer,-1.57,51.32
lone-druid,-1.60,51.16
templar-assassin,-1.65,57.66
night-stalker,-1.69,49.50
meepo,-1.86,53.64
wraith-king,-1.88,47.04
luna,-2.02,49.90
necrophos,-2.11,49.74
drow-ranger,-2.34,52.62
broodmother,-2.34,52.30
venomancer,-2.49,53.24
visage,-2.57,51.38
shadow-shaman,-2.63,50.44
chaos-knight,-3.28,54.17
abaddon,-3.53,48.05
chen,-4.07,60.82
viper,-4.08,54.13
medusa,-6.26,52.03
