hero,disadvantage,winrate
juggernaut,2.46,45.44
phantom-lancer,2.37,50.21
axe,2.18,45.13
naga-siren,1.72,50.23
legion-commander,1.58,45.22
beastmaster,1.55,52.31
arc-warden,1.46,45.38
hoodwink,1.33,51.61
shadow-demon,1.26,48.71
techies,1.19,50.87
puck,1.14,49.62
leshrac,1.03,48.46
batrider,1.02,55.39
keeper-of-the-light,1.01,51.20
enigma,0.91,48.89
warlock,0.83,43.90
brewmaster,0.82,49.17
queen-of-pain,0.79,48.64
ancient-apparition,0.77,46.13
shadow-shaman,0.72,46.10
pugna,0.72,50.46
natures-prophet,0.71,52.25
crystal-maiden,0.62,48.45
broodmother,0.60,48.28
sand-king,0.56,46.17
morphling,0.55,54.01
undying,0.50,46.88
muerta,0.50,51.26
phantom-assassin,0.50,48.21
pangolier,0.50,52.78
void-spirit,0.50,46.74
venomancer,0.46,49.33
wraith-king,0.40,43.63
tidehunter,0.40,50.28
chaos-knight,0.39,49.52
spectre,0.37,47.34
terrorblade,0.36,53.41
lion,0.36,49.61
necrophos,0.36,46.22
snapfire,0.34,52.29
huskar,0.33,50.74
jakiro,0.33,48.59
bristleback,0.33,49.76
luna,0.32,46.60
anti-mage,0.27,50.18
ringmaster,0.25,46.82
tinker,0.23,48.77
invoker,0.18,51.30
winter-wyvern,0.17,49.25
enchantress,0.17,51.48
phoenix,0.16,49.19
faceless-void,0.13,52.57
clinkz,0.13,48.44
shadow-fiend,0.12,49.93
sniper,0.09,49.92
gyrocopter,0.09,52.03
alchemist,0.08,49.03
lifestealer,0.08,48.61
grimstroke,0.06,51.06
earth-spirit,0.04,50.31
monkey-king,0.02,55.06
timbersaw,-0.02,49.34
dragon-knight,-0.05,50.60
underlord,-0.06,45.87
pudge,-0.07,48.32
oracle,-0.07,46.42
earthshaker,-0.13,50.37
lina,-0.19,52.10
mirana,-0.23,53.45
viper,-0.27,49.40
dazzle,-0.27,51.82
elder-titan,-0.27,49.14
doom,-0.30,53.36
bane,-0.32,49.73
chen,-0.33,56.28
rubick,-0.34,52.37
tiny,-0.37,52.35
silencer,-0.38,46.69
omniknight,-0.43,46.89
ogre-magi,-0.43,48.06
clockwerk,-0.44,47.48
disruptor,-0.45,49.83
mars,-0.47,52.32
death-prophet,-0.51,50.90
nyx-assassin,-0.55,48.44
skywrath-mage,-0.56,48.92
outworld-destroyer,-0.57,48.33
storm-spirit,-0.57,49.91
riki,-0.60,48.09
lich,-0.60,45.93
centaur-warrunner,-0.60,47.03
magnus,-0.63,51.57
sven,-0.63,54.41
ember-spirit,-0.65,52.76
lycan,-0.65,49.65
drow-ranger,-0.66,49.98
troll-warlord,-0.66,50.02
slark,-0.67,50.26
ursa,-0.72,51.18
zeus,-0.73,49.12
bounty-hunter,-0.73,48.74
bloodseeker,-0.75,48.49
witch-doctor,-0.82,47.27
windranger,-0.84,50.12
kunkka,-0.84,48.33
primal-beast,-0.84,52.47
abaddon,-0.88,44.20
templar-assassin,-0.94,56.17
vengeful-spirit,-0.95,48.61
meepo,-1.08,51.88
medusa,-1.12,45.84
dark-seer,-1.15,50.11
dawnbreaker,-1.23,50.11
spirit-breaker,-1.32,49.85
treant-protector,-1.35,48.16
slardar,-1.37,51.71
night-stalker,-1.41,48.10
razor,-1.46,50.29
lone-druid,-1.52,50.03
io,-1.55,51.09
tusk,-2.01,55.50
weaver,-2.17,52.32
visage,-2.29,50.03
marci,-2.37,51.51
dark-willow,0,50
