hero,disadvantage,winrate
bristleback,3.12,48.16
silencer,2.88,44.74
chen,2.24,54.65
weaver,2.20,49.14
drow-ranger,2.02,48.55
jakiro,1.63,48.50
ancient-apparition,1.50,46.63
winter-wyvern,1.48,49.08
phoenix,1.47,49.03
morphling,1.46,54.10
muerta,1.44,51.39
death-prophet,1.41,50.06
timbersaw,1.32,49.15
lich,1.23,45.41
ursa,1.22,50.38
dark-willow,1.17,49.96
nyx-assassin,1.08,48.03
ringmaster,1.07,47.23
mirana,1.05,53.25
monkey-king,1.03,55.05
sniper,1.03,50.20
juggernaut,1.01,48.00
kunkka,0.97,47.73
gyrocopter,0.94,52.25
witch-doctor,0.88,46.88
slardar,0.88,50.60
clinkz,0.87,48.86
keeper-of-the-light,0.87,52.39
troll-warlord,0.85,49.63
elder-titan,0.83,49.15
sven,0.79,53.99
underlord,0.73,46.31
doom,0.66,53.43
faceless-void,0.63,53.12
riki,0.63,48.06
outworld-destroyer,0.63,48.31
shadow-fiend,0.62,50.59
lina,0.61,52.40
phantom-lancer,0.57,53.07
bane,0.55,49.99
ogre-magi,0.54,48.32
primal-beast,0.51,52.17
rubick,0.49,52.66
dragon-knight,0.49,51.18
viper,0.46,49.82
bounty-hunter,0.42,48.75
windranger,0.35,50.12
dazzle,0.35,52.28
visage,0.29,48.59
terrorblade,0.25,54.54
techies,0.24,52.87
invoker,0.23,52.31
clockwerk,0.21,48.04
io,0.19,50.44
vengeful-spirit,0.19,48.66
huskar,0.16,51.99
skywrath-mage,0.13,49.39
anti-mage,0.06,51.48
lifestealer,0.06,49.80
lone-druid,0.05,49.60
lycan,0.05,50.09
axe,0.03,48.36
warlock,0.03,45.95
lion,0.02,51.04
disruptor,0.02,50.48
queen-of-pain,-0.02,50.54
zeus,-0.03,49.60
snapfire,-0.07,53.75
grimstroke,-0.08,52.29
alchemist,-0.08,50.33
luna,-0.09,48.18
enchantress,-0.10,52.81
pangolier,-0.11,54.40
razor,-0.12,50.10
tiny,-0.16,53.21
mars,-0.18,53.10
hoodwink,-0.21,54.13
omniknight,-0.21,47.88
venomancer,-0.22,51.12
medusa,-0.26,46.24
storm-spirit,-0.29,50.75
centaur-warrunner,-0.31,47.94
puck,-0.33,52.16
abaddon,-0.38,45.00
night-stalker,-0.42,48.30
earthshaker,-0.42,51.74
pugna,-0.44,52.70
bloodseeker,-0.50,49.41
templar-assassin,-0.54,56.73
necrophos,-0.58,48.33
tusk,-0.60,55.12
sand-king,-0.61,48.49
void-spirit,-0.62,49.05
ember-spirit,-0.74,53.90
wraith-king,-0.76,46.01
tinker,-0.77,50.91
earth-spirit,-0.78,52.24
tidehunter,-0.86,52.63
magnus,-0.87,52.88
arc-warden,-0.89,48.95
enigma,-0.92,51.84
broodmother,-1.01,51.07
treant-protector,-1.04,49.03
batrider,-1.09,58.42
pudge,-1.13,50.41
undying,-1.14,49.68
leshrac,-1.15,51.79
shadow-shaman,-1.24,49.18
dark-seer,-1.27,51.35
spirit-breaker,-1.33,50.99
chaos-knight,-1.34,52.35
nature's-prophet,-1.46,55.36
marci,-1.49,51.75
naga-siren,-1.50,54.55
crystal-maiden,-1.60,51.73
oracle,-1.79,49.35
phantom-assassin,-1.84,51.51
brewmaster,-1.92,53.06
shadow-demon,-2.06,53.14
meepo,-2.41,54.31
slark,-2.52,53.15
spectre,-2.59,51.38
beastmaster,-2.76,57.68
legion-commander,-3.09,50.79
