hero,disadvantage,winrate
ancient-apparition,2.20,43.03
tidehunter,1.94,47.14
slark,1.63,46.42
axe,1.62,44.04
gyrocopter,1.57,48.99
abaddon,1.48,40.13
venomancer,1.35,46.84
weaver,1.34,47.27
razor,1.26,45.98
riki,1.23,44.61
monkey-king,1.07,52.54
winter-wyvern,0.95,46.86
drow-ranger,0.93,46.85
chen,0.92,53.57
sand-king,0.88,44.22
phoenix,0.85,46.90
viper,0.79,46.76
undying,0.78,44.95
death-prophet,0.77,48.01
doom,0.74,50.78
muerta,0.65,49.55
grimstroke,0.55,49.01
bounty-hunter,0.55,45.83
shadow-fiend,0.55,47.96
crystal-maiden,0.53,46.94
windranger,0.52,47.22
primal-beast,0.48,49.57
magnus,0.47,48.91
silencer,0.45,44.22
mars,0.44,49.88
luna,0.42,44.86
tusk,0.41,51.59
jakiro,0.40,46.92
outworld-destroyer,0.38,45.75
pugna,0.32,49.29
keeper-of-the-light,0.29,50.37
warlock,0.29,42.73
pangolier,0.28,51.44
batrider,0.27,54.65
sniper,0.21,48.24
dark-willow,0.20,48.21
phantom-lancer,0.19,50.88
timbersaw,0.18,47.53
earthshaker,0.18,48.50
ogre-magi,0.17,45.86
underlord,0.17,44.00
nature's-prophet,0.16,51.26
mirana,0.16,51.55
puck,0.15,49.04
elder-titan,0.10,47.15
troll-warlord,0.06,47.69
zeus,0.05,46.77
shadow-shaman,0.04,45.10
treant-protector,0.03,45.11
dragon-knight,0.02,48.97
hoodwink,0.01,51.36
faceless-void,-0.03,51.19
slardar,-0.04,48.82
morphling,-0.07,53.15
queen-of-pain,-0.08,47.88
terrorblade,-0.12,52.43
pudge,-0.13,46.76
phantom-assassin,-0.13,47.20
earth-spirit,-0.16,48.94
night-stalker,-0.17,45.19
marci,-0.18,47.72
anti-mage,-0.20,49.05
templar-assassin,-0.20,53.97
leshrac,-0.21,48.14
sven,-0.23,52.48
witch-doctor,-0.27,45.09
spirit-breaker,-0.28,47.24
disruptor,-0.29,48.07
huskar,-0.31,49.83
dark-seer,-0.32,47.66
vengeful-spirit,-0.32,46.35
tiny,-0.32,50.77
lich,-0.33,43.99
snapfire,-0.41,51.52
clockwerk,-0.41,45.84
omniknight,-0.42,45.23
dawnbreaker,-0.46,47.72
bane,-0.51,48.33
alchemist,-0.54,48.06
visage,-0.56,46.64
kunkka,-0.63,46.49
beastmaster,-0.63,53.05
juggernaut,-0.65,46.78
tinker,-0.65,48.06
nyx-assassin,-0.66,46.95
techies,-0.68,51.20
enigma,-0.69,48.93
bloodseeker,-0.74,46.88
invoker,-0.83,50.68
shadow-demon,-0.88,49.29
void-spirit,-0.90,46.52
lina,-0.93,51.27
chaos-knight,-0.96,49.30
ursa,-0.97,49.87
broodmother,-0.97,48.29
skywrath-mage,-1.05,47.78
lion,-1.08,49.34
ringmaster,-1.08,46.45
bristleback,-1.11,49.60
io,-1.14,49.08
rubick,-1.14,51.59
clinkz,-1.14,48.11
brewmaster,-1.15,49.60
enchantress,-1.23,51.35
lycan,-1.33,48.76
necrophos,-1.35,46.25
ember-spirit,-1.38,51.95
lifestealer,-1.43,48.55
naga-siren,-1.51,52.00
medusa,-1.58,44.63
oracle,-1.60,46.31
storm-spirit,-1.67,49.42
legion-commander,-1.68,46.68
lone-druid,-1.70,48.62
spectre,-1.71,47.78
centaur-warrunner,-1.88,46.65
arc-warden,-1.95,47.15
meepo,-2.15,51.45
wraith-king,-2.47,44.71
