hero,disadvantage,winrate
batrider,3.01,52.79
silencer,2.51,43.67
razor,2.35,46.23
bristleback,2.03,47.77
phantom-lancer,2.02,50.14
ancient-apparition,1.84,44.84
mirana,1.84,51.01
lone-druid,1.81,46.40
terrorblade,1.59,51.70
weaver,1.58,48.29
drow-ranger,1.53,47.55
chaos-knight,1.50,48.06
natures-prophet,1.47,51.07
clinkz,1.45,46.82
dragon-knight,1.43,48.81
sniper,1.41,48.39
medusa,1.30,43.28
undying,1.24,45.90
pangolier,1.23,51.57
sven,1.18,52.12
lina,1.11,50.44
magnus,1.05,49.53
spirit-breaker,1.00,47.30
slardar,0.99,49.01
luna,0.83,45.87
arc-warden,0.80,45.81
ogre-magi,0.77,46.65
anti-mage,0.72,49.38
warlock,0.68,43.88
templar-assassin,0.63,54.05
hoodwink,0.61,51.86
venomancer,0.61,48.84
enchantress,0.60,50.63
gyrocopter,0.57,51.13
dark-willow,0.55,49.10
shadow-fiend,0.55,49.18
shadow-shaman,0.54,46.03
disruptor,0.53,48.51
windranger,0.53,48.50
night-stalker,0.51,45.93
shadow-demon,0.51,49.12
legion-commander,0.51,45.99
muerta,0.46,50.90
dark-seer,0.45,48.16
jakiro,0.42,48.19
queen-of-pain,0.42,48.66
bounty-hunter,0.40,47.32
slark,0.35,48.93
monkey-king,0.33,54.24
doom,0.33,52.27
enigma,0.30,49.16
bloodseeker,0.30,47.15
lycan,0.28,48.38
keeper-of-the-light,0.25,51.54
witch-doctor,0.24,46.02
snapfire,0.22,51.98
skywrath-mage,0.20,47.86
troll-warlord,0.19,48.82
viper,-0.01,48.82
rubick,-0.02,51.67
techies,-0.13,51.75
grimstroke,-0.14,50.87
morphling,-0.15,54.19
mars,-0.17,51.61
marci,-0.19,49.00
ember-spirit,-0.20,51.88
wraith-king,-0.20,44.04
lich,-0.23,45.36
visage,-0.24,47.67
clockwerk,-0.27,47.05
vengeful-spirit,-0.27,47.64
invoker,-0.29,51.34
earthshaker,-0.31,50.17
elder-titan,-0.32,48.86
crystal-maiden,-0.33,49.04
primal-beast,-0.35,51.53
zeus,-0.36,48.46
nyx-assassin,-0.40,48.00
brewmaster,-0.40,50.06
pudge,-0.42,48.33
huskar,-0.48,51.15
riki,-0.50,47.70
underlord,-0.51,46.09
tusk,-0.52,53.55
tiny,-0.53,52.08
pugna,-0.54,51.32
centaur-warrunner,-0.63,46.79
spectre,-0.63,48.03
beastmaster,-0.66,54.06
naga-siren,-0.68,52.24
phantom-assassin,-0.72,49.01
broodmother,-0.76,49.33
chen,-0.80,56.18
sand-king,-0.82,47.22
storm-spirit,-0.84,49.83
alchemist,-0.89,49.66
dazzle,-0.90,52.02
lion,-0.92,50.41
void-spirit,-1.10,48.06
outworld-destroyer,-1.14,48.60
kunkka,-1.15,48.35
faceless-void,-1.27,53.47
bane,-1.29,50.35
dawnbreaker,-1.33,49.86
ringmaster,-1.35,48.07
io,-1.39,50.56
winter-wyvern,-1.53,50.62
puck,-1.54,51.86
axe,-1.54,48.34
treant-protector,-1.60,48.13
phoenix,-1.61,50.60
oracle,-1.65,47.75
abaddon,-1.78,44.92
meepo,-1.78,52.18
omniknight,-1.86,48.06
ursa,-1.86,51.91
juggernaut,-1.88,49.24
earth-spirit,-2.06,52.03
tinker,-2.07,50.75
leshrac,-2.32,51.49
lifestealer,-2.37,50.70
timbersaw,-2.48,51.39
tidehunter,-2.84,53.10
necrophos,-3.58,49.75
death-prophet,0,50
