hero,disadvantage,winrate
beastmaster,2.24,52.24
sniper,2.05,48.78
pugna,1.83,49.96
arc-warden,1.62,45.86
shadow-demon,1.48,49.11
natures-prophet,1.44,52.17
oracle,1.38,45.57
lone-druid,1.30,47.81
tinker,1.29,48.33
legion-commander,1.26,46.14
drow-ranger,1.26,48.75
viper,1.23,48.55
bloodseeker,1.18,47.16
templar-assassin,1.17,54.67
winter-wyvern,1.15,48.88
naga-siren,1.09,51.49
chen,1.06,55.46
windranger,1.00,49.01
keeper-of-the-light,1.00,51.84
razor,0.94,48.53
clinkz,0.92,48.27
underlord,0.91,45.51
wraith-king,0.90,43.75
muerta,0.81,51.58
pangolier,0.77,53.14
dragon-knight,0.73,50.47
shadow-fiend,0.72,49.99
luna,0.72,46.84
phantom-lancer,0.71,52.50
terrorblade,0.71,53.66
morphling,0.70,54.47
bane,0.69,49.32
enchantress,0.66,51.61
venomancer,0.66,49.76
hoodwink,0.61,52.94
huskar,0.59,51.11
lina,0.55,52.02
gyrocopter,0.54,52.22
kunkka,0.49,47.62
omniknight,0.49,46.59
phantom-assassin,0.46,48.87
dark-willow,0.46,50.17
alchemist,0.40,49.33
lycan,0.38,49.22
earth-spirit,0.38,50.59
invoker,0.35,51.77
skywrath-mage,0.35,48.64
zeus,0.34,48.72
shadow-shaman,0.32,47.11
tiny,0.31,52.31
vengeful-spirit,0.29,48.00
elder-titan,0.28,49.20
monkey-king,0.27,55.46
dazzle,0.26,51.92
jakiro,0.26,49.28
undying,0.21,47.78
snapfire,0.20,53.07
tusk,0.19,53.97
mirana,0.14,53.72
weaver,0.14,50.67
sven,0.11,54.30
abaddon,0.10,43.83
warlock,0.09,45.24
ogre-magi,0.06,48.22
doom,0.05,53.65
batrider,0.04,56.98
ancient-apparition,0.03,47.49
treant-protector,-0.02,47.45
dawnbreaker,-0.03,49.51
lich,-0.03,45.99
ringmaster,-0.05,47.73
bounty-hunter,-0.11,48.73
lifestealer,-0.12,49.43
phoenix,-0.13,50.11
ember-spirit,-0.16,52.91
silencer,-0.18,47.11
enigma,-0.19,50.63
techies,-0.20,52.88
slardar,-0.22,51.20
outworld-destroyer,-0.23,48.60
void-spirit,-0.26,48.11
queen-of-pain,-0.27,50.27
spectre,-0.32,48.64
axe,-0.33,48.11
crystal-maiden,-0.37,50.04
medusa,-0.39,45.72
lion,-0.39,50.92
tidehunter,-0.40,51.71
mars,-0.43,52.92
death-prophet,-0.48,51.49
rubick,-0.48,53.13
chaos-knight,-0.49,51.02
grimstroke,-0.54,52.30
clockwerk,-0.57,48.23
timbersaw,-0.60,50.53
pudge,-0.63,49.44
faceless-void,-0.63,53.95
troll-warlord,-0.68,50.66
broodmother,-0.69,50.23
brewmaster,-0.72,51.38
night-stalker,-0.75,48.05
bristleback,-0.78,51.48
puck,-0.89,52.26
centaur-warrunner,-0.90,47.93
earthshaker,-0.92,51.75
witch-doctor,-0.96,48.02
spirit-breaker,-0.98,50.14
juggernaut,-1.01,49.36
io,-1.06,51.21
storm-spirit,-1.09,51.05
dark-seer,-1.11,50.70
sand-king,-1.23,48.50
magnus,-1.23,52.80
riki,-1.28,49.39
marci,-1.28,51.05
visage,-1.35,49.70
nyx-assassin,-1.41,49.91
necrophos,-1.59,48.73
primal-beast,-1.67,53.92
ursa,-1.77,52.85
meepo,-1.78,53.22
anti-mage,-1.98,53.01
leshrac,-2.19,52.38
slark,-4.48,54.61
disruptor,0,50
