hero,disadvantage,winrate
meepo,4.04,43.61
arc-warden,3.99,39.84
broodmother,2.91,42.91
lone-druid,2.43,43.00
medusa,2.31,39.39
lina,1.96,46.99
invoker,1.86,46.67
rubick,1.51,47.61
wraith-king,1.48,39.57
enigma,1.24,45.50
marci,1.19,44.91
crystal-maiden,1.12,44.94
anti-mage,1.11,46.31
viper,1.11,45.01
skywrath-mage,1.08,44.26
night-stalker,1.05,42.59
spectre,1.04,43.64
chaos-knight,1.04,45.82
witch-doctor,1.02,42.50
batrider,0.90,52.40
windranger,0.82,45.51
visage,0.79,43.86
terrorblade,0.73,49.97
weaver,0.69,46.46
hoodwink,0.67,49.20
clinkz,0.65,44.89
grimstroke,0.63,47.45
luna,0.59,43.32
venomancer,0.57,46.17
pangolier,0.56,49.64
vengeful-spirit,0.55,44.09
silencer,0.50,42.80
gyrocopter,0.49,48.58
bristleback,0.49,46.56
beastmaster,0.47,50.34
shadow-fiend,0.46,46.59
magnus,0.46,47.44
nature's-prophet,0.42,49.47
keeper-of-the-light,0.40,48.74
spirit-breaker,0.37,45.18
drow-ranger,0.34,45.98
mirana,0.31,49.85
dark-willow,0.29,46.67
storm-spirit,0.27,46.03
warlock,0.26,41.45
jakiro,0.22,45.66
templar-assassin,0.22,51.92
tinker,0.18,45.77
techies,0.18,48.83
monkey-king,0.12,51.90
outworld-destroyer,0.12,44.59
bounty-hunter,0.09,44.86
zeus,0.09,45.31
shadow-demon,0.05,46.87
ursa,-0.02,47.45
earthshaker,-0.02,47.22
sniper,-0.03,47.00
disruptor,-0.04,46.36
legion-commander,-0.05,43.73
lich,-0.07,42.40
elder-titan,-0.11,45.92
shadow-shaman,-0.12,43.89
leshrac,-0.13,46.58
brewmaster,-0.15,47.10
undying,-0.15,44.50
razor,-0.18,45.96
tidehunter,-0.19,47.82
puck,-0.20,47.88
queen-of-pain,-0.24,46.56
tusk,-0.25,50.70
lion,-0.28,47.17
enchantress,-0.30,48.89
pugna,-0.32,48.45
void-spirit,-0.34,44.54
lycan,-0.35,46.30
muerta,-0.37,49.09
clockwerk,-0.38,44.37
snapfire,-0.38,49.96
ogre-magi,-0.39,44.99
earth-spirit,-0.41,47.72
ancient-apparition,-0.43,44.28
nyx-assassin,-0.44,45.28
death-prophet,-0.44,47.78
winter-wyvern,-0.60,47.00
sand-king,-0.64,44.27
mars,-0.69,49.48
dazzle,-0.70,49.20
ringmaster,-0.72,44.69
dawnbreaker,-0.75,46.57
bane,-0.75,47.12
pudge,-0.82,45.96
oracle,-0.90,44.21
ember-spirit,-0.92,49.97
phoenix,-0.93,47.23
riki,-0.94,45.41
kunkka,-0.97,45.41
sven,-0.98,51.70
treant-protector,-0.99,44.76
slardar,-1.05,48.35
primal-beast,-1.06,49.62
dragon-knight,-1.08,48.54
naga-siren,-1.16,50.11
centaur-warrunner,-1.27,44.61
phantom-assassin,-1.28,46.84
slark,-1.29,47.82
axe,-1.49,45.55
bloodseeker,-1.50,46.21
lifestealer,-1.53,47.19
faceless-void,-1.57,51.18
tiny,-1.61,50.54
juggernaut,-1.63,46.29
phantom-lancer,-1.67,51.22
io,-1.75,48.24
chen,-1.77,54.74
alchemist,-1.82,47.87
troll-warlord,-1.88,48.22
underlord,-2.05,44.78
morphling,-2.18,53.65
dark-seer,-2.36,48.28
timbersaw,-2.58,48.78
abaddon,-2.88,43.11
huskar,-3.29,51.31
omniknight,-3.59,46.98
necrophos,-4.36,47.77
