hero,disadvantage,winrate
viper,3.19,45.25
necrophos,2.32,43.41
sand-king,1.91,44.03
huskar,1.83,48.66
slark,1.83,47.16
venomancer,1.68,47.47
ringmaster,1.63,44.66
terrorblade,1.42,51.92
arc-warden,1.32,44.75
enchantress,1.30,49.81
treant-protector,1.29,44.69
winter-wyvern,1.29,47.47
ancient-apparition,1.27,44.83
witch-doctor,1.25,44.49
timbersaw,1.23,47.42
underlord,1.22,43.66
doom,1.17,51.47
razor,1.05,47.10
crystal-maiden,1.03,47.39
phoenix,0.98,47.73
brewmaster,0.91,48.44
outworld-destroyer,0.90,46.07
tinker,0.89,47.43
muerta,0.86,50.39
faceless-void,0.77,51.48
undying,0.77,45.84
dark-seer,0.76,47.48
ogre-magi,0.69,46.24
bounty-hunter,0.67,46.60
lifestealer,0.67,47.35
meepo,0.62,49.58
batrider,0.62,55.51
lich,0.58,43.91
monkey-king,0.49,54.32
alchemist,0.46,48.00
tidehunter,0.46,49.66
beastmaster,0.37,53.15
rubick,0.35,51.26
tusk,0.35,52.81
mirana,0.31,52.53
invoker,0.31,50.67
phantom-lancer,0.22,51.94
jakiro,0.22,48.04
spectre,0.21,46.75
mars,0.20,51.20
shadow-demon,0.19,49.18
keeper-of-the-light,0.18,51.55
lone-druid,0.16,47.64
windranger,0.16,48.53
luna,0.15,45.96
queen-of-pain,0.15,48.62
snapfire,0.14,52.07
leshrac,0.13,48.76
visage,0.07,46.89
dazzle,0.02,51.03
dark-willow,0.01,49.40
bloodseeker,0.00,47.01
bane,0.00,48.79
magnus,-0.02,50.44
warlock,-0.08,43.90
earth-spirit,-0.11,49.90
spirit-breaker,-0.12,48.02
sniper,-0.13,49.54
anti-mage,-0.13,50.01
troll-warlord,-0.14,48.88
gyrocopter,-0.15,51.83
lina,-0.16,51.59
ursa,-0.20,50.12
omniknight,-0.22,45.88
morphling,-0.23,54.46
enigma,-0.26,49.48
nature's-prophet,-0.28,52.80
vengeful-spirit,-0.33,47.27
tiny,-0.34,51.87
pudge,-0.34,47.88
hoodwink,-0.35,52.83
slardar,-0.35,50.15
chen,-0.35,56.08
kunkka,-0.40,47.16
pugna,-0.41,51.08
techies,-0.48,52.07
zeus,-0.49,48.23
marci,-0.49,49.02
naga-siren,-0.50,52.04
juggernaut,-0.55,47.60
dawnbreaker,-0.61,48.84
clockwerk,-0.62,46.91
storm-spirit,-0.64,49.37
shadow-shaman,-0.65,46.67
abaddon,-0.66,42.99
centaur-warrunner,-0.68,46.28
riki,-0.73,47.52
disruptor,-0.75,49.51
primal-beast,-0.76,51.92
broodmother,-0.77,49.08
pangolier,-0.81,53.69
elder-titan,-0.87,49.13
phantom-assassin,-0.88,48.85
sven,-0.91,54.37
oracle,-0.96,46.55
grimstroke,-0.97,51.62
io,-0.99,49.93
clinkz,-1.05,48.99
weaver,-1.06,50.67
medusa,-1.09,44.93
lion,-1.10,50.39
silencer,-1.11,46.62
night-stalker,-1.13,47.03
earthshaker,-1.16,50.81
drow-ranger,-1.18,49.91
templar-assassin,-1.27,56.23
ember-spirit,-1.29,52.99
death-prophet,-1.35,51.23
shadow-fiend,-1.41,50.85
nyx-assassin,-1.59,48.77
chaos-knight,-1.64,51.02
void-spirit,-1.72,48.29
wraith-king,-1.77,44.82
skywrath-mage,-1.93,49.64
axe,-2.26,48.61
legion-commander,-2.32,48.19
puck,-2.35,52.59
lycan,-2.41,50.89
bristleback,-2.76,52.28
