hero,disadvantage,winrate
phantom-lancer,3.95,49.34
mars,3.39,49.19
earth-spirit,2.68,48.25
chaos-knight,2.53,47.95
spectre,2.47,45.73
lycan,2.29,47.21
pudge,2.21,46.80
dark-seer,2.06,47.38
tiny,1.83,50.91
zeus,1.75,47.29
centaur-warrunner,1.66,45.23
primal-beast,1.62,50.69
faceless-void,1.56,51.97
storm-spirit,1.51,48.44
clockwerk,1.51,46.02
magnus,1.45,50.19
naga-siren,1.43,51.26
muerta,1.41,51.10
bloodseeker,1.29,46.91
sniper,1.26,49.51
ogre-magi,1.24,46.98
night-stalker,1.23,45.93
dragon-knight,1.18,50.09
sven,0.96,53.72
void-spirit,0.95,46.78
nature's-prophet,0.95,52.83
winter-wyvern,0.85,49.19
broodmother,0.83,48.67
enchantress,0.81,51.60
tidehunter,0.71,50.67
batrider,0.71,56.62
snapfire,0.70,52.75
spirit-breaker,0.67,48.50
dark-willow,0.67,49.99
keeper-of-the-light,0.63,52.34
chen,0.63,56.33
outworld-destroyer,0.63,47.65
mirana,0.58,53.52
puck,0.57,50.89
timbersaw,0.56,49.37
brewmaster,0.56,50.08
arc-warden,0.55,46.78
wraith-king,0.52,43.82
monkey-king,0.51,55.54
silencer,0.49,46.26
morphling,0.49,55.01
venomancer,0.47,49.98
shadow-demon,0.44,50.19
axe,0.39,47.32
grimstroke,0.37,51.49
ringmaster,0.36,47.20
terrorblade,0.36,54.37
sand-king,0.33,46.86
visage,0.32,47.93
kunkka,0.31,47.72
skywrath-mage,0.30,48.63
beastmaster,0.30,54.46
invoker,0.30,51.93
lone-druid,0.21,48.87
gyrocopter,0.16,52.77
queen-of-pain,0.14,49.90
undying,0.09,47.80
troll-warlord,0.08,49.91
bounty-hunter,0.02,48.54
techies,0.01,52.85
nyx-assassin,-0.04,48.50
medusa,-0.11,45.19
doom,-0.12,54.02
hoodwink,-0.16,53.90
tusk,-0.19,54.55
warlock,-0.19,45.26
marci,-0.20,49.98
treant-protector,-0.27,47.57
vengeful-spirit,-0.31,48.53
alchemist,-0.31,50.06
elder-titan,-0.35,49.85
legion-commander,-0.42,47.62
lich,-0.50,46.26
bane,-0.55,50.63
enigma,-0.66,51.16
io,-0.67,50.86
slark,-0.69,50.95
ursa,-0.70,51.89
razor,-0.71,50.17
ember-spirit,-0.71,53.64
underlord,-0.73,46.97
omniknight,-0.73,47.71
templar-assassin,-0.76,56.98
jakiro,-0.78,50.30
juggernaut,-0.78,49.08
dazzle,-0.81,53.15
lion,-0.83,51.39
luna,-0.87,48.22
shadow-shaman,-0.87,48.15
huskar,-0.90,52.76
windranger,-0.91,50.83
lina,-0.95,53.64
anti-mage,-0.96,52.10
phantom-assassin,-0.98,50.20
abaddon,-0.99,44.59
tinker,-0.99,50.65
earthshaker,-0.99,51.91
ancient-apparition,-1.05,48.46
meepo,-1.08,52.64
lifestealer,-1.10,50.44
oracle,-1.11,47.99
pugna,-1.15,53.13
crystal-maiden,-1.18,50.86
disruptor,-1.21,51.26
witch-doctor,-1.22,48.15
death-prophet,-1.33,52.49
phoenix,-1.34,51.39
rubick,-1.35,54.15
shadow-fiend,-1.38,52.08
clinkz,-1.44,50.66
slardar,-1.51,52.61
viper,-1.76,51.55
leshrac,-1.80,52.05
weaver,-1.89,52.79
dawnbreaker,-1.89,51.45
riki,-1.92,49.98
pangolier,-1.94,56.12
necrophos,-2.22,49.25
bristleback,-2.80,53.61
