hero,disadvantage,winrate
meepo,3.36,47.03
lifestealer,2.87,45.56
enigma,2.72,46.76
juggernaut,2.68,44.97
tidehunter,2.40,47.94
huskar,2.35,48.38
sven,2.31,51.02
marci,2.06,46.79
troll-warlord,2.00,47.03
death-prophet,1.99,48.02
batrider,1.96,53.87
lone-druid,1.92,46.29
legion-commander,1.86,44.72
elder-titan,1.82,46.72
io,1.78,47.40
ursa,1.70,48.46
wraith-king,1.62,42.28
monkey-king,1.49,53.15
faceless-void,1.49,50.83
abaddon,1.43,41.78
primal-beast,1.42,49.80
leshrac,1.31,47.87
shadow-fiend,1.29,48.51
pugna,1.26,49.56
witch-doctor,1.24,45.10
slark,1.21,48.12
skywrath-mage,1.21,46.88
alchemist,1.20,47.62
necrophos,1.19,45.17
brewmaster,1.16,48.49
tinker,1.15,47.55
shadow-shaman,1.14,45.46
anti-mage,1.10,49.03
earthshaker,1.05,48.91
slardar,1.03,48.99
terrorblade,0.97,52.36
broodmother,0.97,47.62
naga-siren,0.91,50.66
silencer,0.89,45.21
undying,0.89,46.23
lina,0.79,50.78
dawnbreaker,0.78,47.77
lion,0.69,48.98
winter-wyvern,0.60,48.50
omniknight,0.60,45.63
ogre-magi,0.51,46.89
techies,0.50,51.17
luna,0.46,46.23
templar-assassin,0.35,54.38
doom,0.34,52.29
grimstroke,0.34,50.42
jakiro,0.33,48.29
centaur-warrunner,0.33,45.88
spirit-breaker,0.29,47.99
vengeful-spirit,0.28,47.12
keeper-of-the-light,0.26,51.54
chaos-knight,0.23,49.34
magnus,0.22,50.36
bane,0.21,48.87
ember-spirit,0.15,51.56
viper,0.15,48.68
lycan,0.14,48.53
bloodseeker,0.12,47.34
night-stalker,0.12,46.32
bounty-hunter,0.11,47.61
pangolier,0.10,52.72
weaver,0.10,49.74
dragon-knight,0.09,50.11
phoenix,0.07,48.96
outworld-destroyer,0.05,47.44
clinkz,0.04,48.24
dazzle,0.04,51.13
tusk,0.03,53.04
clockwerk,0.03,46.76
void-spirit,-0.02,46.99
riki,-0.02,47.24
dark-willow,-0.02,49.68
gyrocopter,-0.05,51.77
storm-spirit,-0.05,49.07
snapfire,-0.08,52.29
morphling,-0.11,54.19
timbersaw,-0.14,49.12
phantom-lancer,-0.15,52.32
visage,-0.15,47.57
invoker,-0.18,51.23
tiny,-0.31,51.89
oracle,-0.32,46.42
disruptor,-0.36,49.40
chen,-0.37,55.83
ringmaster,-0.39,47.17
sand-king,-0.54,46.98
medusa,-0.55,45.07
beastmaster,-0.56,54.00
venomancer,-0.57,50.01
kunkka,-0.63,47.84
ancient-apparition,-0.67,47.30
lich,-0.67,45.78
windranger,-0.72,49.67
muerta,-0.74,52.12
arc-warden,-0.77,47.37
puck,-0.82,51.17
dark-seer,-0.83,49.46
crystal-maiden,-0.85,49.55
enchantress,-0.86,52.11
mirana,-0.91,53.66
warlock,-0.97,45.47
queen-of-pain,-0.98,49.99
zeus,-1.02,49.09
natures-prophet,-1.05,53.52
pudge,-1.14,48.96
shadow-demon,-1.15,50.78
hoodwink,-1.18,53.60
nyx-assassin,-1.24,48.81
razor,-1.36,49.87
axe,-1.41,48.23
underlord,-1.43,46.99
treant-protector,-1.44,47.97
mars,-1.64,53.04
bristleback,-1.77,51.45
phantom-assassin,-1.83,50.05
spectre,-1.85,49.22
rubick,-1.94,53.41
drow-ranger,-2.82,51.74
sniper,-3.00,52.33
earth-spirit,0,50
