hero,disadvantage,winrate
templar-assassin,2.41,53.05
gyrocopter,1.73,50.26
sniper,1.68,48.14
bristleback,1.61,48.15
huskar,1.53,49.30
hoodwink,1.41,51.52
viper,1.39,47.34
clockwerk,1.32,45.06
batrider,1.28,55.45
dragon-knight,1.12,49.19
night-stalker,1.12,44.85
spectre,1.04,46.10
clinkz,1.03,47.03
tiny,0.95,50.96
techies,0.95,51.02
grimstroke,0.94,49.99
drow-ranger,0.90,48.09
venomancer,0.86,48.59
jakiro,0.86,47.65
enchantress,0.82,50.67
silencer,0.79,44.83
disruptor,0.75,48.24
sven,0.72,53.17
monkey-king,0.71,54.67
troll-warlord,0.68,48.27
necrophos,0.67,45.23
lina,0.67,51.18
lion,0.65,49.04
nature's-prophet,0.63,52.36
windranger,0.63,48.35
winter-wyvern,0.62,48.43
zeus,0.61,47.37
phantom-assassin,0.58,47.70
muerta,0.54,51.11
lifestealer,0.54,47.70
tidehunter,0.53,49.92
mirana,0.47,52.82
keeper-of-the-light,0.46,51.69
wraith-king,0.41,42.63
alchemist,0.40,48.32
razor,0.39,48.03
ogre-magi,0.39,46.74
axe,0.38,46.23
skywrath-mage,0.35,47.53
doom,0.32,52.78
luna,0.32,45.97
sand-king,0.31,45.76
death-prophet,0.30,49.82
slardar,0.29,49.81
phoenix,0.22,48.79
ember-spirit,0.21,51.86
dawnbreaker,0.18,48.26
snapfire,0.17,52.49
leshrac,0.14,49.03
invoker,0.12,51.23
spirit-breaker,0.12,48.01
pangolier,0.12,53.26
elder-titan,0.11,48.31
dark-willow,0.09,49.64
shadow-shaman,0.06,46.09
ancient-apparition,0.05,46.24
mars,0.03,51.77
vengeful-spirit,-0.03,47.16
dazzle,-0.04,51.50
treant-protector,-0.10,46.29
bloodseeker,-0.17,47.40
shadow-fiend,-0.21,50.00
faceless-void,-0.22,52.95
riki,-0.22,47.18
primal-beast,-0.24,51.78
queen-of-pain,-0.24,49.30
ursa,-0.25,50.51
bane,-0.27,49.35
juggernaut,-0.29,47.55
lich,-0.34,44.92
puck,-0.36,50.93
timbersaw,-0.38,49.35
weaver,-0.41,50.35
tusk,-0.43,54.10
outworld-destroyer,-0.44,47.70
storm-spirit,-0.51,49.53
witch-doctor,-0.52,46.35
brewmaster,-0.54,50.31
nyx-assassin,-0.59,48.01
bounty-hunter,-0.64,48.17
pudge,-0.64,48.41
centaur-warrunner,-0.65,46.44
rubick,-0.65,52.66
crystal-maiden,-0.70,49.40
kunkka,-0.73,47.70
underlord,-0.79,45.91
legion-commander,-0.82,46.89
earth-spirit,-0.90,51.10
ringmaster,-0.97,47.43
pugna,-1.00,52.11
undying,-1.02,47.87
enigma,-1.09,50.69
magnus,-1.09,51.93
medusa,-1.15,45.11
void-spirit,-1.17,47.90
morphling,-1.23,56.12
tinker,-1.23,49.94
io,-1.29,50.57
beastmaster,-1.30,55.49
marci,-1.32,50.17
terrorblade,-1.36,55.46
chen,-1.42,58.19
oracle,-1.55,47.32
shadow-demon,-1.59,51.40
warlock,-1.65,45.58
visage,-1.76,49.05
arc-warden,-1.78,48.09
omniknight,-1.95,47.88
dark-seer,-2.00,50.70
anti-mage,-2.02,52.28
phantom-lancer,-2.16,55.11
lycan,-2.30,51.09
chaos-knight,-2.34,52.16
slark,-2.40,51.75
naga-siren,-2.42,54.71
lone-druid,-2.50,50.71
abaddon,-2.52,44.99
meepo,-7.33,58.71
broodmother,-7.57,56.83
