hero,disadvantage,winrate
troll-warlord,6.08,44.45
batrider,4.76,52.43
clinkz,3.70,46.09
phantom-assassin,3.70,46.46
wraith-king,3.61,41.93
windranger,2.79,47.85
natures-prophet,2.72,51.30
sven,2.51,52.21
spirit-breaker,2.33,47.49
visage,2.24,46.67
storm-spirit,2.22,48.31
terrorblade,2.20,52.50
chen,2.03,54.74
templar-assassin,1.84,54.25
winter-wyvern,1.81,48.74
keeper-of-the-light,1.81,51.40
ursa,1.72,49.87
broodmother,1.68,48.38
bristleback,1.65,49.58
primal-beast,1.60,51.03
hoodwink,1.51,52.41
venomancer,1.48,49.44
muerta,1.41,51.38
skywrath-mage,1.34,48.21
techies,1.33,51.75
mirana,1.24,53.00
juggernaut,1.19,47.84
viper,1.19,49.11
silencer,1.16,46.43
jakiro,1.16,48.94
huskar,1.05,51.08
leshrac,1.00,49.63
zeus,0.95,48.67
pangolier,0.89,53.31
weaver,0.85,50.44
sniper,0.84,50.35
shadow-shaman,0.84,47.22
enigma,0.82,50.09
dark-seer,0.82,49.25
naga-siren,0.79,52.19
phoenix,0.78,49.71
monkey-king,0.77,55.20
dragon-knight,0.76,50.89
shadow-demon,0.75,50.33
pugna,0.70,51.53
axe,0.65,47.79
puck,0.58,51.23
lycan,0.50,49.62
bane,0.47,50.05
drow-ranger,0.38,50.09
shadow-fiend,0.38,50.78
crystal-maiden,0.31,49.89
death-prophet,0.30,51.14
lifestealer,0.30,49.54
invoker,0.30,52.21
lina,0.28,52.66
dark-willow,0.23,50.86
treant-protector,0.21,47.83
lion,0.20,50.84
lich,0.17,46.47
bounty-hunter,0.12,49.06
snapfire,0.11,53.50
witch-doctor,0.11,47.62
warlock,0.09,45.94
vengeful-spirit,0.09,48.77
outworld-destroyer,0.09,48.86
magnus,-0.04,52.02
bloodseeker,-0.12,49.04
doom,-0.13,54.13
legion-commander,-0.18,48.10
ancient-apparition,-0.24,48.37
spectre,-0.27,49.14
dazzle,-0.28,52.84
timbersaw,-0.32,50.73
disruptor,-0.32,50.80
beastmaster,-0.33,55.12
nyx-assassin,-0.35,49.41
anti-mage,-0.36,51.84
medusa,-0.36,46.39
grimstroke,-0.37,52.53
earthshaker,-0.40,51.69
phantom-lancer,-0.42,53.97
alchemist,-0.44,50.66
enchantress,-0.44,53.09
ogre-magi,-0.46,49.26
gyrocopter,-0.54,53.64
faceless-void,-0.59,54.22
sand-king,-0.60,48.49
necrophos,-0.61,48.38
queen-of-pain,-0.76,51.21
arc-warden,-0.82,48.90
night-stalker,-0.89,48.80
dawnbreaker,-0.90,50.88
riki,-0.91,49.57
marci,-0.92,51.16
omniknight,-0.95,48.65
clockwerk,-0.96,49.20
slardar,-1.04,52.43
luna,-1.15,49.17
tusk,-1.17,55.57
io,-1.18,51.79
ember-spirit,-1.19,54.27
pudge,-1.20,50.46
brewmaster,-1.33,52.43
morphling,-1.36,56.76
razor,-1.47,51.40
void-spirit,-1.80,50.21
earth-spirit,-1.86,53.26
tiny,-1.90,54.83
tinker,-1.90,52.01
rubick,-1.92,54.84
undying,-1.98,50.50
ringmaster,-2.12,50.26
chaos-knight,-2.13,53.09
mars,-2.15,54.94
kunkka,-2.38,50.99
oracle,-2.77,50.33
slark,-3.08,53.66
tidehunter,-3.37,55.05
underlord,-3.43,50.42
centaur-warrunner,-3.65,51.17
abaddon,-4.76,49.32
lone-druid,-5.72,55.28
meepo,-9.65,61.49
elder-titan,0,50
