hero,disadvantage,winrate
huskar,5.94,43.05
slark,4.41,43.27
monkey-king,3.59,49.44
tinker,3.02,43.90
meepo,2.81,45.83
troll-warlord,2.76,44.50
oracle,2.61,41.69
chen,2.58,51.16
muerta,2.38,47.27
shadow-fiend,2.34,45.79
lone-druid,2.32,44.11
legion-commander,2.21,42.58
broodmother,2.10,44.72
templar-assassin,2.09,50.98
morphling,1.99,50.44
clinkz,1.98,44.53
dragon-knight,1.51,47.01
slardar,1.50,46.78
juggernaut,1.46,44.33
dazzle,1.46,48.01
sven,1.45,50.19
weaver,1.44,46.68
techies,1.37,48.60
pugna,1.24,47.84
grimstroke,1.14,47.89
shadow-shaman,1.14,43.66
tidehunter,1.04,47.55
elder-titan,1.03,45.73
skywrath-mage,1.02,45.29
viper,1.00,46.09
omniknight,0.99,43.43
ursa,0.97,47.43
drow-ranger,0.97,46.34
riki,0.96,44.50
doom,0.92,50.03
lifestealer,0.92,45.73
sniper,0.90,47.12
enigma,0.90,46.83
naga-siren,0.81,49.05
underlord,0.81,42.95
crystal-maiden,0.80,46.21
enchantress,0.79,48.75
silencer,0.78,43.52
hoodwink,0.76,50.05
treant-protector,0.72,44.04
night-stalker,0.71,43.93
alchemist,0.69,46.36
dark-willow,0.68,47.25
dawnbreaker,0.68,46.10
bane,0.65,46.68
phantom-assassin,0.64,46.03
winter-wyvern,0.62,46.73
necrophos,0.49,44.05
nature's-prophet,0.47,50.36
witch-doctor,0.47,44.00
timbersaw,0.37,46.87
arc-warden,0.33,44.50
gyrocopter,0.33,49.69
venomancer,0.32,47.39
bounty-hunter,0.31,45.62
invoker,0.26,49.11
abaddon,0.26,41.06
anti-mage,0.26,48.10
wraith-king,0.25,41.75
snapfire,0.25,50.28
ogre-magi,0.25,45.37
disruptor,0.23,47.06
death-prophet,0.22,48.07
lycan,0.19,46.74
puck,0.15,48.50
ringmaster,0.07,44.93
earthshaker,0.02,48.14
jakiro,-0.05,46.89
outworld-destroyer,-0.12,45.81
lina,-0.14,49.94
lion,-0.15,48.00
earth-spirit,-0.17,48.44
faceless-void,-0.18,50.75
io,-0.21,47.65
pudge,-0.31,46.47
brewmaster,-0.31,48.23
tiny,-0.36,50.25
phoenix,-0.54,47.83
windranger,-0.54,47.75
terrorblade,-0.62,52.28
vengeful-spirit,-0.66,46.25
ancient-apparition,-0.67,45.51
warlock,-0.68,43.37
lich,-0.71,44.00
luna,-0.72,45.52
mirana,-0.73,51.79
beastmaster,-0.76,52.54
spirit-breaker,-0.85,47.33
keeper-of-the-light,-0.94,51.06
marci,-0.98,48.04
bristleback,-1.04,49.02
undying,-1.07,46.40
batrider,-1.10,55.34
magnus,-1.10,49.94
axe,-1.33,46.38
bloodseeker,-1.35,47.04
chaos-knight,-1.38,49.20
visage,-1.38,47.04
pangolier,-1.57,52.73
dark-seer,-1.62,48.50
leshrac,-1.70,49.14
nyx-assassin,-1.76,47.54
shadow-demon,-1.88,49.77
medusa,-1.93,44.61
primal-beast,-1.96,51.48
void-spirit,-2.10,47.28
kunkka,-2.10,47.50
zeus,-2.11,48.37
mars,-2.11,51.82
rubick,-2.15,51.92
tusk,-2.31,53.66
razor,-2.44,49.17
clockwerk,-2.49,47.45
storm-spirit,-2.57,49.77
centaur-warrunner,-2.90,47.19
phantom-lancer,-2.95,53.45
sand-king,-2.97,47.46
spectre,-3.48,49.03
queen-of-pain,-4.67,51.67
