hero,disadvantage,winrate
phantom-assassin,3.45,43.93
marci,3.08,44.48
windranger,2.07,45.77
crystal-maiden,1.88,45.65
mars,1.82,48.43
lone-druid,1.65,45.25
bristleback,1.44,47.06
morphling,1.37,51.50
leshrac,1.31,46.57
brewmaster,1.29,47.06
slark,1.28,46.76
dazzle,1.28,48.65
pudge,1.27,45.56
chaos-knight,1.16,47.13
naga-siren,1.15,49.16
ogre-magi,1.15,45.00
sand-king,1.12,44.08
tusk,1.06,50.80
primal-beast,1.04,48.92
phantom-lancer,0.94,50.00
storm-spirit,0.91,46.84
treant-protector,0.84,44.40
io,0.84,47.06
earth-spirit,0.80,47.93
medusa,0.77,42.45
techies,0.70,49.72
riki,0.68,45.24
keeper-of-the-light,0.63,49.92
hoodwink,0.60,50.65
chen,0.55,53.74
nyx-assassin,0.52,45.81
batrider,0.51,54.16
elder-titan,0.44,46.81
ursa,0.41,48.45
lion,0.38,47.99
witch-doctor,0.35,44.61
shadow-fiend,0.33,48.13
ringmaster,0.31,45.17
pangolier,0.29,51.30
mirana,0.26,51.29
bounty-hunter,0.26,46.16
doom,0.25,51.13
underlord,0.24,44.02
grimstroke,0.22,49.27
centaur-warrunner,0.18,44.69
axe,0.18,45.45
legion-commander,0.15,45.01
luna,0.14,45.20
shadow-demon,0.13,48.22
lich,0.12,43.69
dawnbreaker,0.07,47.18
queen-of-pain,0.07,47.72
vengeful-spirit,-0.02,46.11
terrorblade,-0.03,52.14
warlock,-0.03,43.23
necrophos,-0.07,45.07
puck,-0.10,49.21
dark-willow,-0.11,48.48
broodmother,-0.11,47.42
weaver,-0.11,48.66
slardar,-0.13,48.86
skywrath-mage,-0.14,46.90
omniknight,-0.19,45.09
rubick,-0.23,50.64
arc-warden,-0.28,45.57
alchemist,-0.29,47.80
phoenix,-0.35,48.10
snapfire,-0.35,51.32
magnus,-0.36,49.67
jakiro,-0.37,47.66
wraith-king,-0.42,42.89
nature's-prophet,-0.43,51.68
troll-warlord,-0.43,48.17
razor,-0.44,47.66
monkey-king,-0.46,53.82
shadow-shaman,-0.46,45.67
meepo,-0.46,49.62
pugna,-0.47,50.02
viper,-0.50,48.01
timbersaw,-0.50,48.19
gyrocopter,-0.52,50.99
clockwerk,-0.52,45.99
invoker,-0.56,50.36
enigma,-0.58,48.77
kunkka,-0.58,46.48
bane,-0.58,48.38
tidehunter,-0.60,49.65
lina,-0.61,50.83
death-prophet,-0.61,49.36
templar-assassin,-0.63,54.14
disruptor,-0.63,48.39
abaddon,-0.66,42.47
tinker,-0.66,48.06
tiny,-0.66,51.00
drow-ranger,-0.68,48.40
earthshaker,-0.73,49.32
juggernaut,-0.74,46.89
ember-spirit,-0.81,51.26
ancient-apparition,-0.88,46.20
huskar,-0.94,50.37
night-stalker,-0.94,46.07
undying,-0.98,46.78
outworld-destroyer,-1.30,47.46
oracle,-1.31,46.12
dragon-knight,-1.31,50.19
zeus,-1.33,48.10
winter-wyvern,-1.36,49.20
venomancer,-1.41,49.56
visage,-1.44,47.57
spirit-breaker,-1.51,48.43
lycan,-1.59,49.00
beastmaster,-1.69,53.92
sniper,-1.70,49.90
lifestealer,-1.83,48.93
sven,-1.91,54.00
void-spirit,-1.93,47.61
dark-seer,-2.16,49.52
anti-mage,-2.25,51.00
faceless-void,-2.27,53.25
silencer,-2.29,46.99
clinkz,-2.60,49.56
spectre,-2.87,48.93
bloodseeker,-2.88,49.03
muerta,-3.07,53.21
