hero,disadvantage,winrate
rubick,4.83,47.77
bristleback,4.03,46.37
medusa,3.55,41.58
warlock,2.98,42.12
wraith-king,2.60,41.90
sniper,2.16,48.25
spectre,2.02,45.98
clinkz,1.93,46.88
alchemist,1.78,47.58
silencer,1.75,44.93
riki,1.72,46.05
jakiro,1.57,47.62
axe,1.45,46.10
winter-wyvern,1.44,48.20
naga-siren,1.35,50.78
nature's-prophet,1.33,51.77
troll-warlord,1.28,48.27
kunkka,1.27,46.50
necrophos,1.21,45.67
earthshaker,1.19,49.31
gyrocopter,1.13,51.15
sand-king,1.11,45.91
phantom-lancer,1.07,51.67
grimstroke,1.04,50.26
keeper-of-the-light,1.00,51.36
beastmaster,0.98,53.01
dawnbreaker,0.91,48.16
legion-commander,0.88,46.17
drow-ranger,0.77,48.81
phantom-assassin,0.70,48.27
dazzle,0.66,51.05
dark-seer,0.63,48.51
enchantress,0.58,51.22
batrider,0.56,55.91
lina,0.52,51.56
shadow-fiend,0.50,49.78
zeus,0.39,48.28
pangolier,0.33,53.06
terrorblade,0.31,53.59
faceless-void,0.25,52.57
disruptor,0.23,49.35
dragon-knight,0.21,50.52
abaddon,0.20,43.49
witch-doctor,0.17,46.60
hoodwink,0.17,52.84
skywrath-mage,0.11,48.47
lion,0.08,50.06
undying,0.06,47.57
weaver,0.03,50.34
chen,0.00,56.01
tidehunter,0.00,50.86
tiny,-0.01,52.15
shadow-shaman,-0.05,47.11
muerta,-0.07,51.98
vengeful-spirit,-0.09,48.00
leshrac,-0.11,49.82
templar-assassin,-0.11,55.40
sven,-0.16,54.03
phoenix,-0.24,49.80
brewmaster,-0.24,50.44
juggernaut,-0.25,48.25
io,-0.25,49.96
death-prophet,-0.29,50.85
primal-beast,-0.30,52.06
invoker,-0.30,51.89
huskar,-0.36,51.58
morphling,-0.41,55.03
bane,-0.42,50.03
snapfire,-0.46,53.22
techies,-0.53,52.71
luna,-0.56,47.67
nyx-assassin,-0.64,48.77
anti-mage,-0.69,51.27
windranger,-0.69,50.17
timbersaw,-0.71,50.20
lich,-0.71,46.33
spirit-breaker,-0.71,49.47
ancient-apparition,-0.73,47.88
bloodseeker,-0.73,48.70
clockwerk,-0.78,48.08
elder-titan,-0.78,49.86
puck,-0.79,51.68
ringmaster,-0.85,48.11
pudge,-0.87,49.25
viper,-0.91,50.23
slardar,-0.91,51.43
mirana,-0.92,54.23
lone-druid,-0.94,49.65
ember-spirit,-0.94,53.17
dark-willow,-0.96,51.14
outworld-destroyer,-0.97,48.96
broodmother,-0.99,50.11
tusk,-1.03,54.63
void-spirit,-1.04,48.53
centaur-warrunner,-1.07,47.74
underlord,-1.09,47.17
monkey-king,-1.13,56.23
pugna,-1.14,52.48
treant-protector,-1.15,48.21
crystal-maiden,-1.16,50.38
visage,-1.17,49.12
lycan,-1.24,50.45
chaos-knight,-1.27,51.36
doom,-1.34,54.50
bounty-hunter,-1.35,49.57
night-stalker,-1.36,48.31
oracle,-1.46,48.08
queen-of-pain,-1.49,51.01
venomancer,-1.49,51.44
ursa,-1.58,52.19
storm-spirit,-1.62,51.13
lifestealer,-1.75,50.65
mars,-1.77,53.74
razor,-1.78,50.80
marci,-1.94,51.26
arc-warden,-2.00,49.11
omniknight,-2.04,48.76
ogre-magi,-2.13,49.91
magnus,-2.15,53.22
tinker,-2.29,51.50
slark,-2.39,52.11
earth-spirit,-2.71,53.25
shadow-demon,-2.72,52.88
meepo,-2.91,53.90
