hero,disadvantage,winrate
lone-druid,3.83,41.79
meepo,3.18,44.74
tidehunter,2.46,45.42
enchantress,2.13,46.75
legion-commander,2.12,41.83
chaos-knight,2.03,45.04
night-stalker,1.84,41.98
naga-siren,1.76,47.44
huskar,1.74,46.56
broodmother,1.72,44.35
spectre,1.69,43.19
silencer,1.66,41.81
doom,1.55,48.80
slardar,1.40,46.18
skywrath-mage,1.35,44.20
axe,1.30,43.11
troll-warlord,1.30,45.21
grimstroke,1.29,47.08
lion,1.28,46.01
shadow-shaman,1.23,42.74
anti-mage,1.22,46.46
slark,1.14,45.68
death-prophet,1.04,46.54
bristleback,0.96,46.36
chen,0.95,52.34
wraith-king,0.95,40.15
muerta,0.90,48.12
hoodwink,0.88,49.34
monkey-king,0.81,51.65
vengeful-spirit,0.61,44.25
riki,0.60,44.03
nature's-prophet,0.60,49.66
lycan,0.60,45.58
outworld-destroyer,0.60,44.30
beastmaster,0.57,50.62
disruptor,0.54,46.04
terrorblade,0.53,50.57
pudge,0.51,44.99
arc-warden,0.50,43.53
earthshaker,0.46,47.05
oracle,0.46,43.05
morphling,0.35,51.54
rubick,0.25,49.12
elder-titan,0.24,45.78
io,0.21,46.53
crystal-maiden,0.20,46.08
ember-spirit,0.15,49.25
alchemist,0.14,46.17
abaddon,0.13,40.30
centaur-warrunner,0.13,43.46
visage,0.09,44.81
mirana,0.08,50.46
ursa,0.05,47.66
shadow-fiend,0.04,47.27
sniper,0.02,47.22
dazzle,0.02,48.81
void-spirit,-0.04,44.44
luna,-0.04,44.10
ogre-magi,-0.05,44.87
winter-wyvern,-0.09,46.75
storm-spirit,-0.09,46.65
viper,-0.13,46.48
dark-willow,-0.18,47.42
tiny,-0.19,49.48
nyx-assassin,-0.24,45.32
marci,-0.27,46.63
phantom-assassin,-0.28,46.12
techies,-0.29,49.64
ancient-apparition,-0.36,44.40
necrophos,-0.36,44.07
enigma,-0.39,47.43
spirit-breaker,-0.40,46.15
leshrac,-0.41,47.15
puck,-0.47,48.47
templar-assassin,-0.53,53.14
phantom-lancer,-0.58,50.50
bounty-hunter,-0.68,45.85
lich,-0.71,43.17
dragon-knight,-0.73,48.52
ringmaster,-0.73,44.93
venomancer,-0.76,47.78
jakiro,-0.77,46.87
pangolier,-0.79,51.40
gyrocopter,-0.80,50.25
dawnbreaker,-0.81,46.89
bane,-0.82,47.46
brewmaster,-0.82,48.08
undying,-0.84,45.39
underlord,-0.86,43.82
tusk,-0.87,51.73
batrider,-0.90,54.72
sven,-0.91,52.07
warlock,-0.93,42.75
lina,-0.97,50.14
medusa,-1.03,42.88
phoenix,-1.08,47.69
juggernaut,-1.09,45.98
lifestealer,-1.12,47.03
snapfire,-1.13,51.09
zeus,-1.20,46.78
pugna,-1.21,49.68
clinkz,-1.21,47.00
sand-king,-1.21,45.04
shadow-demon,-1.32,48.56
treant-protector,-1.37,45.36
invoker,-1.43,50.12
drow-ranger,-1.50,48.03
earth-spirit,-1.52,49.16
magnus,-1.56,49.78
bloodseeker,-1.60,46.53
dark-seer,-1.61,47.79
queen-of-pain,-1.62,48.19
clockwerk,-1.63,45.85
razor,-1.65,47.69
witch-doctor,-1.71,45.27
keeper-of-the-light,-2.23,51.83
tinker,-2.23,48.51
mars,-2.42,51.57
timbersaw,-2.44,48.97
kunkka,-2.49,47.17
primal-beast,-2.58,51.53
omniknight,-2.71,46.38
windranger,-3.02,49.42
weaver,-3.03,50.42
