hero,disadvantage,winrate
razor,1.95,45.83
arc-warden,1.89,43.90
visage,1.65,44.97
windranger,1.63,46.70
lycan,1.38,46.51
warlock,1.28,42.46
shadow-demon,1.26,47.60
luna,1.20,44.73
templar-assassin,1.15,52.87
sniper,1.14,47.88
chen,1.14,53.57
dragon-knight,1.09,48.39
medusa,1.04,42.71
ringmaster,0.89,45.15
wraith-king,0.89,42.17
night-stalker,0.88,44.77
meepo,0.86,48.79
jakiro,0.84,47.02
io,0.84,47.57
keeper-of-the-light,0.80,50.24
monkey-king,0.79,53.11
silencer,0.78,44.53
venomancer,0.77,47.92
shadow-fiend,0.74,48.25
natures-prophet,0.72,51.08
gyrocopter,0.68,50.29
mirana,0.66,51.43
lone-druid,0.61,46.80
disruptor,0.59,47.69
spectre,0.59,46.06
clinkz,0.58,46.91
mars,0.50,50.23
legion-commander,0.49,45.21
vengeful-spirit,0.47,46.14
anti-mage,0.46,48.87
sven,0.46,52.14
snapfire,0.45,51.04
terrorblade,0.44,52.16
chaos-knight,0.42,48.39
brewmaster,0.40,48.49
bane,0.32,47.99
elder-titan,0.30,47.47
lich,0.30,44.04
kunkka,0.29,46.14
bloodseeker,0.24,46.43
dark-seer,0.23,47.62
oracle,0.22,45.09
witch-doctor,0.19,45.29
death-prophet,0.16,49.10
troll-warlord,0.15,48.10
phantom-assassin,0.13,47.47
tusk,0.13,52.22
omniknight,0.12,45.31
spirit-breaker,0.08,47.41
winter-wyvern,0.04,48.29
clockwerk,0.04,45.96
dawnbreaker,0.03,47.72
void-spirit,0.03,46.15
invoker,0.03,50.29
weaver,0.01,49.06
axe,-0.01,46.14
hoodwink,-0.01,51.75
centaur-warrunner,-0.02,45.41
pugna,-0.04,50.09
slardar,-0.05,49.29
dark-willow,-0.06,48.95
lina,-0.07,50.83
bounty-hunter,-0.07,47.01
zeus,-0.08,47.42
rubick,-0.10,50.99
riki,-0.10,46.54
underlord,-0.13,44.91
marci,-0.13,48.18
undying,-0.15,46.46
sand-king,-0.15,45.80
shadow-shaman,-0.16,45.90
ancient-apparition,-0.16,46.00
naga-siren,-0.16,50.99
bristleback,-0.16,49.13
lion,-0.20,49.01
enchantress,-0.22,50.72
drow-ranger,-0.22,48.46
huskar,-0.24,50.18
leshrac,-0.28,48.70
muerta,-0.28,50.91
tinker,-0.29,48.21
queen-of-pain,-0.30,48.58
earth-spirit,-0.35,49.58
skywrath-mage,-0.39,47.65
batrider,-0.41,55.54
outworld-destroyer,-0.42,47.11
tiny,-0.44,51.28
ogre-magi,-0.47,47.03
morphling,-0.50,53.85
techies,-0.50,51.40
juggernaut,-0.57,47.25
viper,-0.58,48.61
puck,-0.59,50.20
dazzle,-0.60,50.99
ursa,-0.60,49.94
doom,-0.64,52.53
crystal-maiden,-0.74,48.67
treant-protector,-0.79,46.54
phoenix,-0.84,49.09
earthshaker,-0.94,50.02
phantom-lancer,-0.97,52.41
enigma,-1.01,49.71
alchemist,-1.01,49.02
pudge,-1.09,48.14
beastmaster,-1.11,53.82
magnus,-1.17,50.96
ember-spirit,-1.18,52.14
tidehunter,-1.35,50.90
faceless-void,-1.39,52.90
nyx-assassin,-1.50,48.30
pangolier,-1.52,53.61
lifestealer,-1.56,49.16
broodmother,-1.62,49.45
primal-beast,-1.64,52.10
abaddon,-1.87,44.18
storm-spirit,-2.02,50.23
necrophos,-2.61,48.05
timbersaw,-2.84,50.99
slark,-3.94,52.31
grimstroke,0,50
