hero,disadvantage,winrate
lifestealer,1.72,44.94
viper,1.68,45.43
juggernaut,1.59,44.24
ancient-apparition,1.41,43.48
bristleback,1.15,46.88
witch-doctor,1.14,43.41
anti-mage,0.96,47.41
venomancer,0.89,46.82
centaur-warrunner,0.83,43.60
faceless-void,0.82,49.75
abaddon,0.81,40.57
underlord,0.80,43.01
sniper,0.72,47.27
outworld-destroyer,0.72,44.99
pudge,0.72,45.56
skywrath-mage,0.71,45.60
mars,0.68,49.08
huskar,0.67,48.30
spectre,0.65,45.03
shadow-demon,0.63,47.25
bounty-hunter,0.62,45.33
ogre-magi,0.62,45.03
tinker,0.60,46.34
zeus,0.57,45.83
enchantress,0.52,49.01
lich,0.50,42.87
legion-commander,0.49,44.23
queen-of-pain,0.46,46.88
bloodseeker,0.43,45.25
elder-titan,0.39,46.40
keeper-of-the-light,0.39,49.68
clinkz,0.38,46.14
tidehunter,0.33,48.25
phoenix,0.31,46.98
kunkka,0.31,45.15
dragon-knight,0.29,48.17
oracle,0.28,44.06
meepo,0.28,48.40
razor,0.27,46.50
omniknight,0.27,44.17
wraith-king,0.24,41.81
ursa,0.22,48.17
spirit-breaker,0.21,46.31
chen,0.20,53.55
silencer,0.18,44.13
brewmaster,0.17,47.73
mirana,0.17,50.91
medusa,0.16,42.59
storm-spirit,0.15,47.12
luna,0.14,44.73
morphling,0.12,52.26
warlock,0.09,42.64
templar-assassin,0.07,52.96
snapfire,0.07,50.44
drow-ranger,0.06,47.23
earth-spirit,0.01,48.26
muerta,-0.01,49.65
chaos-knight,-0.01,47.83
pugna,-0.03,49.10
dark-willow,-0.06,47.97
lina,-0.09,49.87
nature's-prophet,-0.09,50.88
sven,-0.09,51.71
phantom-lancer,-0.11,50.57
techies,-0.12,50.05
jakiro,-0.15,46.99
visage,-0.16,45.82
naga-siren,-0.20,50.06
crystal-maiden,-0.22,47.20
broodmother,-0.25,47.10
hoodwink,-0.29,51.04
ember-spirit,-0.31,50.29
treant-protector,-0.31,45.09
troll-warlord,-0.32,47.60
vengeful-spirit,-0.38,46.00
clockwerk,-0.39,45.40
puck,-0.42,49.06
axe,-0.45,45.58
io,-0.45,47.90
ringmaster,-0.46,45.44
disruptor,-0.48,47.77
nyx-assassin,-0.51,46.35
doom,-0.52,51.42
slardar,-0.53,48.78
sand-king,-0.53,45.18
death-prophet,-0.56,48.84
tusk,-0.56,51.92
riki,-0.57,46.01
marci,-0.57,47.64
magnus,-0.59,49.42
phantom-assassin,-0.59,47.16
windranger,-0.61,47.81
alchemist,-0.61,47.65
grimstroke,-0.63,49.65
night-stalker,-0.65,45.31
monkey-king,-0.68,53.56
weaver,-0.74,48.80
bane,-0.76,48.09
rubick,-0.76,50.64
invoker,-0.79,50.09
lion,-0.79,48.57
tiny,-0.81,50.67
arc-warden,-0.82,45.68
necrophos,-0.83,45.35
primal-beast,-0.85,50.35
terrorblade,-0.86,52.49
leshrac,-0.88,48.32
dark-seer,-0.89,47.76
timbersaw,-0.94,48.15
lycan,-0.98,47.92
dawnbreaker,-1.00,47.79
shadow-shaman,-1.01,45.74
shadow-fiend,-1.03,48.94
slark,-1.06,48.55
enigma,-1.13,48.85
batrider,-1.18,55.36
winter-wyvern,-1.20,48.57
void-spirit,-1.23,46.44
beastmaster,-1.34,53.09
lone-druid,-1.59,48.02
dazzle,-1.60,51.01
earthshaker,-1.70,49.75
pangolier,-1.88,53.00
undying,-1.89,47.20
