hero,disadvantage,winrate
timbersaw,1.77,44.43
centaur-warrunner,1.75,41.45
axe,1.56,42.51
spirit-breaker,1.37,44.09
phantom-lancer,1.32,48.30
mars,1.26,47.63
tiny,1.19,47.83
windranger,1.06,45.21
primal-beast,1.05,47.55
phantom-assassin,0.96,44.66
earth-spirit,0.87,46.41
ogre-magi,0.76,43.76
puck,0.50,47.23
snapfire,0.49,49.23
vengeful-spirit,0.45,44.01
beastmaster,0.40,50.63
chen,0.39,52.83
queen-of-pain,0.39,45.94
bane,0.38,45.92
dragon-knight,0.37,47.17
clockwerk,0.33,43.52
omniknight,0.27,42.94
zeus,0.26,45.05
shadow-demon,0.22,46.70
gyrocopter,0.21,48.97
winter-wyvern,0.21,46.13
weaver,0.20,46.94
sven,0.20,50.70
sniper,0.19,46.79
techies,0.18,48.92
drow-ranger,0.18,46.10
tinker,0.17,45.70
kunkka,0.15,44.16
legion-commander,0.12,43.39
arc-warden,0.10,43.44
spectre,0.08,44.47
lifestealer,0.05,45.55
nyx-assassin,0.05,44.71
skywrath-mage,0.03,45.17
keeper-of-the-light,-0.01,49.28
wraith-king,-0.01,40.67
mirana,-0.03,50.37
dazzle,-0.05,48.62
terrorblade,-0.06,51.02
templar-assassin,-0.07,52.55
night-stalker,-0.08,43.54
undying,-0.10,44.29
phoenix,-0.10,46.36
riki,-0.10,44.42
grimstroke,-0.11,48.25
magnus,-0.12,48.06
dawnbreaker,-0.12,45.87
tusk,-0.18,50.83
clinkz,-0.19,45.64
necrophos,-0.21,43.57
luna,-0.22,43.91
void-spirit,-0.22,44.27
bounty-hunter,-0.23,45.10
brewmaster,-0.24,47.19
venomancer,-0.27,47.01
slark,-0.28,46.84
treant-protector,-0.29,43.85
razor,-0.30,46.06
crystal-maiden,-0.30,46.26
morphling,-0.30,52.06
storm-spirit,-0.31,46.57
juggernaut,-0.32,44.94
batrider,-0.32,54.01
muerta,-0.36,49.18
tidehunter,-0.38,48.07
lina,-0.38,49.34
enigma,-0.42,47.16
troll-warlord,-0.42,46.70
pudge,-0.45,45.55
warlock,-0.45,41.86
jakiro,-0.48,46.27
sand-king,-0.48,43.98
broodmother,-0.51,46.29
bloodseeker,-0.52,45.14
pugna,-0.54,48.75
ringmaster,-0.59,44.41
shadow-shaman,-0.59,44.16
lion,-0.61,47.45
outworld-destroyer,-0.61,45.24
abaddon,-0.61,40.57
viper,-0.63,46.70
doom,-0.63,50.80
lich,-0.63,42.69
naga-siren,-0.64,49.70
enchantress,-0.65,49.35
silencer,-0.66,43.79
medusa,-0.71,42.16
slardar,-0.74,48.08
disruptor,-0.74,47.05
death-prophet,-0.74,48.12
meepo,-0.75,48.56
alchemist,-0.76,46.81
ember-spirit,-0.77,49.95
oracle,-0.77,43.87
io,-0.79,47.22
marci,-0.79,46.85
ancient-apparition,-0.84,44.56
pangolier,-0.84,51.25
ursa,-0.85,48.31
faceless-void,-0.87,50.66
invoker,-0.88,49.32
chaos-knight,-0.89,47.78
witch-doctor,-0.90,44.13
underlord,-0.93,43.53
monkey-king,-0.96,53.26
dark-seer,-1.00,46.88
nature's-prophet,-1.00,51.04
visage,-1.03,45.57
rubick,-1.11,50.17
lycan,-1.17,47.10
leshrac,-1.18,47.67
earthshaker,-1.32,48.48
dark-willow,-1.40,48.38
huskar,-1.42,49.53
shadow-fiend,-1.43,48.37
elder-titan,-1.74,47.57
lone-druid,-1.76,47.18
anti-mage,-2.56,49.97
bristleback,-3.55,50.61
