hero,disadvantage,winrate
viper,7.38,40.88
ancient-apparition,6.68,39.23
necrophos,4.15,41.50
chaos-knight,3.53,45.29
doom,3.28,48.69
phantom-assassin,3.19,44.68
phantom-lancer,2.51,48.98
timbersaw,2.25,46.04
bristleback,1.84,47.22
axe,1.75,44.49
terrorblade,1.69,50.99
sniper,1.67,47.43
wraith-king,1.58,41.46
windranger,1.58,46.78
troll-warlord,1.44,46.82
hoodwink,1.39,50.47
lina,1.38,49.52
arc-warden,1.23,44.57
shadow-fiend,1.23,47.83
luna,1.21,44.71
legion-commander,1.21,44.53
naga-siren,1.17,49.70
shadow-demon,1.15,47.76
drow-ranger,1.08,47.24
shadow-shaman,1.07,44.72
witch-doctor,0.99,44.51
undying,0.98,45.36
enchantress,0.93,49.63
leshrac,0.91,47.53
vengeful-spirit,0.80,45.84
muerta,0.80,49.89
bloodseeker,0.77,45.88
razor,0.76,47.03
lion,0.73,48.21
morphling,0.65,52.80
crystal-maiden,0.64,47.37
techies,0.60,50.38
pudge,0.55,46.72
clinkz,0.54,46.96
mirana,0.52,51.64
tusk,0.48,51.95
death-prophet,0.46,48.83
natures-prophet,0.44,51.43
broodmother,0.43,47.40
spirit-breaker,0.43,47.09
visage,0.42,46.24
marci,0.40,47.68
enigma,0.34,48.40
dazzle,0.33,50.15
grimstroke,0.23,49.82
medusa,0.22,43.48
jakiro,0.21,47.65
abaddon,0.20,42.11
lich,0.19,44.12
riki,0.17,46.26
templar-assassin,0.13,54.02
io,0.09,48.35
batrider,-0.06,55.34
monkey-king,-0.09,54.07
spectre,-0.10,46.75
warlock,-0.20,43.89
dawnbreaker,-0.24,48.04
dark-willow,-0.34,49.28
ursa,-0.39,49.78
slark,-0.41,48.94
invoker,-0.43,50.80
dark-seer,-0.50,48.38
ringmaster,-0.51,46.50
beastmaster,-0.53,53.33
ogre-magi,-0.56,47.13
disruptor,-0.58,48.89
gyrocopter,-0.63,51.68
silencer,-0.64,45.90
weaver,-0.66,49.76
venomancer,-0.68,49.39
tinker,-0.75,48.70
skywrath-mage,-0.86,48.15
snapfire,-0.92,52.47
bane,-0.95,49.30
slardar,-1.02,50.29
primal-beast,-1.06,51.59
brewmaster,-1.06,50.03
elder-titan,-1.09,48.91
lone-druid,-1.20,48.64
rubick,-1.22,52.13
juggernaut,-1.29,47.94
sven,-1.31,54.03
winter-wyvern,-1.32,49.70
lifestealer,-1.40,49.02
storm-spirit,-1.40,49.66
tidehunter,-1.50,51.12
chen,-1.55,56.47
earthshaker,-1.61,50.70
underlord,-1.65,46.41
centaur-warrunner,-1.66,47.02
alchemist,-1.67,49.70
keeper-of-the-light,-1.71,52.89
kunkka,-1.77,48.20
faceless-void,-1.86,53.44
mars,-1.88,52.63
dragon-knight,-1.91,51.33
oracle,-2.01,47.34
outworld-destroyer,-2.02,48.71
omniknight,-2.08,47.52
puck,-2.16,51.81
tiny,-2.22,53.10
magnus,-2.22,52.07
bounty-hunter,-2.22,49.15
treant-protector,-2.24,48.00
earth-spirit,-2.31,51.62
nyx-assassin,-2.40,49.19
zeus,-2.40,49.66
phoenix,-2.44,50.73
pugna,-2.57,52.71
sand-king,-2.67,48.21
lycan,-2.92,50.90
queen-of-pain,-2.99,51.18
pangolier,-3.41,55.65
night-stalker,-3.54,49.17
meepo,-3.59,53.38
clockwerk,-3.73,49.71
void-spirit,-4.36,50.56
anti-mage,-5.69,54.88
ember-spirit,-5.90,56.95
huskar,0,50
