hero,disadvantage,winrate
phantom-lancer,2.50,48.56
broodmother,2.12,44.73
templar-assassin,2.04,52.20
puck,1.83,47.25
phantom-assassin,1.71,45.18
meepo,1.54,47.53
faceless-void,1.41,49.88
terrorblade,1.40,51.15
lycan,1.38,45.67
keeper-of-the-light,1.27,49.44
morphling,1.24,52.26
bristleback,1.14,47.25
riki,1.13,44.31
beastmaster,1.06,51.63
hoodwink,0.94,50.67
tusk,0.90,51.40
bounty-hunter,0.89,45.17
io,0.86,46.80
slardar,0.84,47.86
void-spirit,0.83,44.20
chen,0.80,54.27
pangolier,0.77,51.18
lifestealer,0.77,46.05
gyrocopter,0.77,49.91
sven,0.75,51.77
dazzle,0.75,49.32
anti-mage,0.75,48.06
clinkz,0.60,46.07
winter-wyvern,0.59,47.06
mars,0.58,49.85
enchantress,0.51,49.64
naga-siren,0.51,50.00
mirana,0.50,51.46
snapfire,0.48,50.84
weaver,0.42,48.10
sand-king,0.42,44.20
batrider,0.38,55.09
shadow-demon,0.37,47.91
tidehunter,0.35,48.74
huskar,0.33,49.20
tiny,0.32,50.27
pugna,0.19,49.47
nature's-prophet,0.16,51.50
zeus,0.14,46.42
techies,0.09,50.59
death-prophet,0.07,48.69
crystal-maiden,0.06,47.22
windranger,0.06,47.52
enigma,0.02,48.10
venomancer,0.00,48.12
earth-spirit,-0.02,48.76
visage,-0.02,45.69
bloodseeker,-0.07,45.93
razor,-0.08,47.15
shadow-shaman,-0.08,44.79
grimstroke,-0.08,49.72
ursa,-0.10,48.98
sniper,-0.11,48.46
axe,-0.12,45.30
marci,-0.14,47.50
earthshaker,-0.14,48.76
ember-spirit,-0.15,50.89
rubick,-0.15,50.82
juggernaut,-0.16,46.02
magnus,-0.18,49.62
necrophos,-0.21,44.71
monkey-king,-0.21,54.31
legion-commander,-0.22,44.85
skywrath-mage,-0.25,46.73
brewmaster,-0.25,48.60
queen-of-pain,-0.27,47.92
nyx-assassin,-0.29,46.29
bane,-0.29,48.00
vengeful-spirit,-0.31,46.01
omniknight,-0.34,44.69
dark-willow,-0.35,48.71
dragon-knight,-0.35,49.33
alchemist,-0.35,47.71
storm-spirit,-0.36,47.98
lina,-0.37,50.89
lion,-0.40,48.67
drow-ranger,-0.42,48.07
jakiro,-0.46,47.58
disruptor,-0.56,48.23
outworld-destroyer,-0.56,46.42
dawnbreaker,-0.62,47.71
arc-warden,-0.64,45.27
elder-titan,-0.65,47.77
undying,-0.65,46.07
pudge,-0.69,47.05
lone-druid,-0.69,47.37
timbersaw,-0.71,48.30
witch-doctor,-0.73,45.10
night-stalker,-0.75,45.38
phoenix,-0.76,48.43
clockwerk,-0.77,45.85
ancient-apparition,-0.78,45.70
primal-beast,-0.87,51.10
shadow-fiend,-0.91,49.30
dark-seer,-0.94,48.17
spirit-breaker,-0.94,47.70
ogre-magi,-1.02,46.74
luna,-1.02,45.85
ringmaster,-1.05,46.06
leshrac,-1.08,48.97
spectre,-1.14,46.97
lich,-1.16,44.29
warlock,-1.17,43.62
chaos-knight,-1.24,49.57
muerta,-1.34,51.78
slark,-1.36,49.32
tinker,-1.39,48.69
silencer,-1.40,45.68
kunkka,-1.41,46.98
treant-protector,-1.42,46.19
doom,-1.44,53.32
troll-warlord,-1.45,49.18
viper,-1.47,48.93
oracle,-1.50,45.77
abaddon,-1.78,42.69
wraith-king,-1.79,43.41
centaur-warrunner,-1.82,46.22
underlord,-1.84,45.58
medusa,-4.59,47.32
