hero,disadvantage,winrate
troll-warlord,3.32,46.53
underlord,3.00,43.45
marci,2.76,46.93
ancient-apparition,2.57,44.95
sven,2.28,51.86
windranger,2.28,47.70
crystal-maiden,2.18,47.48
magnus,1.86,49.58
monkey-king,1.67,53.80
doom,1.66,51.80
lich,1.66,44.36
dark-willow,1.60,48.90
shadow-fiend,1.52,49.13
lone-druid,1.49,47.53
muerta,1.48,50.72
viper,1.47,48.21
leshrac,1.40,48.60
terrorblade,1.39,52.78
death-prophet,1.38,49.45
earthshaker,1.37,49.43
techies,1.31,51.19
venomancer,1.20,49.09
sand-king,1.17,46.16
jakiro,1.12,48.35
elder-titan,1.10,48.26
lycan,1.08,48.40
disruptor,1.08,48.80
dazzle,1.06,50.95
broodmother,1.04,48.37
vengeful-spirit,0.96,47.28
luna,0.96,46.57
dragon-knight,0.96,50.10
razor,0.84,48.52
mars,0.83,51.47
slardar,0.83,50.00
kunkka,0.80,47.26
snapfire,0.78,52.27
dark-seer,0.78,48.66
drow-ranger,0.75,49.12
witch-doctor,0.74,46.40
sniper,0.66,49.89
lina,0.66,51.71
phantom-lancer,0.65,52.34
tusk,0.63,53.28
undying,0.61,47.32
winter-wyvern,0.59,49.33
slark,0.54,49.58
hoodwink,0.53,52.77
beastmaster,0.52,53.73
primal-beast,0.49,51.54
weaver,0.44,50.22
meepo,0.42,50.82
chen,0.42,55.87
gyrocopter,0.37,52.16
mirana,0.37,53.28
treant-protector,0.33,47.05
enigma,0.22,50.07
ember-spirit,0.20,52.33
naga-siren,0.18,52.22
tiny,0.15,52.26
bristleback,0.08,50.47
bounty-hunter,0.05,48.48
riki,0.05,47.99
ogre-magi,0.04,48.15
pudge,-0.06,48.85
phantom-assassin,-0.08,49.26
medusa,-0.09,45.44
huskar,-0.13,51.65
legion-commander,-0.18,47.45
dawnbreaker,-0.20,49.56
bane,-0.21,50.10
warlock,-0.21,45.54
spirit-breaker,-0.23,49.30
shadow-shaman,-0.25,47.60
templar-assassin,-0.26,55.83
necrophos,-0.32,47.44
silencer,-0.33,47.21
faceless-void,-0.42,53.50
alchemist,-0.44,50.04
timbersaw,-0.45,50.24
omniknight,-0.45,47.49
ursa,-0.47,51.38
chaos-knight,-0.49,50.87
lion,-0.53,50.89
axe,-0.57,48.27
outworld-destroyer,-0.63,48.91
queen-of-pain,-0.68,50.52
natures-prophet,-0.76,54.06
clockwerk,-0.83,48.43
phoenix,-0.83,50.67
rubick,-0.85,53.26
grimstroke,-0.86,52.43
enchantress,-0.87,52.94
ringmaster,-0.94,48.49
keeper-of-the-light,-0.99,53.61
batrider,-1.04,57.71
skywrath-mage,-1.04,49.89
tidehunter,-1.05,52.17
visage,-1.18,49.41
clinkz,-1.18,50.26
pangolier,-1.18,54.82
morphling,-1.20,56.06
brewmaster,-1.32,51.82
centaur-warrunner,-1.38,48.33
storm-spirit,-1.40,51.20
shadow-demon,-1.43,51.87
invoker,-1.46,53.20
arc-warden,-1.55,48.95
puck,-1.59,52.74
abaddon,-1.61,45.56
bloodseeker,-1.64,49.91
tinker,-1.78,51.28
earth-spirit,-1.79,52.60
wraith-king,-1.95,46.51
juggernaut,-1.95,50.15
void-spirit,-1.95,49.73
zeus,-2.00,50.84
pugna,-2.04,53.65
nyx-assassin,-2.05,50.43
night-stalker,-2.17,49.40
lifestealer,-2.23,51.41
anti-mage,-2.28,53.09
oracle,-2.64,49.55
spectre,-2.65,50.82
io,0,50
