hero,disadvantage,winrate
rubick,4.00,49.56
tidehunter,1.34,50.53
pugna,1.27,51.12
morphling,1.24,54.82
juggernaut,1.15,47.64
windranger,1.11,49.35
legion-commander,1.09,46.56
abaddon,1.08,42.84
sniper,0.97,50.27
faceless-void,0.93,53.13
mirana,0.92,53.75
snapfire,0.87,53.15
bane,0.86,49.63
pangolier,0.84,53.78
keeper-of-the-light,0.83,52.67
nature's-prophet,0.78,53.56
drow-ranger,0.78,49.70
storm-spirit,0.77,49.68
slark,0.77,49.98
queen-of-pain,0.76,49.77
lina,0.71,52.53
weaver,0.66,50.70
zeus,0.63,48.86
hoodwink,0.59,53.72
enchantress,0.59,52.34
clinkz,0.58,49.04
pudge,0.56,48.78
ringmaster,0.51,47.46
gyrocopter,0.46,53.01
centaur-warrunner,0.38,46.92
outworld-destroyer,0.37,48.37
muerta,0.35,52.71
invoker,0.34,52.42
ember-spirit,0.33,53.11
lifestealer,0.33,49.44
ancient-apparition,0.33,47.49
ursa,0.32,51.36
venomancer,0.32,50.63
oracle,0.26,46.94
tinker,0.26,49.83
magnus,0.23,51.97
skywrath-mage,0.22,49.17
bloodseeker,0.20,48.54
winter-wyvern,0.19,50.37
tiny,0.15,53.18
omniknight,0.13,47.22
chen,0.12,57.51
doom,0.12,54.34
bounty-hunter,0.11,48.91
silencer,0.08,47.12
puck,0.07,51.91
bristleback,0.05,51.22
timbersaw,0.04,50.39
shadow-demon,0.03,51.12
necrophos,0.01,47.46
leshrac,0.01,50.64
underlord,0.01,46.62
viper,0.00,50.25
sven,0.00,55.25
alchemist,-0.01,50.23
huskar,-0.03,52.36
razor,-0.04,49.96
void-spirit,-0.06,48.26
nyx-assassin,-0.06,48.98
lion,-0.09,51.20
mars,-0.11,53.31
kunkka,-0.12,48.59
earth-spirit,-0.13,51.70
ogre-magi,-0.14,48.78
dragon-knight,-0.18,51.96
death-prophet,-0.20,51.80
dazzle,-0.20,53.08
dark-willow,-0.21,51.39
disruptor,-0.22,50.73
tusk,-0.22,55.24
night-stalker,-0.23,47.84
shadow-fiend,-0.33,51.57
sand-king,-0.37,47.99
treant-protector,-0.42,48.14
luna,-0.46,48.27
crystal-maiden,-0.48,50.65
undying,-0.50,48.86
shadow-shaman,-0.54,48.24
grimstroke,-0.54,53.00
templar-assassin,-0.54,57.36
monkey-king,-0.55,57.20
lich,-0.59,46.74
phantom-assassin,-0.65,50.38
phantom-lancer,-0.67,54.64
witch-doctor,-0.70,48.06
slardar,-0.74,52.32
marci,-0.75,51.04
techies,-0.78,54.22
medusa,-0.83,46.35
brewmaster,-0.86,52.09
troll-warlord,-0.87,51.39
vengeful-spirit,-0.91,49.59
visage,-0.92,49.68
earthshaker,-0.92,52.35
io,-0.94,51.65
dark-seer,-0.94,51.02
lycan,-0.96,51.11
axe,-1.05,49.17
elder-titan,-1.05,51.07
phoenix,-1.06,51.60
spectre,-1.07,49.80
primal-beast,-1.09,54.05
beastmaster,-1.18,56.63
clockwerk,-1.20,49.24
batrider,-1.30,59.39
terrorblade,-1.31,56.62
spirit-breaker,-1.33,50.98
enigma,-1.35,52.38
dawnbreaker,-1.47,51.50
broodmother,-1.51,51.59
riki,-1.54,50.08
anti-mage,-1.65,53.33
warlock,-1.70,47.18
arc-warden,-1.81,49.70
naga-siren,-1.83,55.20
chaos-knight,-1.85,53.02
wraith-king,-2.03,46.76
lone-druid,-2.64,52.32
meepo,-4.38,56.62
