hero,disadvantage,winrate
chen,3.27,55.43
morphling,3.11,54.19
visage,2.91,46.85
muerta,2.60,51.67
night-stalker,2.54,46.14
anti-mage,2.53,50.37
weaver,2.45,50.13
riki,2.45,47.08
templar-assassin,2.38,55.73
lone-druid,2.31,48.35
clinkz,2.29,48.45
natures-prophet,2.20,53.45
skywrath-mage,2.11,48.45
doom,2.01,53.70
death-prophet,1.98,50.77
void-spirit,1.98,47.31
broodmother,1.94,49.18
io,1.94,49.85
ursa,1.81,51.12
lion,1.79,50.67
meepo,1.72,51.47
storm-spirit,1.58,50.09
spirit-breaker,1.55,49.30
huskar,1.52,52.06
faceless-void,1.46,54.02
pugna,1.46,52.22
puck,1.34,51.87
sven,1.29,55.37
beastmaster,1.25,55.36
lycan,1.24,50.01
batrider,1.21,58.17
slark,1.16,50.87
enchantress,1.14,53.11
disruptor,1.09,50.63
mirana,1.04,54.95
shadow-shaman,0.97,47.93
troll-warlord,0.96,50.74
grimstroke,0.90,52.75
dazzle,0.90,53.21
razor,0.90,50.24
outworld-destroyer,0.84,49.09
drow-ranger,0.84,50.90
silencer,0.80,47.55
witch-doctor,0.79,47.80
chaos-knight,0.73,51.61
tusk,0.73,55.52
axe,0.69,48.66
legion-commander,0.67,48.16
dragon-knight,0.66,52.40
queen-of-pain,0.63,51.15
terrorblade,0.58,56.04
hoodwink,0.56,55.07
bane,0.52,51.25
oracle,0.49,47.96
enigma,0.49,51.72
phantom-lancer,0.42,55.02
brewmaster,0.40,52.04
pangolier,0.35,55.64
winter-wyvern,0.34,51.46
lina,0.33,54.24
earthshaker,0.28,52.45
sniper,0.25,52.22
wraith-king,0.24,45.56
abaddon,0.24,44.90
necrophos,0.21,48.44
monkey-king,0.18,57.93
phantom-assassin,0.09,50.92
windranger,0.07,51.64
shadow-demon,0.07,52.33
invoker,0.07,54.00
marci,0.07,51.44
shadow-fiend,0.05,52.47
snapfire,0.04,55.32
naga-siren,0.04,54.62
tiny,-0.01,54.69
arc-warden,-0.05,49.06
timbersaw,-0.07,51.76
dark-seer,-0.15,51.45
pudge,-0.16,50.67
ancient-apparition,-0.16,49.19
keeper-of-the-light,-0.16,55.09
undying,-0.24,49.81
leshrac,-0.29,52.23
warlock,-0.30,46.92
zeus,-0.34,51.06
rubick,-0.36,55.06
vengeful-spirit,-0.43,50.33
mars,-0.48,55.02
lifestealer,-0.51,51.57
omniknight,-0.55,49.18
primal-beast,-0.59,54.85
tinker,-0.73,52.14
dawnbreaker,-0.77,52.02
magnus,-0.80,54.33
gyrocopter,-0.82,55.75
ember-spirit,-0.84,55.67
elder-titan,-0.87,52.14
luna,-0.87,49.88
alchemist,-0.91,52.44
lich,-0.95,48.29
bounty-hunter,-0.97,51.28
slardar,-1.03,53.96
ogre-magi,-1.09,50.95
jakiro,-1.10,52.37
medusa,-1.15,47.82
techies,-1.16,56.00
ringmaster,-1.18,50.40
venomancer,-1.22,53.53
crystal-maiden,-1.30,52.75
nyx-assassin,-1.51,51.70
spectre,-1.71,51.68
viper,-1.71,53.29
clockwerk,-1.76,51.05
sand-king,-1.89,50.72
kunkka,-1.90,51.68
dark-willow,-1.99,54.57
tidehunter,-2.02,55.40
earth-spirit,-2.06,55.03
centaur-warrunner,-2.16,50.75
treant-protector,-2.26,51.32
bloodseeker,-2.31,52.43
bristleback,-2.43,55.07
phoenix,-2.77,54.71
underlord,-3.13,51.11
juggernaut,0,50
