hero,disadvantage,winrate
chen,6.14,47.41
storm-spirit,3.09,44.26
batrider,2.90,51.11
lycan,2.74,44.17
phantom-assassin,2.72,44.15
faceless-void,2.38,48.16
weaver,2.29,45.84
sven,2.02,49.50
huskar,1.80,47.14
legion-commander,1.79,43.07
spirit-breaker,1.73,44.87
skywrath-mage,1.62,44.73
nature's-prophet,1.44,49.32
shadow-shaman,1.30,43.58
clinkz,1.28,45.25
slark,1.19,46.37
arc-warden,1.17,43.71
ogre-magi,1.16,44.55
windranger,1.11,46.20
templar-assassin,1.11,51.79
magnus,1.02,47.80
io,0.99,46.43
ember-spirit,0.98,48.94
crystal-maiden,0.94,46.09
queen-of-pain,0.91,46.45
juggernaut,0.89,44.92
tiny,0.78,49.05
bounty-hunter,0.77,45.21
sniper,0.73,47.25
tusk,0.72,50.57
brewmaster,0.69,47.19
vengeful-spirit,0.65,45.02
silencer,0.64,43.73
anti-mage,0.62,47.70
nyx-assassin,0.58,45.31
venomancer,0.56,47.14
pudge,0.53,45.75
lion,0.49,47.40
slardar,0.40,47.83
troll-warlord,0.40,46.86
muerta,0.36,49.23
pugna,0.35,48.66
lina,0.34,49.40
techies,0.31,49.55
tidehunter,0.29,48.25
razor,0.29,46.49
lone-druid,0.26,46.18
riki,0.23,45.26
mirana,0.19,50.80
naga-siren,0.18,49.60
void-spirit,0.15,45.09
bristleback,0.12,47.85
viper,0.12,46.95
tinker,0.12,46.82
mars,0.10,49.58
terrorblade,0.07,51.44
night-stalker,0.01,44.70
chaos-knight,-0.01,47.80
pangolier,-0.03,51.04
phantom-lancer,-0.04,50.40
lich,-0.04,43.46
dragon-knight,-0.04,48.46
hoodwink,-0.06,50.72
axe,-0.06,45.23
witch-doctor,-0.10,44.60
death-prophet,-0.11,48.35
ancient-apparition,-0.17,45.08
earth-spirit,-0.20,48.42
earthshaker,-0.20,48.31
zeus,-0.27,46.63
puck,-0.29,48.88
shadow-fiend,-0.29,48.21
snapfire,-0.29,50.71
beastmaster,-0.30,51.91
dazzle,-0.31,49.67
lifestealer,-0.34,46.97
oracle,-0.34,44.73
marci,-0.36,47.41
medusa,-0.37,43.19
drow-ranger,-0.39,47.64
underlord,-0.42,44.27
undying,-0.43,45.78
gyrocopter,-0.43,50.35
sand-king,-0.44,45.12
abaddon,-0.45,41.91
doom,-0.45,51.26
leshrac,-0.46,47.87
alchemist,-0.52,47.54
visage,-0.52,46.21
jakiro,-0.53,47.34
morphling,-0.58,52.82
primal-beast,-0.61,50.02
enchantress,-0.62,50.06
dark-seer,-0.65,47.50
timbersaw,-0.82,48.01
dawnbreaker,-0.84,47.61
grimstroke,-0.86,49.82
warlock,-0.90,43.68
disruptor,-0.91,48.17
ursa,-0.92,49.24
shadow-demon,-0.94,48.79
dark-willow,-0.96,48.82
enigma,-0.97,48.64
broodmother,-1.00,47.81
meepo,-1.02,49.66
ringmaster,-1.09,46.07
wraith-king,-1.16,43.22
spectre,-1.23,46.87
bane,-1.34,48.63
monkey-king,-1.35,54.04
invoker,-1.35,50.55
outworld-destroyer,-1.38,47.08
winter-wyvern,-1.65,48.98
centaur-warrunner,-1.68,46.07
rubick,-1.74,51.49
elder-titan,-1.87,48.64
luna,-1.88,46.62
treant-protector,-2.05,46.82
bloodseeker,-2.25,47.92
clockwerk,-2.27,47.26
phoenix,-2.30,49.51
necrophos,-2.65,47.12
kunkka,-2.79,48.19
omniknight,-3.00,47.44
