hero,disadvantage,winrate
lifestealer,3.06,48.14
keeper-of-the-light,2.92,51.80
faceless-void,2.47,52.83
brewmaster,2.37,50.11
elder-titan,2.28,49.03
ember-spirit,2.18,52.49
bounty-hunter,2.09,48.41
undying,2.03,47.85
juggernaut,2.03,48.34
venomancer,1.85,50.47
huskar,1.82,51.80
winter-wyvern,1.76,50.18
alchemist,1.66,49.97
rubick,1.64,53.11
ancient-apparition,1.57,47.82
batrider,1.55,57.51
bristleback,1.52,51.12
timbersaw,1.47,50.39
weaver,1.45,51.29
pangolier,1.43,54.45
clinkz,1.32,49.76
tinker,1.29,50.22
warlock,1.25,45.93
slardar,1.24,51.66
bloodseeker,1.23,48.99
monkey-king,1.22,56.53
death-prophet,1.22,51.69
morphling,1.19,56.00
doom,1.09,54.59
invoker,1.07,53.02
puck,1.04,52.29
anti-mage,1.03,51.98
ursa,1.01,52.02
ogre-magi,0.98,49.22
pugna,0.93,52.81
dark-willow,0.90,51.65
underlord,0.87,47.40
phoenix,0.83,51.07
phantom-lancer,0.77,54.40
earth-spirit,0.75,52.16
necrophos,0.71,48.36
nature's-prophet,0.70,54.85
enchantress,0.69,53.52
dark-seer,0.69,50.76
omniknight,0.68,48.25
templar-assassin,0.63,57.23
dazzle,0.62,53.51
earthshaker,0.52,52.30
razor,0.50,50.86
riki,0.47,49.53
phantom-assassin,0.46,50.77
visage,0.45,49.75
void-spirit,0.42,49.32
shadow-demon,0.40,52.13
magnus,0.38,53.15
bane,0.35,51.61
storm-spirit,0.29,51.60
dragon-knight,0.28,52.85
naga-siren,0.27,54.33
witch-doctor,0.18,48.80
terrorblade,0.18,56.22
viper,0.17,51.50
treant-protector,0.11,49.18
tidehunter,0.05,53.20
sven,0.04,56.33
jakiro,0.03,51.41
snapfire,0.00,55.25
lycan,0.00,51.53
night-stalker,-0.03,49.20
tusk,-0.08,56.23
lich,-0.10,47.91
grimstroke,-0.12,53.83
gyrocopter,-0.13,54.85
sniper,-0.13,52.67
spirit-breaker,-0.15,51.24
tiny,-0.16,54.75
ringmaster,-0.17,49.71
silencer,-0.18,48.99
shadow-shaman,-0.19,49.47
zeus,-0.20,51.14
primal-beast,-0.20,54.43
queen-of-pain,-0.22,52.14
oracle,-0.28,49.12
slark,-0.31,52.46
hoodwink,-0.35,55.85
centaur-warrunner,-0.35,49.26
spectre,-0.39,50.60
drow-ranger,-0.40,52.28
axe,-0.41,50.08
lina,-0.42,54.90
wraith-king,-0.44,46.88
disruptor,-0.45,52.37
broodmother,-0.45,51.92
outworld-destroyer,-0.51,50.78
sand-king,-0.62,49.79
skywrath-mage,-0.62,51.50
leshrac,-0.64,52.72
crystal-maiden,-0.64,52.22
techies,-0.67,55.31
io,-0.67,52.74
lion,-0.67,53.10
troll-warlord,-0.76,52.66
clockwerk,-0.81,50.36
chen,-0.82,59.48
beastmaster,-0.84,57.44
dawnbreaker,-0.85,52.27
windranger,-0.87,52.68
mirana,-0.99,56.80
nyx-assassin,-1.04,51.45
shadow-fiend,-1.06,53.61
enigma,-1.09,53.48
abaddon,-1.11,46.86
mars,-1.12,55.59
vengeful-spirit,-1.13,51.30
pudge,-1.28,51.92
muerta,-1.37,55.76
marci,-1.42,53.12
lone-druid,-1.45,52.49
meepo,-1.51,54.91
arc-warden,-1.83,51.23
medusa,-1.89,49.08
chaos-knight,-2.00,54.49
legion-commander,-2.19,51.29
luna,-2.36,51.61
