hero,disadvantage,winrate
winter-wyvern,3.13,49.68
omniknight,3.03,46.55
dawnbreaker,2.97,49.20
monkey-king,2.82,56.52
chaos-knight,2.81,50.60
oracle,2.51,46.96
templar-assassin,2.47,56.98
dragon-knight,2.42,51.81
tiny,2.33,53.48
mars,2.31,53.38
tusk,2.29,55.17
medusa,2.17,45.48
shadow-demon,2.07,51.42
kunkka,2.06,48.71
spirit-breaker,2.02,50.01
dazzle,1.95,53.34
primal-beast,1.93,53.42
pudge,1.78,50.00
techies,1.71,54.19
wraith-king,1.65,45.21
lone-druid,1.63,50.26
vengeful-spirit,1.52,49.48
lion,1.51,52.15
ringmaster,1.51,48.83
beastmaster,1.48,56.43
outworld-destroyer,1.45,49.61
troll-warlord,1.41,51.48
shadow-fiend,1.32,52.41
ursa,1.26,52.95
pangolier,1.20,56.00
pugna,1.14,53.79
zeus,1.11,50.78
batrider,1.10,59.57
treant-protector,1.09,48.96
bane,1.07,51.86
chen,1.04,59.18
axe,1.02,49.52
magnus,0.98,53.72
riki,0.96,49.86
abaddon,0.95,45.30
morphling,0.91,57.72
slardar,0.86,53.19
earthshaker,0.84,53.11
doom,0.79,56.27
marci,0.78,51.88
snapfire,0.77,55.80
sven,0.77,57.08
visage,0.68,50.38
drow-ranger,0.54,52.37
tinker,0.54,51.98
io,0.54,52.56
lich,0.53,47.93
lycan,0.53,51.99
centaur-warrunner,0.48,49.18
clockwerk,0.47,49.89
elder-titan,0.45,51.90
enchantress,0.45,55.00
alchemist,0.37,52.31
luna,0.36,49.84
timbersaw,0.31,52.59
shadow-shaman,0.31,49.78
hoodwink,0.30,56.61
gyrocopter,0.28,55.77
razor,0.25,52.12
nature's-prophet,0.22,56.73
tidehunter,0.22,54.24
night-stalker,0.21,49.74
leshrac,0.19,52.91
grimstroke,0.16,54.79
sniper,0.16,53.51
invoker,0.15,55.15
phantom-assassin,0.12,52.07
death-prophet,0.11,53.99
skywrath-mage,0.02,51.81
lifestealer,-0.05,52.29
windranger,-0.14,53.04
naga-siren,-0.16,56.03
spectre,-0.17,51.28
nyx-assassin,-0.21,51.54
crystal-maiden,-0.26,52.90
mirana,-0.27,57.50
witch-doctor,-0.32,50.07
enigma,-0.33,53.83
void-spirit,-0.38,51.00
ancient-apparition,-0.42,50.65
brewmaster,-0.50,54.25
necrophos,-0.53,50.38
slark,-0.55,53.83
lina,-0.59,56.38
huskar,-0.59,55.49
dark-seer,-0.65,53.19
juggernaut,-0.65,51.85
underlord,-0.70,49.72
keeper-of-the-light,-0.71,56.93
warlock,-0.79,48.58
undying,-0.81,51.60
disruptor,-0.83,53.86
sand-king,-0.86,50.85
terrorblade,-0.91,58.91
storm-spirit,-0.95,53.93
jakiro,-0.96,53.44
puck,-0.97,55.48
broodmother,-0.99,53.53
phantom-lancer,-1.01,57.66
dark-willow,-1.05,54.80
ogre-magi,-1.06,52.12
phoenix,-1.08,54.12
rubick,-1.09,57.04
meepo,-1.12,55.77
earth-spirit,-1.13,55.29
ember-spirit,-1.34,57.42
weaver,-1.34,55.30
faceless-void,-1.36,58.17
queen-of-pain,-1.40,54.39
muerta,-1.40,57.12
bloodseeker,-1.41,52.66
venomancer,-1.50,55.05
bounty-hunter,-1.55,53.08
viper,-1.60,54.36
clinkz,-1.84,54.06
silencer,-1.95,51.59
anti-mage,-2.06,56.30
arc-warden,-2.17,52.50
bristleback,-3.60,57.61
