hero,disadvantage,winrate
undying,3.16,44.84
queen-of-pain,3.04,47.03
outworld-destroyer,2.88,45.47
bristleback,2.76,47.88
silencer,2.36,44.63
death-prophet,2.32,48.51
disruptor,2.28,47.62
medusa,2.07,43.35
lina,2.01,50.43
drow-ranger,2.00,47.92
ursa,1.93,49.05
lycan,1.91,47.57
ember-spirit,1.71,50.83
weaver,1.70,48.99
ancient-apparition,1.59,45.91
witch-doctor,1.56,45.60
sven,1.51,52.62
skywrath-mage,1.44,47.48
sniper,1.32,49.30
dawnbreaker,1.14,48.23
lifestealer,1.13,48.09
venomancer,1.12,49.16
viper,1.05,48.62
slardar,1.05,49.78
hoodwink,0.99,52.33
ogre-magi,0.99,47.26
invoker,0.94,51.02
clinkz,0.93,48.17
gyrocopter,0.86,51.67
lion,0.82,49.67
windranger,0.80,49.08
kunkka,0.79,47.28
natures-prophet,0.78,52.57
luna,0.74,46.79
mirana,0.68,52.93
juggernaut,0.59,47.76
centaur-warrunner,0.58,46.46
nyx-assassin,0.57,47.89
zeus,0.55,48.42
shadow-shaman,0.55,46.84
keeper-of-the-light,0.54,52.07
morphling,0.53,54.35
oracle,0.50,46.45
anti-mage,0.36,50.55
shadow-fiend,0.34,50.20
broodmother,0.32,49.09
void-spirit,0.31,47.48
ringmaster,0.30,47.34
grimstroke,0.26,51.30
razor,0.26,49.09
shadow-demon,0.24,50.21
faceless-void,0.24,52.84
clockwerk,0.23,47.39
legion-commander,0.20,47.09
warlock,0.18,45.18
enigma,0.16,50.13
pudge,0.07,48.72
jakiro,0.06,49.36
pugna,0.05,51.57
dazzle,0.05,51.93
snapfire,0.04,52.99
night-stalker,0.02,47.25
doom,0.01,53.42
phoenix,-0.01,49.85
visage,-0.02,48.27
rubick,-0.10,52.55
marci,-0.15,49.78
bounty-hunter,-0.18,48.71
bane,-0.21,50.10
dragon-knight,-0.26,51.25
crystal-maiden,-0.27,49.81
bloodseeker,-0.27,48.55
wraith-king,-0.28,44.91
earthshaker,-0.28,50.97
lich,-0.32,46.27
magnus,-0.33,51.71
mars,-0.33,52.58
pangolier,-0.35,53.98
vengeful-spirit,-0.36,48.56
puck,-0.46,51.63
abaddon,-0.48,44.48
storm-spirit,-0.49,50.31
sand-king,-0.50,47.76
underlord,-0.51,46.92
batrider,-0.54,57.21
spirit-breaker,-0.68,49.73
primal-beast,-0.75,52.77
chaos-knight,-0.84,51.21
arc-warden,-0.87,48.31
muerta,-0.91,53.10
spectre,-0.93,49.14
troll-warlord,-0.99,50.82
elder-titan,-1.00,50.37
huskar,-1.00,52.49
phantom-assassin,-1.07,50.16
dark-willow,-1.09,51.54
tusk,-1.09,54.93
terrorblade,-1.27,55.40
earth-spirit,-1.35,52.15
timbersaw,-1.38,51.14
enchantress,-1.38,53.43
io,-1.39,51.39
winter-wyvern,-1.67,51.58
alchemist,-1.70,51.27
beastmaster,-1.85,56.09
treant-protector,-1.85,49.20
omniknight,-1.88,48.91
tinker,-1.89,51.38
techies,-1.90,54.32
lone-druid,-1.93,50.92
tiny,-2.01,54.35
riki,-2.06,50.07
brewmaster,-2.60,53.10
naga-siren,-2.80,55.21
dark-seer,-2.87,52.32
phantom-lancer,-2.95,55.92
monkey-king,-3.21,58.48
axe,-3.28,50.78
templar-assassin,-3.54,59.05
tidehunter,-3.71,54.80
slark,-4.19,54.10
necrophos,-4.60,51.55
chen,-5.59,61.91
meepo,-7.95,59.22
leshrac,0,50
