hero,disadvantage,winrate
pangolier,2.70,55.51
shadow-demon,2.26,52.53
phantom-lancer,1.76,55.76
anti-mage,1.76,53.60
oracle,1.68,49.31
bane,1.64,52.57
visage,1.50,50.91
pugna,1.49,54.59
weaver,1.48,53.57
bristleback,1.46,53.50
timbersaw,1.42,52.71
queen-of-pain,1.34,52.92
phoenix,1.28,52.90
clinkz,1.21,52.13
nature's-prophet,1.11,56.84
outworld-destroyer,1.08,51.42
mirana,1.08,57.17
morphling,1.08,58.57
ember-spirit,1.07,56.00
centaur-warrunner,1.06,50.07
earth-spirit,1.03,54.20
windranger,0.99,53.20
undying,0.98,51.13
enigma,0.98,53.66
ringmaster,0.93,50.86
silencer,0.92,50.10
lycan,0.91,52.88
puck,0.87,54.80
juggernaut,0.85,51.71
omniknight,0.85,50.29
dark-seer,0.85,52.88
faceless-void,0.85,56.83
dark-willow,0.79,54.09
rubick,0.75,56.33
winter-wyvern,0.74,53.52
invoker,0.73,55.71
zeus,0.70,52.54
bounty-hunter,0.66,52.10
slark,0.65,53.81
death-prophet,0.64,54.63
keeper-of-the-light,0.64,56.54
leshrac,0.63,53.72
hoodwink,0.63,57.31
venomancer,0.63,54.03
bloodseeker,0.59,51.90
dazzle,0.51,56.02
templar-assassin,0.50,59.85
jakiro,0.48,53.27
drow-ranger,0.47,53.73
doom,0.47,57.60
snapfire,0.44,57.22
spectre,0.43,52.03
razor,0.40,53.25
broodmother,0.39,53.33
sniper,0.38,54.51
brewmaster,0.38,54.49
pudge,0.37,52.73
storm-spirit,0.36,53.83
skywrath-mage,0.35,52.80
ancient-apparition,0.35,51.28
warlock,0.33,48.99
viper,0.32,53.66
shadow-shaman,0.30,51.23
witch-doctor,0.28,50.94
enchantress,0.28,56.33
lina,0.25,56.63
disruptor,0.24,53.99
ursa,0.23,55.14
elder-titan,0.20,53.47
batrider,0.16,61.39
void-spirit,0.16,51.83
kunkka,0.16,52.10
sven,0.15,58.67
chen,0.15,60.94
beastmaster,0.15,58.80
huskar,0.14,55.85
grimstroke,0.13,55.96
night-stalker,0.12,51.29
mars,0.09,56.74
riki,0.08,52.17
naga-siren,0.07,56.88
earthshaker,0.05,55.08
alchemist,0.05,53.90
slardar,0.04,55.21
gyrocopter,0.00,57.13
lion,-0.01,54.82
underlord,-0.05,50.53
nyx-assassin,-0.08,52.76
axe,-0.18,52.09
tinker,-0.18,54.02
crystal-maiden,-0.19,54.09
techies,-0.21,57.26
shadow-fiend,-0.28,55.20
clockwerk,-0.33,52.12
magnus,-0.33,56.23
tidehunter,-0.36,55.98
tusk,-0.39,58.99
luna,-0.41,52.00
tiny,-0.45,57.43
lifestealer,-0.45,53.99
meepo,-0.45,56.13
primal-beast,-0.46,57.07
troll-warlord,-0.48,54.69
muerta,-0.48,57.23
sand-king,-0.49,51.90
monkey-king,-0.52,60.71
treant-protector,-0.52,52.07
ogre-magi,-0.64,53.04
dragon-knight,-0.65,56.09
legion-commander,-0.66,52.07
medusa,-0.72,50.08
phantom-assassin,-0.85,54.28
dawnbreaker,-0.86,54.59
wraith-king,-0.88,49.46
abaddon,-0.96,48.85
marci,-1.05,55.06
arc-warden,-1.10,52.73
vengeful-spirit,-1.15,53.60
spirit-breaker,-1.17,54.53
necrophos,-1.18,52.46
io,-1.19,55.62
chaos-knight,-1.38,56.20
terrorblade,-1.59,60.47
lone-druid,-2.07,55.44
