hero,disadvantage,winrate
slardar,3.57,48.11
natures-prophet,3.30,51.02
clinkz,3.19,46.67
razor,3.01,47.16
broodmother,2.74,47.43
visage,2.51,46.48
death-prophet,2.32,49.32
phantom-assassin,2.22,47.94
io,2.20,48.59
chen,2.17,54.98
bristleback,2.17,49.27
troll-warlord,2.12,48.52
enchantress,1.85,51.08
marci,1.83,48.61
enigma,1.79,49.31
naga-siren,1.72,51.51
lone-druid,1.65,48.15
winter-wyvern,1.64,49.07
viper,1.61,48.87
tusk,1.59,53.24
grimstroke,1.58,50.84
riki,1.57,47.23
doom,1.57,52.79
dark-seer,1.55,48.66
beastmaster,1.52,53.64
templar-assassin,1.43,55.09
dazzle,1.41,51.46
huskar,1.40,50.98
medusa,1.39,44.66
skywrath-mage,1.39,48.29
anti-mage,1.37,50.42
queen-of-pain,1.34,49.42
meepo,1.33,50.72
pangolier,1.28,53.26
spirit-breaker,1.23,48.69
monkey-king,1.22,55.19
storm-spirit,1.20,49.47
chaos-knight,1.15,50.06
drow-ranger,1.14,49.55
weaver,1.09,50.42
witch-doctor,1.05,46.81
faceless-void,1.03,52.99
slark,0.97,49.98
bane,0.88,49.82
ursa,0.85,50.95
morphling,0.82,55.04
mirana,0.81,53.75
juggernaut,0.70,48.43
lich,0.68,45.99
bounty-hunter,0.64,48.67
muerta,0.55,52.53
silencer,0.51,47.13
omniknight,0.50,47.28
pugna,0.49,52.00
keeper-of-the-light,0.42,53.08
arc-warden,0.42,47.76
ancient-apparition,0.40,47.81
shadow-shaman,0.38,47.74
crystal-maiden,0.37,50.01
treant-protector,0.36,47.76
night-stalker,0.35,47.65
legion-commander,0.32,47.73
terrorblade,0.32,54.76
batrider,0.29,57.36
void-spirit,0.19,48.35
oracle,0.13,47.54
disruptor,0.13,50.55
windranger,0.07,50.57
vengeful-spirit,0.06,48.92
sniper,0.05,51.27
magnus,0.03,52.23
necrophos,0.02,47.85
tidehunter,0.02,51.97
shadow-fiend,-0.02,51.38
dawnbreaker,-0.03,50.20
undying,-0.04,48.72
dark-willow,-0.08,51.39
lina,-0.08,53.30
puck,-0.12,52.17
venomancer,-0.15,51.24
lion,-0.20,51.42
ogre-magi,-0.25,49.20
elder-titan,-0.25,50.43
alchemist,-0.25,50.67
hoodwink,-0.26,54.46
abaddon,-0.27,44.91
phantom-lancer,-0.32,54.22
primal-beast,-0.34,53.26
jakiro,-0.39,50.59
sven,-0.40,55.50
tinker,-0.45,50.77
shadow-demon,-0.51,51.79
warlock,-0.61,46.64
lycan,-0.64,50.95
ringmaster,-0.67,49.01
luna,-0.78,48.94
earthshaker,-0.80,52.31
dragon-knight,-0.83,52.66
ember-spirit,-0.87,54.28
outworld-destroyer,-0.88,49.95
timbersaw,-0.88,51.49
snapfire,-0.89,54.83
leshrac,-1.03,51.87
pudge,-1.24,50.66
invoker,-1.30,53.98
sand-king,-1.31,49.27
brewmaster,-1.36,52.72
bloodseeker,-1.49,50.55
zeus,-1.56,51.23
gyrocopter,-1.64,55.09
clockwerk,-1.66,50.01
rubick,-1.75,55.01
axe,-1.79,50.17
techies,-1.86,55.21
wraith-king,-1.90,47.15
tiny,-2.13,55.42
phoenix,-2.22,52.90
mars,-2.52,55.65
underlord,-2.71,49.81
earth-spirit,-2.74,54.45
spectre,-3.00,51.95
nyx-assassin,-3.01,52.17
kunkka,-3.09,51.87
centaur-warrunner,-4.97,52.58
lifestealer,0,50
