hero,disadvantage,winrate
templar-assassin,2.59,50.92
phantom-assassin,1.93,44.62
axe,1.65,43.24
mars,1.21,48.69
clinkz,1.20,45.06
sniper,1.17,46.82
bristleback,1.17,46.80
sven,1.02,50.95
slardar,1.01,47.25
rubick,0.99,49.20
ursa,0.97,47.42
faceless-void,0.95,49.87
spirit-breaker,0.93,45.42
dazzle,0.84,48.74
drow-ranger,0.83,46.36
windranger,0.83,46.35
batrider,0.78,54.03
legion-commander,0.74,43.62
winter-wyvern,0.57,46.68
medusa,0.54,41.60
enchantress,0.53,49.15
pangolier,0.51,50.92
hoodwink,0.41,50.66
invoker,0.40,49.11
slark,0.37,47.11
pudge,0.36,45.69
tiny,0.34,49.74
nyx-assassin,0.32,45.31
snapfire,0.21,50.57
vengeful-spirit,0.21,45.14
centaur-warrunner,0.21,43.81
razor,0.20,46.43
shadow-shaman,0.20,44.22
ember-spirit,0.15,50.06
weaver,0.11,47.99
gyrocopter,0.11,50.12
dragon-knight,0.11,48.41
magnus,0.09,48.85
puck,0.07,48.65
marci,0.07,46.89
kunkka,0.06,45.10
mirana,0.05,51.38
wraith-king,0.05,41.32
bane,0.03,47.23
dark-willow,0.02,47.90
riki,0.00,45.17
bounty-hunter,-0.01,45.74
crystal-maiden,-0.02,46.91
grimstroke,-0.03,49.18
tusk,-0.09,51.84
clockwerk,-0.11,44.83
tidehunter,-0.11,48.78
ogre-magi,-0.12,45.48
shadow-demon,-0.17,48.07
witch-doctor,-0.18,44.27
monkey-king,-0.20,53.67
lifestealer,-0.21,46.71
storm-spirit,-0.22,47.42
juggernaut,-0.25,45.75
keeper-of-the-light,-0.26,50.60
outworld-destroyer,-0.27,45.72
techies,-0.30,50.47
lion,-0.32,48.17
primal-beast,-0.34,50.03
anti-mage,-0.37,48.77
void-spirit,-0.40,45.31
ancient-apparition,-0.43,44.98
silencer,-0.44,44.35
ringmaster,-0.48,45.16
lich,-0.52,43.37
zeus,-0.52,46.71
viper,-0.52,47.49
undying,-0.56,45.62
nature's-prophet,-0.56,51.69
lycan,-0.60,47.45
morphling,-0.61,53.53
skywrath-mage,-0.62,46.75
elder-titan,-0.65,47.35
earthshaker,-0.65,48.82
venomancer,-0.68,48.39
enigma,-0.70,48.44
disruptor,-0.74,48.00
jakiro,-0.74,47.47
oracle,-0.75,44.70
night-stalker,-0.81,45.15
io,-0.87,48.29
dawnbreaker,-0.89,47.60
earth-spirit,-0.89,49.24
shadow-fiend,-0.90,48.84
spectre,-0.90,46.35
visage,-0.93,46.37
alchemist,-0.94,47.93
bloodseeker,-1.01,46.51
pugna,-1.02,50.28
chen,-1.03,55.55
beastmaster,-1.05,53.28
death-prophet,-1.12,49.51
troll-warlord,-1.13,48.40
brewmaster,-1.16,49.15
treant-protector,-1.19,45.65
warlock,-1.21,43.40
arc-warden,-1.22,45.71
huskar,-1.32,50.47
omniknight,-1.38,45.49
terrorblade,-1.51,53.69
chaos-knight,-1.53,49.42
luna,-1.59,46.07
muerta,-1.60,51.55
timbersaw,-1.67,48.87
doom,-1.68,53.01
queen-of-pain,-1.72,48.96
dark-seer,-1.76,48.62
abaddon,-1.78,42.48
tinker,-1.79,48.72
leshrac,-2.08,49.59
underlord,-2.33,45.76
broodmother,-2.44,49.31
sand-king,-2.70,47.02
lone-druid,-2.80,49.21
phoenix,-3.46,50.84
necrophos,-3.64,47.87
phantom-lancer,-3.70,54.66
meepo,-4.02,53.07
naga-siren,-4.30,54.68
