hero,disadvantage,winrate
templar-assassin,1.97,54.30
razor,1.67,46.83
rubick,1.50,51.06
lone-druid,1.45,46.63
beastmaster,1.43,53.14
dazzle,1.21,50.66
tidehunter,1.20,49.57
chen,1.18,55.98
mars,1.15,51.08
gyrocopter,1.11,51.44
visage,1.10,46.04
dragon-knight,1.04,49.61
hoodwink,1.01,52.55
pangolier,1.00,52.85
nature's-prophet,0.97,52.60
monkey-king,0.93,55.18
batrider,0.83,56.78
death-prophet,0.83,49.59
phantom-lancer,0.82,52.28
tusk,0.81,53.49
doom,0.80,52.83
tiny,0.77,51.68
snapfire,0.77,52.44
brewmaster,0.75,49.22
sven,0.73,53.85
mirana,0.69,53.23
viper,0.65,48.32
drow-ranger,0.64,48.59
sniper,0.62,49.46
arc-warden,0.59,45.54
ember-spirit,0.57,52.00
lina,0.52,51.83
invoker,0.49,51.34
grimstroke,0.42,51.00
venomancer,0.41,49.36
luna,0.40,45.92
spectre,0.34,46.91
io,0.33,49.09
lycan,0.32,48.48
winter-wyvern,0.28,49.06
outworld-destroyer,0.25,47.09
silencer,0.25,45.28
terrorblade,0.24,54.39
pudge,0.24,47.74
chaos-knight,0.24,49.69
pugna,0.22,51.27
disruptor,0.20,49.08
omniknight,0.15,45.64
bane,0.14,49.20
keeper-of-the-light,0.13,52.60
kunkka,0.11,46.91
oracle,0.10,45.46
vengeful-spirit,0.07,47.14
enchantress,0.05,52.01
shadow-demon,0.04,49.99
techies,0.02,52.60
bristleback,0.02,50.14
shadow-shaman,0.01,46.11
centaur-warrunner,-0.04,45.80
axe,-0.05,46.72
phantom-assassin,-0.06,48.53
jakiro,-0.06,48.80
lifestealer,-0.09,48.57
enigma,-0.09,49.94
windranger,-0.14,49.39
slardar,-0.14,50.65
muerta,-0.14,52.35
treant-protector,-0.15,46.33
crystal-maiden,-0.20,49.13
meepo,-0.24,51.29
night-stalker,-0.24,46.28
dawnbreaker,-0.25,48.96
sand-king,-0.27,46.39
dark-willow,-0.29,50.40
alchemist,-0.30,49.32
naga-siren,-0.32,52.79
shadow-fiend,-0.33,50.49
spirit-breaker,-0.35,48.70
ogre-magi,-0.35,47.57
wraith-king,-0.37,43.19
huskar,-0.40,51.80
elder-titan,-0.42,49.16
clinkz,-0.42,48.81
zeus,-0.43,48.60
earth-spirit,-0.45,51.01
magnus,-0.46,51.72
skywrath-mage,-0.47,48.56
underlord,-0.48,45.53
warlock,-0.51,44.12
dark-seer,-0.51,49.36
clockwerk,-0.53,47.06
queen-of-pain,-0.55,49.91
earthshaker,-0.56,50.96
marci,-0.58,49.67
ursa,-0.59,51.28
faceless-void,-0.60,53.99
ringmaster,-0.66,47.17
morphling,-0.74,56.24
lich,-0.75,45.18
leshrac,-0.75,50.32
bloodseeker,-0.76,48.19
necrophos,-0.76,46.76
ancient-apparition,-0.81,47.19
undying,-0.82,47.76
phoenix,-0.86,50.24
tinker,-0.89,49.85
primal-beast,-0.90,52.98
anti-mage,-0.93,51.62
weaver,-0.94,51.31
puck,-0.95,51.97
void-spirit,-0.96,47.78
riki,-1.00,48.11
witch-doctor,-1.11,46.92
broodmother,-1.26,50.17
timbersaw,-1.31,50.65
bounty-hunter,-1.34,49.11
troll-warlord,-1.43,50.88
storm-spirit,-1.54,50.95
abaddon,-1.58,43.73
legion-commander,-1.70,47.85
nyx-assassin,-1.75,49.42
slark,-1.75,51.48
medusa,-1.80,45.81
juggernaut,-1.85,49.32
