hero,disadvantage,winrate
elder-titan,5.60,44.67
underlord,5.19,42.21
windranger,4.89,46.27
winter-wyvern,4.71,46.18
sand-king,4.68,43.84
warlock,4.42,41.94
monkey-king,4.06,52.55
bristleback,4.05,47.61
jakiro,2.85,47.68
venomancer,2.81,48.50
phoenix,2.73,48.13
lina,2.73,50.78
earthshaker,2.57,49.30
ringmaster,2.56,46.14
terrorblade,2.43,52.77
lich,2.38,44.58
viper,2.29,48.40
techies,2.25,51.29
shadow-fiend,2.21,49.49
luna,2.18,46.44
batrider,2.09,55.64
leshrac,1.90,49.09
witch-doctor,1.89,46.24
pangolier,1.85,52.82
alchemist,1.84,48.79
dazzle,1.65,51.39
muerta,1.61,51.60
gyrocopter,1.60,51.98
dark-seer,1.59,48.82
hoodwink,1.57,52.83
razor,1.55,48.80
dark-willow,1.53,49.96
kunkka,1.52,47.51
treant-protector,1.50,46.83
sven,1.38,53.81
timbersaw,1.34,49.49
naga-siren,1.34,52.08
snapfire,1.30,52.81
crystal-maiden,1.29,49.31
brewmaster,1.27,50.18
tidehunter,1.26,50.90
bloodseeker,1.24,48.00
huskar,1.20,51.35
broodmother,1.20,49.20
necrophos,1.18,46.96
phantom-assassin,1.00,49.26
sniper,0.99,50.60
enigma,0.91,50.37
marci,0.86,49.79
templar-assassin,0.74,55.89
beastmaster,0.69,54.63
ancient-apparition,0.62,47.82
tinker,0.53,49.97
omniknight,0.46,47.53
phantom-lancer,0.43,53.60
medusa,0.41,45.89
troll-warlord,0.40,50.44
axe,0.32,48.41
invoker,0.32,52.63
rubick,0.21,53.32
tusk,0.20,54.77
shadow-demon,0.00,51.46
weaver,-0.02,51.67
dawnbreaker,-0.06,50.42
magnus,-0.08,52.50
clinkz,-0.11,50.19
undying,-0.14,49.04
tiny,-0.15,53.60
keeper-of-the-light,-0.15,53.81
visage,-0.22,49.44
drow-ranger,-0.29,51.13
nature's-prophet,-0.30,54.66
dragon-knight,-0.35,52.36
mirana,-0.35,54.99
bounty-hunter,-0.43,49.93
chaos-knight,-0.43,51.82
ursa,-0.51,52.45
grimstroke,-0.55,53.16
chen,-0.70,58.12
zeus,-0.77,50.67
vengeful-spirit,-0.80,49.96
nyx-assassin,-0.99,50.38
pugna,-1.00,53.65
primal-beast,-1.02,54.10
slark,-1.22,52.27
outworld-destroyer,-1.31,50.58
disruptor,-1.32,52.18
lycan,-1.47,51.99
io,-1.48,52.50
riki,-1.49,50.50
slardar,-1.59,53.41
legion-commander,-1.59,49.74
enchantress,-1.63,54.75
lifestealer,-1.66,51.86
death-prophet,-1.75,53.62
earth-spirit,-1.87,53.73
ogre-magi,-1.90,50.96
queen-of-pain,-1.96,52.74
arc-warden,-2.00,50.39
spirit-breaker,-2.09,52.09
bane,-2.12,53.04
lion,-2.14,53.37
mars,-2.17,55.45
pudge,-2.24,51.73
ember-spirit,-2.32,55.88
skywrath-mage,-2.36,52.18
centaur-warrunner,-2.39,50.28
doom,-2.48,56.97
juggernaut,-2.51,51.67
meepo,-2.56,54.87
oracle,-2.62,50.51
clockwerk,-2.67,51.22
abaddon,-2.92,47.77
shadow-shaman,-3.02,51.23
morphling,-3.03,58.98
puck,-3.04,55.19
silencer,-3.34,51.11
storm-spirit,-4.14,54.90
faceless-void,-4.15,58.21
spectre,-4.28,53.40
night-stalker,-4.61,52.80
void-spirit,-4.66,53.42
wraith-king,-5.29,50.65
anti-mage,-6.42,58.16
