hero,disadvantage,winrate
chen,2.58,57.62
keeper-of-the-light,2.44,53.38
bristleback,2.34,51.17
kunkka,2.16,48.39
dark-seer,2.03,50.12
broodmother,2.01,50.13
rubick,2.00,53.92
lina,1.79,53.92
medusa,1.71,45.60
underlord,1.71,46.89
snapfire,1.66,54.84
shadow-demon,1.63,51.79
terrorblade,1.57,56.25
phantom-lancer,1.49,54.90
ember-spirit,1.44,54.49
nyx-assassin,1.43,49.65
sniper,1.43,52.16
sven,1.34,56.41
meepo,1.29,53.04
elder-titan,1.25,50.88
batrider,1.25,59.50
templar-assassin,1.23,58.16
primal-beast,1.23,54.09
beastmaster,1.22,56.76
venomancer,1.21,52.02
spectre,1.21,49.65
zeus,1.19,50.54
ursa,1.15,52.89
invoker,1.07,54.15
witch-doctor,1.05,48.49
drow-ranger,1.03,51.78
windranger,1.00,51.79
lifestealer,0.95,51.08
bane,0.95,51.85
phoenix,0.94,51.82
enigma,0.92,52.33
juggernaut,0.89,50.12
queen-of-pain,0.86,51.99
slark,0.85,52.23
warlock,0.80,46.68
mars,0.76,54.93
hoodwink,0.76,56.09
ringmaster,0.75,49.39
viper,0.74,51.78
muerta,0.74,54.84
monkey-king,0.71,58.68
gyrocopter,0.70,55.27
faceless-void,0.68,55.90
ancient-apparition,0.66,49.32
enchantress,0.62,54.80
bounty-hunter,0.62,50.61
morphling,0.61,58.35
techies,0.58,55.28
jakiro,0.56,51.73
marci,0.55,52.01
magnus,0.47,54.19
centaur-warrunner,0.47,48.97
pangolier,0.45,56.85
doom,0.40,56.69
pugna,0.39,54.50
dawnbreaker,0.39,51.84
spirit-breaker,0.38,51.53
tidehunter,0.37,53.94
clockwerk,0.34,49.82
earth-spirit,0.22,53.79
mirana,0.21,57.14
lich,0.21,48.02
skywrath-mage,0.19,51.48
dragon-knight,0.19,54.03
dazzle,0.17,55.14
nature's-prophet,0.16,56.76
dark-willow,0.15,53.41
tinker,0.15,52.28
storm-spirit,0.11,52.71
visage,0.08,50.84
treant-protector,0.06,49.82
pudge,-0.02,51.56
alchemist,-0.02,52.59
tusk,-0.04,57.70
winter-wyvern,-0.06,53.01
sand-king,-0.08,49.86
clinkz,-0.10,52.03
troll-warlord,-0.10,52.92
bloodseeker,-0.14,51.13
death-prophet,-0.16,54.16
leshrac,-0.19,53.23
earthshaker,-0.20,54.03
anti-mage,-0.20,54.27
oracle,-0.22,49.63
brewmaster,-0.23,53.83
wraith-king,-0.26,46.99
puck,-0.27,54.74
disruptor,-0.29,53.17
tiny,-0.30,56.17
chaos-knight,-0.31,53.78
ogre-magi,-0.33,51.21
phantom-assassin,-0.34,52.39
grimstroke,-0.35,55.25
legion-commander,-0.36,50.17
shadow-fiend,-0.38,54.04
necrophos,-0.39,50.04
io,-0.39,53.43
razor,-0.41,52.68
outworld-destroyer,-0.50,51.53
omniknight,-0.50,50.03
huskar,-0.51,55.30
arc-warden,-0.53,50.55
abaddon,-0.54,46.45
naga-siren,-0.56,56.50
crystal-maiden,-0.56,53.06
lion,-0.63,54.09
vengeful-spirit,-0.75,51.68
timbersaw,-0.81,53.61
silencer,-0.87,50.27
lycan,-0.88,53.39
void-spirit,-0.99,51.48
riki,-1.09,51.86
axe,-1.23,51.58
weaver,-1.34,55.18
shadow-shaman,-1.43,51.38
lone-druid,-1.54,53.56
night-stalker,-2.13,52.06
slardar,-2.40,56.50
undying,-2.71,53.46
