hero,disadvantage,winrate
naga-siren,4.56,48.30
terrorblade,4.56,50.05
troll-warlord,3.82,46.56
batrider,3.63,53.45
huskar,2.94,49.10
crystal-maiden,2.90,47.31
necrophos,2.77,45.03
tusk,2.67,51.75
phantom-lancer,2.65,50.83
sven,2.61,52.01
monkey-king,2.57,53.38
dragon-knight,2.51,49.10
phantom-assassin,2.50,47.44
earthshaker,2.47,48.91
axe,2.46,46.01
pangolier,2.43,51.68
chaos-knight,2.30,48.61
winter-wyvern,2.25,48.19
slardar,2.22,49.14
spirit-breaker,2.21,47.49
phoenix,2.20,48.19
bloodseeker,2.17,46.64
underlord,1.91,45.07
lone-druid,1.54,48.00
enchantress,1.54,51.03
windranger,1.52,48.91
luna,1.50,46.61
meepo,1.49,50.23
sand-king,1.37,46.51
bristleback,1.33,49.76
bounty-hunter,1.33,47.75
tiny,1.32,51.60
enigma,1.29,49.50
slark,1.27,49.38
dazzle,1.27,51.23
treant-protector,1.13,46.80
jakiro,1.12,48.86
broodmother,1.01,48.91
omniknight,0.98,46.61
gyrocopter,0.96,52.06
weaver,0.92,50.25
shadow-fiend,0.90,50.19
hoodwink,0.86,52.92
shadow-shaman,0.70,47.22
lifestealer,0.68,49.05
dark-seer,0.64,49.30
dark-willow,0.63,50.35
marci,0.59,49.57
clockwerk,0.58,47.57
techies,0.51,52.44
muerta,0.44,52.23
medusa,0.36,45.56
alchemist,0.28,49.84
lina,0.28,52.54
ogre-magi,0.26,48.47
tidehunter,0.23,51.39
doom,0.21,53.70
primal-beast,0.15,52.36
magnus,0.12,51.75
kunkka,0.10,48.47
vengeful-spirit,0.09,48.64
ursa,0.06,51.36
dawnbreaker,-0.04,49.91
bane,-0.06,50.45
queen-of-pain,-0.07,50.45
morphling,-0.08,55.41
earth-spirit,-0.17,51.47
timbersaw,-0.20,50.50
mirana,-0.20,54.27
legion-commander,-0.21,48.01
beastmaster,-0.25,54.95
death-prophet,-0.29,51.62
tinker,-0.31,50.33
ember-spirit,-0.32,53.31
templar-assassin,-0.33,56.30
chen,-0.36,57.05
witch-doctor,-0.39,47.95
disruptor,-0.43,50.78
razor,-0.45,50.29
centaur-warrunner,-0.45,47.97
clinkz,-0.46,50.05
elder-titan,-0.50,50.38
natures-prophet,-0.51,54.27
pugna,-0.53,52.62
rubick,-0.53,53.44
lich,-0.66,47.13
lion,-0.68,51.52
riki,-0.69,49.24
abaddon,-0.74,45.28
anti-mage,-0.74,52.09
nyx-assassin,-0.79,49.72
storm-spirit,-0.81,51.13
warlock,-0.84,46.70
faceless-void,-0.94,54.46
brewmaster,-0.98,51.96
undying,-1.05,49.47
snapfire,-1.08,54.56
puck,-1.09,52.73
io,-1.11,51.60
juggernaut,-1.24,49.98
grimstroke,-1.46,53.49
viper,-1.52,51.61
venomancer,-1.59,52.31
mars,-1.61,54.32
wraith-king,-1.77,46.89
ringmaster,-1.86,49.88
leshrac,-1.95,52.44
zeus,-2.00,51.34
outworld-destroyer,-2.10,50.87
visage,-2.16,50.91
invoker,-2.16,54.35
sniper,-2.27,52.98
void-spirit,-2.34,50.63
ancient-apparition,-2.43,50.35
shadow-demon,-2.50,53.42
drow-ranger,-2.54,52.77
pudge,-2.57,51.53
spectre,-2.63,51.29
keeper-of-the-light,-2.73,55.83
oracle,-2.94,50.37
arc-warden,-3.49,51.41
skywrath-mage,-3.57,52.84
night-stalker,-3.63,51.34
silencer,-4.18,51.45
lycan,0,50
