hero,disadvantage,winrate
huskar,2.18,47.93
enigma,2.03,46.77
winter-wyvern,1.82,46.60
puck,1.80,48.01
faceless-void,1.57,50.21
troll-warlord,1.45,46.91
earthshaker,1.29,48.06
disruptor,1.20,47.20
weaver,1.19,48.04
juggernaut,1.17,45.67
grimstroke,1.13,49.04
ember-spirit,1.12,50.06
wraith-king,1.00,42.01
rubick,0.96,50.22
riki,0.95,45.57
windranger,0.93,47.48
tidehunter,0.90,48.82
ursa,0.80,48.73
lion,0.78,48.27
dawnbreaker,0.74,47.11
templar-assassin,0.73,53.59
necrophos,0.69,44.89
batrider,0.65,54.89
shadow-fiend,0.64,48.49
mars,0.62,50.32
dark-willow,0.62,48.42
gyrocopter,0.59,50.60
sven,0.58,52.26
lich,0.55,43.79
alchemist,0.54,47.59
naga-siren,0.53,50.50
spirit-breaker,0.51,47.10
morphling,0.43,53.24
tiny,0.43,50.64
muerta,0.42,50.40
phoenix,0.42,47.95
pangolier,0.38,52.00
enchantress,0.34,50.36
mirana,0.32,51.99
bloodseeker,0.30,46.45
shadow-shaman,0.27,45.55
sand-king,0.24,45.47
leshrac,0.23,48.31
dark-seer,0.23,47.72
medusa,0.23,43.48
terrorblade,0.21,52.64
queen-of-pain,0.21,48.22
chen,0.18,54.87
storm-spirit,0.17,48.21
brewmaster,0.13,48.91
invoker,0.12,50.40
void-spirit,0.12,46.11
beastmaster,0.11,52.90
primal-beast,0.11,50.56
clockwerk,0.10,45.93
luna,0.10,45.81
axe,0.10,46.10
centaur-warrunner,0.08,45.33
silencer,0.07,45.26
dragon-knight,0.04,49.56
hoodwink,0.04,51.95
lone-druid,0.00,47.51
natures-prophet,-0.04,52.06
lifestealer,-0.05,47.77
witch-doctor,-0.07,45.56
elder-titan,-0.08,47.97
jakiro,-0.09,48.02
tusk,-0.09,52.71
crystal-maiden,-0.12,48.21
vengeful-spirit,-0.13,46.79
clinkz,-0.16,47.77
lina,-0.18,51.16
snapfire,-0.21,51.94
skywrath-mage,-0.22,47.60
lycan,-0.22,48.25
night-stalker,-0.23,45.91
earth-spirit,-0.23,49.64
spectre,-0.28,47.00
slardar,-0.30,49.70
monkey-king,-0.32,54.51
oracle,-0.34,45.67
meepo,-0.38,50.22
kunkka,-0.39,46.88
venomancer,-0.41,49.23
doom,-0.41,52.56
sniper,-0.42,49.44
chaos-knight,-0.43,49.39
nyx-assassin,-0.44,47.35
dazzle,-0.48,51.09
bane,-0.50,48.94
bristleback,-0.58,49.70
legion-commander,-0.59,46.28
viper,-0.62,48.80
ringmaster,-0.66,46.68
zeus,-0.68,48.11
techies,-0.71,51.82
ancient-apparition,-0.71,46.62
outworld-destroyer,-0.76,47.53
undying,-0.76,47.15
warlock,-0.84,44.54
phantom-assassin,-0.87,48.52
omniknight,-0.88,46.32
keeper-of-the-light,-0.89,52.21
ogre-magi,-0.91,47.54
tinker,-0.95,49.00
death-prophet,-1.02,50.46
arc-warden,-1.06,46.95
razor,-1.11,48.98
bounty-hunter,-1.13,48.16
treant-protector,-1.14,46.94
slark,-1.16,49.78
abaddon,-1.17,43.43
underlord,-1.18,45.96
anti-mage,-1.20,50.67
timbersaw,-1.20,49.53
phantom-lancer,-1.20,52.88
shadow-demon,-1.25,50.29
visage,-1.35,48.08
pugna,-1.46,51.72
drow-ranger,-1.46,49.82
broodmother,-1.67,49.64
marci,-1.71,49.89
io,-1.84,50.42
pudge,-1.94,49.04
magnus,0,50
