hero,disadvantage,winrate
troll-warlord,3.05,47.12
dark-willow,2.39,48.48
monkey-king,2.15,53.83
techies,2.14,50.79
windranger,2.13,48.17
winter-wyvern,2.08,48.18
naga-siren,2.01,50.81
muerta,2.00,50.60
enigma,1.90,48.74
axe,1.89,46.28
batrider,1.87,55.37
terrorblade,1.79,52.83
shadow-fiend,1.79,49.23
magnus,1.70,50.12
pangolier,1.54,52.59
templar-assassin,1.50,54.57
kunkka,1.47,46.90
dawnbreaker,1.44,48.25
primal-beast,1.38,51.09
weaver,1.34,49.71
earthshaker,1.34,49.83
lich,1.31,44.93
disruptor,1.27,48.96
dark-seer,1.20,48.57
ancient-apparition,1.13,46.64
slardar,1.08,50.13
crystal-maiden,1.05,48.90
ember-spirit,1.00,51.96
phantom-lancer,0.94,52.49
jakiro,0.83,48.97
elder-titan,0.83,48.86
spirit-breaker,0.80,48.65
treant-protector,0.70,46.96
mirana,0.67,53.42
chaos-knight,0.67,50.09
phantom-assassin,0.63,48.96
gyrocopter,0.62,52.35
hoodwink,0.62,53.15
ursa,0.59,50.75
bloodseeker,0.56,48.03
lion,0.52,50.33
tiny,0.49,52.36
tidehunter,0.48,51.05
keeper-of-the-light,0.48,52.59
sniper,0.47,50.44
snapfire,0.45,53.05
dragon-knight,0.44,50.98
mars,0.39,52.34
bane,0.36,49.91
slark,0.30,50.17
riki,0.27,48.09
death-prophet,0.25,50.98
clinkz,0.23,49.20
drow-ranger,0.23,49.99
witch-doctor,0.19,47.17
grimstroke,0.19,51.80
faceless-void,0.18,53.37
medusa,0.15,45.45
tusk,0.14,54.24
sven,0.14,54.47
bristleback,0.14,50.80
leshrac,0.13,50.24
ringmaster,0.10,47.81
dazzle,0.09,52.31
juggernaut,0.09,48.55
ogre-magi,0.07,48.45
bounty-hunter,0.07,48.79
shadow-shaman,0.05,47.61
centaur-warrunner,0.00,47.29
venomancer,-0.04,50.68
underlord,-0.14,46.81
omniknight,-0.14,47.45
zeus,-0.16,49.44
razor,-0.19,49.89
invoker,-0.20,52.49
luna,-0.26,48.01
pugna,-0.28,52.32
necrophos,-0.31,47.73
silencer,-0.33,47.52
rubick,-0.34,53.22
vengeful-spirit,-0.35,48.87
sand-king,-0.35,47.91
lina,-0.36,53.11
huskar,-0.37,52.30
alchemist,-0.43,50.40
wraith-king,-0.44,45.30
beastmaster,-0.46,55.26
nature's-prophet,-0.47,54.25
chen,-0.48,57.36
clockwerk,-0.49,48.40
nyx-assassin,-0.51,49.27
meepo,-0.53,52.19
puck,-0.57,52.16
legion-commander,-0.58,48.12
lycan,-0.58,50.45
warlock,-0.62,46.21
viper,-0.72,50.71
storm-spirit,-0.76,50.95
undying,-0.79,49.03
spectre,-0.80,49.35
lone-druid,-0.85,50.21
phoenix,-0.87,51.09
queen-of-pain,-0.88,51.09
morphling,-0.92,56.34
void-spirit,-1.05,49.16
timbersaw,-1.15,51.29
doom,-1.17,55.09
broodmother,-1.19,50.98
brewmaster,-1.30,52.20
shadow-demon,-1.54,52.40
outworld-destroyer,-1.61,50.23
skywrath-mage,-1.63,50.83
tinker,-1.85,51.74
lifestealer,-1.87,51.43
arc-warden,-1.90,49.64
earth-spirit,-1.98,53.23
anti-mage,-2.06,53.31
visage,-2.28,50.87
abaddon,-2.30,46.47
pudge,-2.52,51.34
io,-2.68,53.10
night-stalker,-2.85,50.40
enchantress,-2.98,55.51
oracle,-3.70,50.94
