hero,disadvantage,winrate
anti-mage,3.29,45.29
faceless-void,2.42,48.43
lifestealer,2.33,44.39
meepo,2.31,46.49
puck,2.05,46.80
ember-spirit,2.03,48.18
phantom-lancer,2.02,48.67
queen-of-pain,2.01,45.52
lone-druid,1.93,44.55
void-spirit,1.91,43.25
elder-titan,1.84,45.01
huskar,1.80,47.36
storm-spirit,1.74,45.66
riki,1.65,43.88
enigma,1.60,46.26
earth-spirit,1.45,46.95
bane,1.39,46.06
lycan,1.38,45.63
tinker,1.27,45.76
chen,1.22,52.91
venomancer,1.18,46.69
monkey-king,1.14,52.17
spectre,1.11,44.63
sand-king,1.10,43.63
morphling,1.09,51.67
kunkka,1.06,44.42
alchemist,1.06,46.09
phantom-assassin,1.06,45.75
ringmaster,0.95,44.12
phoenix,0.93,46.48
undying,0.88,44.53
juggernaut,0.87,44.97
sven,0.78,51.14
doom,0.71,50.52
omniknight,0.68,43.75
pugna,0.67,48.61
bloodseeker,0.61,45.19
terrorblade,0.55,51.39
tusk,0.52,51.20
bounty-hunter,0.51,45.53
dark-willow,0.40,47.69
necrophos,0.39,44.20
ancient-apparition,0.35,44.56
disruptor,0.35,47.08
wraith-king,0.32,41.65
underlord,0.32,43.41
jakiro,0.29,46.69
slardar,0.23,48.22
warlock,0.20,42.50
clockwerk,0.20,44.84
muerta,0.17,49.73
chaos-knight,0.17,47.83
leshrac,0.15,47.42
nyx-assassin,0.15,45.78
ursa,0.12,48.45
snapfire,0.12,50.68
earthshaker,0.12,48.23
death-prophet,0.07,48.41
naga-siren,0.07,50.03
lich,0.06,43.26
ogre-magi,0.01,45.68
dawnbreaker,-0.02,46.90
keeper-of-the-light,-0.07,50.41
shadow-demon,-0.09,48.14
beastmaster,-0.12,52.23
tidehunter,-0.15,48.95
dragon-knight,-0.15,48.80
pangolier,-0.15,51.61
vengeful-spirit,-0.17,45.85
luna,-0.18,45.07
tiny,-0.18,50.32
razor,-0.20,47.10
axe,-0.26,45.44
brewmaster,-0.27,48.36
night-stalker,-0.30,44.96
dark-seer,-0.32,47.33
weaver,-0.33,48.60
treant-protector,-0.34,45.13
arc-warden,-0.35,45.23
witch-doctor,-0.36,44.84
centaur-warrunner,-0.36,44.74
silencer,-0.41,44.75
dazzle,-0.44,50.12
primal-beast,-0.46,50.21
marci,-0.46,47.66
nature's-prophet,-0.47,51.56
oracle,-0.51,44.81
grimstroke,-0.52,49.78
crystal-maiden,-0.56,47.68
outworld-destroyer,-0.56,46.37
shadow-shaman,-0.58,45.37
invoker,-0.59,50.14
visage,-0.59,46.30
templar-assassin,-0.59,54.05
magnus,-0.62,49.68
winter-wyvern,-0.63,48.15
gyrocopter,-0.64,50.93
clinkz,-0.65,47.31
rubick,-0.78,50.92
skywrath-mage,-0.84,47.25
techies,-0.87,51.07
broodmother,-0.89,47.89
io,-0.92,48.53
lion,-0.96,48.92
batrider,-0.97,55.62
pudge,-0.99,47.21
shadow-fiend,-1.04,49.14
viper,-1.12,48.35
bristleback,-1.15,49.32
medusa,-1.16,43.86
timbersaw,-1.18,48.53
troll-warlord,-1.21,48.67
lina,-1.29,51.31
hoodwink,-1.32,52.37
abaddon,-1.36,42.58
zeus,-1.47,47.91
enchantress,-1.75,51.56
spirit-breaker,-1.77,48.36
mirana,-1.83,53.19
sniper,-1.85,49.79
windranger,-1.89,49.19
legion-commander,-1.99,46.62
slark,-3.06,50.71
drow-ranger,-3.40,50.80
