hero,disadvantage,winrate
anti-mage,10.10,46.19
dark-seer,6.12,47.97
invoker,4.35,52.68
slark,3.87,51.18
centaur-warrunner,3.53,48.25
sniper,3.32,52.32
alchemist,3.16,51.28
monkey-king,2.70,57.87
pangolier,2.64,56.02
shadow-demon,2.52,52.78
tidehunter,2.46,53.58
sand-king,2.44,49.66
underlord,2.24,48.84
riki,2.16,50.65
ember-spirit,2.11,55.39
winter-wyvern,2.04,52.71
kunkka,1.89,50.93
chen,1.77,59.57
treant-protector,1.74,50.36
bristleback,1.74,53.72
dazzle,1.59,55.36
axe,1.58,51.00
terrorblade,1.57,57.61
rubick,1.56,56.00
tinker,1.54,52.78
ursa,1.51,54.33
brewmaster,1.49,53.82
warlock,1.28,48.71
dark-willow,1.21,54.16
phantom-lancer,1.19,56.95
lion,1.19,54.19
broodmother,1.17,53.06
snapfire,1.14,56.92
mars,1.13,56.14
razor,1.10,53.10
clockwerk,1.05,51.31
faceless-void,0.99,57.12
juggernaut,0.96,52.19
windranger,0.89,53.84
dragon-knight,0.89,55.08
earth-spirit,0.79,54.93
keeper-of-the-light,0.78,56.81
earthshaker,0.75,54.89
nyx-assassin,0.74,52.50
lich,0.72,49.92
tiny,0.64,56.76
elder-titan,0.63,53.55
jakiro,0.61,53.66
ringmaster,0.60,51.77
sven,0.53,58.68
hoodwink,0.49,57.85
ogre-magi,0.47,52.54
disruptor,0.46,54.29
dawnbreaker,0.44,53.76
primal-beast,0.43,56.57
batrider,0.32,61.53
io,0.32,54.52
bounty-hunter,0.25,53.09
gyrocopter,0.18,57.40
spirit-breaker,0.14,53.78
mirana,0.02,58.67
nature's-prophet,0.01,58.36
tusk,-0.02,58.99
crystal-maiden,-0.02,54.43
marci,-0.04,54.55
huskar,-0.06,56.53
drow-ranger,-0.08,54.81
venomancer,-0.09,55.27
lycan,-0.10,54.46
oracle,-0.12,51.78
phantom-assassin,-0.15,54.16
omniknight,-0.15,51.93
night-stalker,-0.16,52.17
magnus,-0.17,56.51
bane,-0.19,54.98
lone-druid,-0.24,54.10
phoenix,-0.47,55.20
enchantress,-0.47,57.54
spectre,-0.51,53.55
naga-siren,-0.55,58.00
clinkz,-0.67,54.61
pudge,-0.69,54.21
grimstroke,-0.76,57.31
morphling,-0.79,60.79
puck,-0.80,56.93
storm-spirit,-0.86,55.56
abaddon,-0.93,49.49
vengeful-spirit,-0.94,53.94
death-prophet,-0.95,56.76
silencer,-1.00,52.63
troll-warlord,-1.04,55.77
lina,-1.11,58.40
weaver,-1.15,56.72
ancient-apparition,-1.15,53.39
void-spirit,-1.16,53.74
muerta,-1.24,58.47
pugna,-1.26,57.87
lifestealer,-1.27,55.34
templar-assassin,-1.34,62.01
necrophos,-1.39,53.25
arc-warden,-1.42,53.62
zeus,-1.67,55.39
leshrac,-1.71,56.65
shadow-shaman,-1.93,53.99
doom,-1.97,60.61
viper,-2.03,56.53
shadow-fiend,-2.05,57.38
wraith-king,-2.05,51.27
techies,-2.20,59.67
slardar,-2.20,57.97
meepo,-2.25,58.48
luna,-2.33,54.41
outworld-destroyer,-2.36,55.50
legion-commander,-2.61,54.52
skywrath-mage,-2.63,56.33
visage,-2.68,55.81
chaos-knight,-2.74,58.11
enigma,-3.16,58.42
beastmaster,-3.44,62.93
timbersaw,-3.69,58.32
witch-doctor,-3.87,55.47
queen-of-pain,-3.87,58.49
undying,-4.03,56.76
bloodseeker,-4.56,57.74
