hero,disadvantage,winrate
elder-titan,9.65,38.51
earthshaker,8.94,41.29
leshrac,8.07,40.78
troll-warlord,6.12,42.60
sven,5.44,47.50
winter-wyvern,5.43,43.33
jakiro,5.08,43.39
timbersaw,5.05,43.75
monkey-king,4.85,49.46
underlord,4.44,40.90
lina,4.42,46.94
shadow-fiend,4.33,45.33
bristleback,3.89,45.61
huskar,3.77,46.59
sand-king,3.51,42.78
techies,3.45,47.88
crystal-maiden,3.39,45.14
brewmaster,3.12,46.13
enigma,3.05,46.06
alchemist,2.90,45.58
warlock,2.86,41.43
medusa,2.76,41.53
lone-druid,2.73,45.14
windranger,2.64,46.17
batrider,2.62,52.71
dawnbreaker,2.43,45.75
dazzle,2.25,48.56
legion-commander,2.06,44.20
disruptor,1.93,46.77
terrorblade,1.90,50.97
kunkka,1.82,45.10
death-prophet,1.80,47.82
dark-seer,1.78,46.46
necrophos,1.78,44.26
ancient-apparition,1.57,44.76
naga-siren,1.45,49.69
pugna,1.43,48.97
slark,1.43,47.52
drow-ranger,1.39,47.30
venomancer,1.36,47.72
axe,1.27,45.36
witch-doctor,1.26,44.70
treant-protector,1.23,45.01
dark-willow,1.16,48.12
keeper-of-the-light,1.03,50.34
lich,0.93,43.89
ringmaster,0.93,45.56
silencer,0.68,45.07
marci,0.65,47.80
hoodwink,0.58,51.46
slardar,0.55,49.05
lion,0.54,48.72
tusk,0.51,52.12
beastmaster,0.50,52.46
enchantress,0.44,50.39
chen,0.39,54.57
magnus,0.38,49.79
snapfire,0.34,51.45
muerta,0.28,50.67
weaver,0.24,49.20
pangolier,0.13,52.24
tiny,0.12,51.04
primal-beast,0.10,50.69
riki,-0.04,46.90
bloodseeker,-0.11,47.21
phantom-assassin,-0.12,48.10
tidehunter,-0.19,50.09
viper,-0.33,48.76
ursa,-0.34,50.04
gyrocopter,-0.36,51.63
io,-0.37,49.15
omniknight,-0.49,46.37
dragon-knight,-0.60,50.36
razor,-0.65,48.78
outworld-destroyer,-0.76,47.86
luna,-0.79,47.01
pudge,-0.94,48.40
grimstroke,-0.94,51.26
chaos-knight,-1.13,50.27
visage,-1.15,48.20
vengeful-spirit,-1.20,48.19
natures-prophet,-1.24,53.23
lifestealer,-1.26,49.24
skywrath-mage,-1.31,48.96
phoenix,-1.34,49.95
undying,-1.35,48.06
rubick,-1.41,52.50
mirana,-1.41,53.69
bane,-1.42,50.10
tinker,-1.45,49.74
nyx-assassin,-1.47,48.66
juggernaut,-1.48,48.51
lycan,-1.49,49.77
templar-assassin,-1.58,55.80
abaddon,-1.81,44.63
wraith-king,-1.81,45.25
phantom-lancer,-1.83,53.54
invoker,-1.99,52.44
puck,-2.18,52.08
oracle,-2.21,47.95
centaur-warrunner,-2.23,47.98
sniper,-2.50,51.47
mars,-2.55,53.49
shadow-shaman,-2.63,48.68
spirit-breaker,-2.73,50.46
ember-spirit,-2.88,54.10
ogre-magi,-2.91,49.72
shadow-demon,-2.99,52.18
queen-of-pain,-3.04,51.52
bounty-hunter,-3.23,50.49
earth-spirit,-3.39,52.94
morphling,-3.49,56.98
clockwerk,-3.51,49.86
faceless-void,-3.52,55.23
zeus,-3.71,51.23
broodmother,-3.77,51.94
clinkz,-3.78,51.60
night-stalker,-4.23,50.23
doom,-4.28,56.38
spectre,-4.74,51.62
arc-warden,-5.07,51.24
void-spirit,-5.16,51.69
storm-spirit,-5.16,53.62
anti-mage,-8.33,57.53
meepo,0,50
