hero,disadvantage,winrate
mars,1.70,46.81
puck,1.64,45.68
chen,1.19,51.65
meepo,1.01,46.34
nyx-assassin,1.00,43.28
treant-protector,0.83,42.26
axe,0.81,42.81
spectre,0.79,43.30
templar-assassin,0.72,51.32
arc-warden,0.66,42.66
kunkka,0.66,43.20
winter-wyvern,0.62,45.30
legion-commander,0.62,42.50
windranger,0.61,45.21
enigma,0.59,45.77
centaur-warrunner,0.58,42.14
ember-spirit,0.57,48.22
omniknight,0.57,42.18
outworld-destroyer,0.55,43.59
earth-spirit,0.54,46.37
wraith-king,0.47,39.78
morphling,0.44,50.95
spirit-breaker,0.42,44.65
shadow-demon,0.40,46.09
tinker,0.39,45.09
luna,0.39,42.86
rubick,0.38,48.40
bounty-hunter,0.38,44.01
ringmaster,0.35,43.01
tiny,0.35,48.33
batrider,0.14,53.21
tusk,0.13,50.20
chaos-knight,0.11,46.37
beastmaster,0.03,50.67
hoodwink,0.03,49.63
dark-willow,0.00,46.56
bane,0.00,45.94
lina,-0.02,48.63
storm-spirit,-0.05,45.89
ogre-magi,-0.06,44.13
lone-druid,-0.08,45.01
shadow-fiend,-0.08,46.74
undying,-0.10,43.89
monkey-king,-0.10,52.09
faceless-void,-0.10,49.54
night-stalker,-0.13,43.17
brewmaster,-0.14,46.71
sven,-0.14,50.74
techies,-0.14,48.90
oracle,-0.15,42.86
zeus,-0.18,45.06
lycan,-0.20,45.73
dazzle,-0.22,48.45
phantom-lancer,-0.23,49.56
bloodseeker,-0.24,44.41
gyrocopter,-0.25,49.09
lion,-0.27,46.78
keeper-of-the-light,-0.29,49.22
doom,-0.30,50.15
queen-of-pain,-0.31,46.20
vengeful-spirit,-0.31,44.39
muerta,-0.32,48.78
dragon-knight,-0.32,47.47
earthshaker,-0.35,47.18
clinkz,-0.35,45.45
enchantress,-0.37,48.71
abaddon,-0.37,39.80
broodmother,-0.37,45.84
disruptor,-0.39,46.28
invoker,-0.42,48.54
medusa,-0.42,41.33
void-spirit,-0.42,44.06
magnus,-0.43,48.01
crystal-maiden,-0.44,46.02
terrorblade,-0.44,51.01
naga-siren,-0.47,49.16
primal-beast,-0.47,48.77
nature's-prophet,-0.48,50.18
slark,-0.50,46.65
visage,-0.50,44.64
shadow-shaman,-0.52,43.71
riki,-0.55,44.47
pangolier,-0.57,50.64
drow-ranger,-0.60,46.48
bristleback,-0.62,47.30
huskar,-0.63,48.36
weaver,-0.63,47.39
io,-0.64,46.75
underlord,-0.66,42.70
tidehunter,-0.66,47.98
snapfire,-0.68,50.08
ursa,-0.70,47.80
skywrath-mage,-0.76,45.61
pugna,-0.77,48.62
grimstroke,-0.78,48.58
clockwerk,-0.84,44.23
juggernaut,-0.85,45.06
jakiro,-0.86,46.25
dark-seer,-0.87,46.32
witch-doctor,-0.89,43.72
marci,-0.91,46.59
viper,-0.93,46.60
phantom-assassin,-0.95,46.08
leshrac,-0.98,47.05
necrophos,-1.01,43.92
lifestealer,-1.02,46.28
alchemist,-1.04,46.70
pudge,-1.04,45.68
sniper,-1.04,47.54
venomancer,-1.12,47.47
lich,-1.18,42.82
sand-king,-1.20,44.20
dawnbreaker,-1.33,46.75
anti-mage,-1.34,48.40
warlock,-1.34,42.31
slardar,-1.54,48.53
elder-titan,-1.54,46.99
troll-warlord,-1.61,47.58
silencer,-1.62,44.27
ancient-apparition,-1.72,45.03
death-prophet,-1.92,48.99
timbersaw,-2.18,48.06
phoenix,-2.18,48.14
razor,-2.43,47.79
