hero,disadvantage,winrate
leshrac,2.58,41.52
muerta,2.55,43.93
zeus,2.16,41.02
batrider,2.11,49.15
pugna,1.64,44.27
viper,1.59,42.27
venomancer,1.45,43.08
techies,1.27,45.59
phoenix,1.21,42.85
queen-of-pain,1.18,42.97
ogre-magi,1.17,41.20
witch-doctor,1.09,40.10
sniper,1.07,43.79
ancient-apparition,1.03,40.51
windranger,1.03,43.05
hoodwink,1.02,46.73
keeper-of-the-light,1.00,45.97
jakiro,0.85,42.80
timbersaw,0.84,43.16
snapfire,0.77,46.69
enigma,0.74,43.75
outworld-destroyer,0.68,41.72
lich,0.67,39.29
weaver,0.61,44.31
invoker,0.60,45.69
skywrath-mage,0.59,42.45
gyrocopter,0.49,46.44
beastmaster,0.44,48.31
lina,0.41,46.33
juggernaut,0.39,42.07
ringmaster,0.39,41.29
storm-spirit,0.37,43.67
slark,0.32,44.01
clinkz,0.32,42.92
razor,0.31,43.22
terrorblade,0.27,48.38
enchantress,0.26,46.18
luna,0.22,41.32
ursa,0.22,44.99
magnus,0.20,45.51
troll-warlord,0.20,43.84
mirana,0.16,47.91
necrophos,0.09,41.12
silencer,0.05,40.90
vengeful-spirit,-0.03,42.37
phantom-assassin,-0.06,43.44
huskar,-0.08,45.92
bristleback,-0.12,44.94
lion,-0.12,44.82
doom,-0.19,48.10
spectre,-0.21,42.58
dark-willow,-0.22,44.96
bounty-hunter,-0.23,42.89
treant-protector,-0.25,41.66
shadow-shaman,-0.30,41.74
tinker,-0.33,44.04
earthshaker,-0.35,45.33
dragon-knight,-0.38,45.68
drow-ranger,-0.38,44.46
winter-wyvern,-0.42,44.59
brewmaster,-0.44,45.18
primal-beast,-0.45,46.87
disruptor,-0.45,44.55
morphling,-0.48,49.94
sand-king,-0.49,41.82
spirit-breaker,-0.49,43.75
arc-warden,-0.49,42.00
slardar,-0.54,45.66
templar-assassin,-0.55,50.73
death-prophet,-0.59,45.74
crystal-maiden,-0.60,44.37
rubick,-0.65,47.50
shadow-demon,-0.67,45.40
axe,-0.74,42.51
tiny,-0.76,47.56
nyx-assassin,-0.76,43.31
night-stalker,-0.77,42.07
shadow-fiend,-0.79,45.57
faceless-void,-0.82,48.35
nature's-prophet,-0.84,48.61
undying,-0.91,42.96
warlock,-0.95,40.27
grimstroke,-0.98,46.91
chaos-knight,-0.98,45.65
bane,-0.99,45.14
phantom-lancer,-1.01,48.47
riki,-1.02,43.17
clockwerk,-1.03,42.73
visage,-1.05,43.46
dazzle,-1.10,47.46
sven,-1.11,49.79
pudge,-1.15,43.99
mars,-1.16,47.83
puck,-1.18,46.70
elder-titan,-1.20,44.79
tusk,-1.22,49.61
alchemist,-1.29,45.10
kunkka,-1.34,43.47
dawnbreaker,-1.35,44.95
lifestealer,-1.37,44.80
wraith-king,-1.42,39.96
tidehunter,-1.46,46.95
dark-seer,-1.63,45.32
earth-spirit,-1.68,46.83
underlord,-1.79,42.23
oracle,-1.83,42.84
naga-siren,-1.83,48.69
centaur-warrunner,-1.87,42.91
chen,-1.91,52.92
bloodseeker,-1.93,44.37
io,-1.94,46.24
anti-mage,-2.21,47.39
legion-commander,-2.25,43.48
marci,-2.31,46.19
omniknight,-2.41,43.52
abaddon,-2.43,40.27
medusa,-2.80,42.12
lycan,-2.84,46.64
broodmother,-3.31,47.02
void-spirit,-3.36,45.30
ember-spirit,-3.56,50.57
pangolier,-3.90,52.17
lone-druid,-4.20,47.45
meepo,-4.79,50.55
