hero,disadvantage,winrate
meepo,3.18,42.93
lone-druid,2.86,41.02
nyx-assassin,2.66,40.73
axe,2.59,40.17
anti-mage,2.42,43.49
doom,2.13,46.35
broodmother,2.10,42.16
bane,2.06,42.76
chen,2.00,49.37
earthshaker,1.90,43.88
outworld-destroyer,1.83,41.35
lion,1.79,43.76
rubick,1.76,45.86
ancient-apparition,1.51,40.84
tiny,1.26,46.18
riki,1.17,41.77
terrorblade,1.10,48.11
troll-warlord,1.09,43.68
zeus,1.09,42.83
elder-titan,1.08,43.18
timbersaw,1.01,43.73
techies,1.01,46.49
slark,1.00,44.06
visage,0.99,42.05
shadow-fiend,0.98,44.55
medusa,0.97,39.20
beastmaster,0.94,48.39
lina,0.92,46.46
phantom-lancer,0.92,47.11
io,0.91,43.96
shadow-shaman,0.89,41.37
marci,0.87,43.67
luna,0.71,41.65
skywrath-mage,0.71,43.10
puck,0.70,45.47
night-stalker,0.68,41.44
ursa,0.68,45.23
sven,0.51,48.69
keeper-of-the-light,0.49,47.14
abaddon,0.49,38.23
monkey-king,0.48,50.06
omniknight,0.48,41.35
slardar,0.47,45.33
dragon-knight,0.47,45.54
tusk,0.42,48.54
hoodwink,0.40,47.94
muerta,0.39,46.80
ogre-magi,0.36,42.74
vengeful-spirit,0.35,42.72
grimstroke,0.35,46.21
tinker,0.31,44.08
chaos-knight,0.30,45.06
enigma,0.24,44.99
centaur-warrunner,0.19,41.66
pugna,0.14,46.48
oracle,0.13,41.60
dazzle,0.12,46.86
necrophos,0.11,41.89
bounty-hunter,0.01,43.43
death-prophet,-0.02,45.85
naga-siren,-0.05,47.47
earth-spirit,-0.08,45.84
winter-wyvern,-0.12,44.97
legion-commander,-0.14,42.28
gyrocopter,-0.17,47.74
lycan,-0.17,44.58
drow-ranger,-0.21,44.99
tidehunter,-0.25,46.38
snapfire,-0.30,48.38
storm-spirit,-0.32,45.09
faceless-void,-0.32,48.46
mirana,-0.39,49.05
magnus,-0.41,46.78
dark-seer,-0.45,44.83
crystal-maiden,-0.47,44.95
pudge,-0.47,44.11
windranger,-0.48,45.19
ringmaster,-0.48,42.91
void-spirit,-0.50,43.15
dark-willow,-0.54,45.96
batrider,-0.56,52.40
alchemist,-0.67,45.20
lich,-0.67,41.42
disruptor,-0.69,45.50
templar-assassin,-0.69,51.38
huskar,-0.69,47.20
leshrac,-0.72,45.67
shadow-demon,-0.79,46.18
lifestealer,-0.84,44.98
sand-king,-0.85,42.94
jakiro,-0.88,45.18
invoker,-0.92,47.74
queen-of-pain,-0.96,45.74
witch-doctor,-0.98,42.84
primal-beast,-1.02,48.08
wraith-king,-1.06,40.46
mars,-1.07,48.34
venomancer,-1.09,46.31
kunkka,-1.10,44.00
arc-warden,-1.12,43.34
undying,-1.15,43.94
treant-protector,-1.17,43.34
weaver,-1.37,46.96
enchantress,-1.41,48.50
phantom-assassin,-1.56,45.53
dawnbreaker,-1.60,45.90
nature's-prophet,-1.65,49.98
spirit-breaker,-1.65,45.59
spectre,-1.66,44.78
silencer,-1.70,43.46
clockwerk,-1.77,44.23
pangolier,-1.83,50.57
ember-spirit,-2.01,49.57
warlock,-2.06,42.18
underlord,-2.14,43.37
bristleback,-2.17,47.65
brewmaster,-2.32,47.79
phoenix,-2.51,47.30
clinkz,-2.67,46.69
juggernaut,-2.73,45.82
bloodseeker,-2.98,46.21
viper,-3.05,47.60
sniper,-3.10,48.25
razor,-3.24,47.50
