hero,disadvantage,winrate
enchantress,3.09,46.81
centaur-warrunner,3.03,41.89
legion-commander,2.36,42.88
spectre,2.26,43.86
pudge,2.22,44.63
beastmaster,2.20,49.84
wraith-king,2.12,40.45
nyx-assassin,1.94,44.37
lina,1.79,48.45
shadow-demon,1.72,46.55
skywrath-mage,1.72,45.01
medusa,1.68,41.53
kunkka,1.65,44.24
axe,1.62,44.04
invoker,1.59,48.23
broodmother,1.54,45.68
anti-mage,1.42,47.34
oracle,1.37,43.38
chen,1.34,52.72
nature's-prophet,1.21,49.98
snapfire,1.19,49.68
warlock,1.16,42.03
clinkz,1.14,45.76
ogre-magi,1.11,44.97
primal-beast,1.09,48.76
lich,1.04,42.77
bane,1.03,46.68
bristleback,0.99,47.40
ringmaster,0.98,44.49
zeus,0.91,45.90
leshrac,0.89,46.91
earth-spirit,0.74,47.89
clockwerk,0.65,44.79
lion,0.65,47.65
arc-warden,0.59,44.65
sniper,0.54,47.80
phantom-lancer,0.54,50.26
night-stalker,0.50,44.58
techies,0.47,49.82
naga-siren,0.38,49.83
spirit-breaker,0.36,46.56
doom,0.35,50.91
bloodseeker,0.34,45.74
outworld-destroyer,0.34,45.77
terrorblade,0.33,51.63
grimstroke,0.32,49.06
rubick,0.31,50.01
batrider,0.30,54.15
hoodwink,0.29,50.82
pugna,0.27,49.15
templar-assassin,0.21,53.14
mirana,0.19,51.23
alchemist,0.17,47.26
luna,0.13,45.16
enigma,0.08,48.02
queen-of-pain,0.04,47.66
gyrocopter,0.02,50.33
crystal-maiden,0.00,47.37
ancient-apparition,-0.03,45.30
jakiro,-0.05,47.27
underlord,-0.07,44.28
shadow-fiend,-0.07,48.41
phantom-assassin,-0.07,47.07
chaos-knight,-0.10,48.29
shadow-shaman,-0.12,45.29
mars,-0.18,50.27
void-spirit,-0.24,45.84
meepo,-0.28,49.32
keeper-of-the-light,-0.35,50.77
earthshaker,-0.39,48.89
death-prophet,-0.41,49.06
magnus,-0.44,49.63
tinker,-0.44,47.76
dark-willow,-0.44,48.72
dark-seer,-0.45,47.71
lycan,-0.45,47.76
lifestealer,-0.50,47.52
morphling,-0.51,53.19
visage,-0.53,46.58
razor,-0.58,47.73
storm-spirit,-0.62,48.25
undying,-0.62,46.35
timbersaw,-0.63,48.22
dazzle,-0.65,50.42
tiny,-0.67,50.87
silencer,-0.69,45.38
pangolier,-0.76,52.20
disruptor,-0.76,48.42
windranger,-0.78,48.34
dragon-knight,-0.81,49.59
huskar,-0.82,50.13
viper,-0.89,48.30
abaddon,-0.90,42.69
sven,-0.90,52.85
riki,-0.97,46.81
faceless-void,-1.01,51.88
treant-protector,-1.04,46.20
vengeful-spirit,-1.07,47.05
bounty-hunter,-1.10,47.42
brewmaster,-1.19,49.49
winter-wyvern,-1.20,48.93
ursa,-1.29,50.00
drow-ranger,-1.30,48.89
venomancer,-1.30,49.35
witch-doctor,-1.38,46.16
dawnbreaker,-1.45,48.62
elder-titan,-1.45,48.63
io,-1.47,49.27
lone-druid,-1.56,48.37
weaver,-1.80,50.20
tidehunter,-1.81,50.75
phoenix,-1.84,49.48
omniknight,-1.91,46.73
sand-king,-1.98,46.96
marci,-1.99,49.40
slardar,-2.13,50.71
tusk,-2.25,53.89
juggernaut,-2.34,48.31
puck,-2.40,51.35
ember-spirit,-2.43,52.73
slark,-2.44,50.24
monkey-king,-2.96,56.08
troll-warlord,-3.17,50.81
necrophos,-5.01,49.70
