hero,disadvantage,winrate
sand-king,5.87,39.40
lina,4.93,45.32
underlord,3.95,40.21
warlock,3.57,39.56
earthshaker,3.31,45.29
timbersaw,3.00,44.53
beastmaster,2.95,48.88
leshrac,2.87,44.78
necrophos,2.40,42.52
jakiro,2.36,44.82
axe,2.05,43.49
techies,2.05,48.08
luna,1.79,43.49
monkey-king,1.73,51.30
dazzle,1.65,47.99
crystal-maiden,1.62,45.66
dawnbreaker,1.56,45.45
tiny,1.52,48.54
sven,1.39,50.33
snapfire,1.28,49.39
batrider,1.19,53.05
rubick,1.19,49.02
tidehunter,1.17,47.61
doom,1.17,49.89
medusa,1.09,42.00
queen-of-pain,1.06,46.52
legion-commander,1.05,43.97
ringmaster,1.05,44.27
treant-protector,0.95,44.11
lion,0.94,47.21
shadow-fiend,0.91,47.32
winter-wyvern,0.76,46.80
windranger,0.75,46.76
death-prophet,0.71,47.75
dragon-knight,0.70,47.97
juggernaut,0.65,45.37
chen,0.62,53.20
hoodwink,0.61,50.29
lich,0.55,43.12
anti-mage,0.53,48.01
tusk,0.45,51.04
pudge,0.45,46.04
nature's-prophet,0.41,50.52
mirana,0.38,50.83
phantom-assassin,0.31,46.56
sniper,0.21,47.93
gyrocopter,0.20,49.95
grimstroke,0.18,49.01
terrorblade,0.16,51.57
puck,0.06,48.76
undying,0.03,45.56
kunkka,0.00,45.70
alchemist,-0.01,47.26
mars,-0.07,49.97
witch-doctor,-0.07,44.79
morphling,-0.08,52.55
dark-seer,-0.17,47.23
io,-0.18,47.81
keeper-of-the-light,-0.18,50.40
spectre,-0.28,46.16
pangolier,-0.29,51.50
oracle,-0.32,44.92
omniknight,-0.33,45.03
bristleback,-0.35,48.51
muerta,-0.38,50.17
skywrath-mage,-0.41,46.92
magnus,-0.49,49.48
brewmaster,-0.50,48.61
invoker,-0.50,49.99
centaur-warrunner,-0.53,45.18
razor,-0.56,47.53
vengeful-spirit,-0.59,46.43
storm-spirit,-0.60,48.06
venomancer,-0.63,48.51
pugna,-0.69,49.90
abaddon,-0.69,42.38
phoenix,-0.73,48.19
elder-titan,-0.74,47.73
ember-spirit,-0.85,50.95
primal-beast,-0.86,50.47
earth-spirit,-0.92,49.36
troll-warlord,-0.93,48.39
arc-warden,-0.99,46.07
shadow-shaman,-0.99,45.97
tinker,-1.00,48.14
disruptor,-1.03,48.50
nyx-assassin,-1.06,47.12
huskar,-1.18,50.28
enchantress,-1.21,50.87
slark,-1.24,48.92
lone-druid,-1.27,47.92
drow-ranger,-1.32,48.74
zeus,-1.32,47.84
enigma,-1.33,49.22
meepo,-1.41,50.27
clockwerk,-1.53,46.76
spirit-breaker,-1.56,48.21
ancient-apparition,-1.63,46.72
lifestealer,-1.63,48.46
phantom-lancer,-1.64,52.19
dark-willow,-1.67,49.73
void-spirit,-1.69,47.13
shadow-demon,-1.76,49.82
ogre-magi,-1.88,47.61
wraith-king,-1.91,44.15
faceless-void,-1.95,52.56
marci,-1.97,49.19
viper,-1.97,49.18
outworld-destroyer,-1.99,47.89
weaver,-2.09,50.29
silencer,-2.13,46.62
slardar,-2.26,50.63
templar-assassin,-2.35,55.43
ursa,-2.59,51.08
bane,-2.84,50.33
visage,-3.11,48.99
riki,-3.57,49.19
bloodseeker,-3.62,49.50
bounty-hunter,-3.62,49.72
broodmother,-3.78,50.79
chaos-knight,-4.26,52.21
clinkz,-4.36,51.01
night-stalker,-4.37,49.20
lycan,-4.56,51.69
